Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1Fuxx2SM49Br613ri3I0h6,"Bem Querer","Bem Querer","Curió Curió",2026-04-03,221672,20,false,1130795251,2026-04-03T09:50:05Z,"","Mr Bongo",0.701,0.7,11,-9.047,1,0.0359,0.339,0.00718,0.0492,0.927,105.953,4
spotify:track:63CI4kn03dsDTJlfXAFwvC,"Won't Do","Won't Do","Valtteri Laurell;Ricky-Tick Big Band",2026-02-10,328013,24,false,1130795251,2026-04-04T18:22:20Z,"finnish hip hop,big band,finnish pop,finnish rock","BBE Music",0.76,0.48,2,-10.884,0,0.0492,0.571,0.886,0.0994,0.278,94.032,4
spotify:track:6abm7qpjhc8u9TRJbbWXQQ,"GUSHING","BAUKEY BEATS, Vol. 5","Ben Hauke",2025-07-16,336614,6,false,1130795251,2026-04-04T18:24:25Z,"jazz house,lo-fi house,nu jazz","Woop records",0.871,0.676,7,-11.584,1,0.287,0.000627,0.884,0.293,0.572,126.992,4
spotify:track:6qESO4BN5rOmkL6ZH0f6Su,"Emotional Seasons - Main Mix","Seasons EP","Demuir",2026-02-27,420380,7,false,1130795251,2026-04-04T18:25:25Z,"funky house,disco house,chicago house","Makin Moves",0.809,0.703,6,-8.124,0,0.159,0.0848,0.164,0.405,0.538,126.046,4
spotify:track:3l9b3ETlHnIB9qYqsc8SJI,"Tonight","Tonight","Namas",2026-03-27,402840,34,false,1130795251,2026-04-04T18:27:55Z,"nu jazz","Dooinit Music",0.259,0.269,5,-15.642,0,0.0354,0.883,0.902,0.0994,0.163,177.258,3
spotify:track:1YpmYzpfeo5S2RyXmrV2Xl,"The Bredrins","The Bredrins","Barrell Jones;Nubya Garcia",2026-03-12,234112,32,false,1130795251,2026-04-04T18:28:32Z,"nu jazz,jazz,indie jazz,jazz funk","Independent",0.633,0.728,10,-10.209,0,0.0351,0.229,0.781,0.108,0.347,130.065,4
spotify:track:0fpdI018xNyjDKv4fhI8gM,"Odisea","Odisea","Los Retros",2026-04-03,221727,37,false,1130795251,2026-04-05T11:31:20Z,"latin indie,bedroom pop","Stones Throw Records",0.832,0.633,11,-9.412,0,0.0942,0.068,0.749,0.0431,0.711,110.054,4
spotify:track:68725MxxBON5D9EprWFGoS,"爆ぜるもの (feat. HITOMITOI)","Odisea","Los Retros;HITOMITOI",2026-04-03,379793,35,false,1130795251,2026-04-05T11:34:03Z,"latin indie,bedroom pop,city pop,jazz fusion,shibuya-kei","Stones Throw Records",0.727,0.37,0,-10.705,1,0.0444,0.45,0.606,0.0937,0.374,97.035,4
spotify:track:7K8O0XLTXVPurVWCvcZKcz,"Já não tem mais encanto (feat. Lívia Nestrovski)","unlikely, maybe","Bruno Pernadas;Lívia Nestrovski",2026-02-13,248772,32,false,1130795251,2026-04-05T11:38:03Z,"art pop,avant-garde,new mpb","Bruno Pernadas",0.618,0.805,1,-7.224,1,0.0439,0.144,0.000645,0.121,0.692,120.131,4
spotify:track:3gyqKJBMp1deXl3zX6UE2O,"Tout est bizarre","Ayo Dele","Ireke;Agnès Hélène",2026-03-20,200347,21,false,1130795251,2026-04-05T11:41:24Z,"","Underdog records",0.775,0.799,5,-9.017,0,0.0686,0.193,0.0108,0.0586,0.958,114.968,4
spotify:track:2pGU1V73AThYd6i9b4LOTI,"Morro Dos Prazeres","Ladeiras De Santa Teresa","Neves E Silva;Antônio Neves;Thiaguinho Silva",2026-03-20,192128,24,false,1130795251,2026-04-05T11:43:02Z,"brazilian jazz,lo-fi beats","Far Out Recordings",0.46,0.357,0,-14.969,0,0.0323,0.492,0.907,0.108,0.224,121.498,4
spotify:track:5XMmR3jrzFDSJBklUzab6M,"Solar Boat","Solar Boats","Guess What",2025-10-17,201100,23,false,1130795251,2026-04-05T18:41:31Z,"","Catapulte Records",0.338,0.592,7,-9.411,1,0.0355,0.0291,0.648,0.235,0.574,152.816,5
spotify:track:76KQIzUDMfjEeMSzTYci1T,"Never the Same","Never the Same","lovetempo",2026-01-20,241239,27,false,1130795251,2026-04-06T07:23:42Z,"","lovetempo",0.76,0.588,9,-6.828,0,0.0412,0.235,0.0723,0.0675,0.382,104.996,4
spotify:track:39NEJSioxP5yFf79OIL01J,"Teach Us of Endings - Auntie Flo Remix","Living Through Collapse: Remixes","Doe Paoro;Auntie Flo",2026-04-03,242543,11,false,1130795251,2026-04-06T08:37:03Z,"","Queen of Wands",0.718,0.703,4,-10.311,0,0.0376,0.00464,0.689,0.0662,0.257,104.99,4
spotify:track:2uRlC8MdLmxNx9FHGammTN,"The Whole Tree","Nyabinghi","Coyote",2026-04-03,291920,8,false,1130795251,2026-04-06T08:53:50Z,"","Pinchy & Friends",0.789,0.671,1,-9.772,1,0.0802,0.0936,0.871,0.283,0.681,90.012,4
spotify:track:08ttFLIlosY8Cd1penS87S,"Green Alot","The Green Room","Sean Green",2026-03-27,329046,6,false,1130795251,2026-04-06T08:55:45Z,"nu jazz","Soul Quest Records",0.756,0.8,9,-6.95,0,0.0511,0.00134,0.881,0.0914,0.85,130.006,4
spotify:track:0SSPVL0JuC3qjBHL27lp8j,"Miss The Water","Miss The Water","Aline Rocha;Caio Cenci",2026-04-03,197906,15,false,1130795251,2026-04-06T08:57:25Z,"nu disco,jazz house,disco house,funky house","Razor-N-Tape",0.728,0.914,5,-6.378,1,0.242,0.0117,0.307,0.273,0.721,128.016,4
spotify:track:6iV5yweNz6upavZtfR1BRw,"Dime Algo","Dime Algo (Black Science Orchestra Remixes)","Payfone;KYD NEREIDA",2026-04-03,476000,21,false,1130795251,2026-04-06T09:04:27Z,"","Leng Records",0.668,0.617,7,-8.673,0,0.0498,0.0366,0.336,0.454,0.502,92.01,4
spotify:track:6FHMWP4yeM6oqsP9ngwnWd,"Reach For The Sun - Floor Mix","Eminesence (2026 Rework)","Vince Watson",2026-03-27,440899,23,false,1130795251,2026-04-06T09:06:33Z,"","Everysoul",0.574,0.749,1,-12.376,1,0.0416,0.000221,0.82,0.0718,0.687,125.004,4
spotify:track:74fwIXxSnup963OfU9V4Ge,"Inch by Inch","Le Studio Sessions","Magique",2026-03-01,474058,5,false,1130795251,2026-04-06T09:09:25Z,"","Super Disco Edits",0.537,0.823,1,-8.126,0,0.065,0.0162,0.0000016,0.239,0.905,116.496,4
spotify:track:1uv8UDiCJlbRuAJbulsXQb,"Jive - Saison Remix","Jive","Natural Rhythm;Saison",2021-05-21,399012,22,false,1130795251,2026-04-06T09:13:03Z,"jazz house,funky house,disco house","No Fuss Records",0.81,0.787,9,-7.749,0,0.0528,0.0773,0.93,0.0532,0.513,121.529,4
spotify:track:65xxTveBa16b77o5wZJsZ6,"La Macchina Dei Sogni","From the Archive Vol. 3... compiled by Volcov","Collettivo Immaginario",2026-02-27,347440,18,false,1130795251,2026-04-06T18:29:15Z,"nu jazz","BBE Music",0.441,0.561,5,-14.497,0,0.0377,0.612,0.95,0.241,0.327,129.093,4
spotify:track:0c9Ezn6WEBHJ1gbklHl2RA,"Sunlight - Kai Alce Rmx","From the Archive Vol. 3... compiled by Volcov","Andre Espeut;Elbert Phillips;Kai Alce",2026-02-27,443293,7,false,1130795251,2026-04-06T18:32:29Z,"nu disco,disco house,funky house,lo-fi house,jazz house","BBE Music",0.875,0.393,6,-13.716,1,0.107,0.0382,0.348,0.0432,0.565,120.039,4
spotify:track:4Vu7NAV4Fpm4TTy04qnTqp,"Rico Suave Bossa Nova","Rico Suave Bossa Nova","Valtteri Laurell;Ricky-Tick Big Band",2026-04-03,240306,24,false,1130795251,2026-04-06T19:14:17Z,"finnish hip hop,big band,finnish pop,finnish rock","BBE Music",0.81,0.694,2,-10.597,0,0.0446,0.211,0.872,0.0634,0.925,98.035,4
spotify:track:3nAyTYSDbL2bgi0rOWCU7z,"Human Love","Human Love","E.R. Thorpe",2026-03-27,207640,10,false,1130795251,2026-04-07T18:17:30Z,"","Vicious Charm Recordings",0.295,0.272,3,-12.976,1,0.0385,0.699,0.027,0.115,0.0729,206.914,3
spotify:track:6PaEdXt4LEaZxdL2amBsRM,"(No More) Sobie Dobie Girl","O-Ryley","O-Ryley;Kellee Patterson",2026-02-18,300293,8,false,1130795251,2026-04-09T19:01:52Z,"soul jazz","The Sound Council",0.605,0.407,9,-12.635,0,0.0329,0.838,0.000396,0.201,0.8,93.951,4
spotify:track:0cr64liE7uJoqiB05Nnx0P,"Chillin' in the Ghetto - Andy's Bristol Mix","Chillin' in the Ghetto","Andy Compton;Andy Compton's Sowetan Onesteps",2015-04-17,497920,0,false,1130795251,2026-04-10T08:34:20Z,"jazz house,bacardi","Peng",0.781,0.617,0,-12.894,0,0.144,0.901,0.723,0.0807,0.961,120.005,4
spotify:track:25u23OPUmM5Psf3grPkpuj,"Piece of Mind.","The Dark Knight Rises","Toyin Agbetu",2026-03-27,205494,2,false,1130795251,2026-04-10T08:37:23Z,"","D3 Elements",0.804,0.612,11,-7.247,1,0.0634,0.000245,0.793,0.146,0.109,121.885,4
spotify:track:4q5vRPIgeZdpvkPHRRO8Bb,"River","At Your Pace","Modha;Àbáse;Fanni Zahár",2026-03-13,245217,36,false,1130795251,2026-04-10T08:41:26Z,"jazz rap,soul jazz,nu jazz,lo-fi house","Sonar Kollektiv",0.619,0.581,4,-10.909,0,0.0555,0.651,0.89,0.0632,0.232,92.024,1
spotify:track:6bZY1rA1tv1CYinm2lW2Jt,"Sunflowers in Dub - Deep Summer Mix","Resolution Revolutions","Balaphonic",2025-04-25,479764,6,false,1130795251,2026-04-10T11:10:20Z,"","NuNorthern Soul",0.686,0.445,1,-13.406,0,0.108,0.228,0.139,0.0978,0.506,120.992,4
spotify:track:7k9CrB8iotk8llDjcBisiu,"Boa Viagem","Boa Viagem","Moyses Dos Santos",2026-04-10,224360,0,false,1130795251,2026-04-10T11:47:05Z,"","Far Out Recordings",0.581,0.601,5,-10.145,1,0.111,0.0345,0.922,0.0265,0.879,126.971,4
spotify:track:0mgWABjocA4Zm3sz0oyr3v,"Lady","Mudbrown","Kumail",2026-04-10,192111,0,false,1130795251,2026-04-10T12:35:57Z,"indian indie","Tru Thoughts",0.851,0.552,9,-9.523,0,0.0775,0.727,0.115,0.081,0.73,119.849,4
spotify:track:7Mr1warV0fdyhOfAVQZW4K,"Fan Out","Body's Groove","Introverted Funk",2026-03-20,204701,6,false,1130795251,2026-04-10T14:09:43Z,"","Star Creature Universal Vibrations",0.717,0.699,9,-7.107,0,0.0512,0.132,0.0854,0.586,0.951,118.008,4
