Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4Fvhx4ZlEQiSgD68t1V8Dg,"A Doida","Musicas Para Churrasco, Vol. 1","Seu Jorge",2012-02-08,184626,0,false,,2012-06-16T22:30:30Z,"mpb,samba,pagode","Wrasse Records",0.734,0.928,2,-7.194,0,0.0539,0.187,0,0.0636,0.964,103.994,4
spotify:track:32OWA7OkzOCyQ1NXrEuI7o,"Meu Parceiro","Musicas Para Churrasco, Vol. 1","Seu Jorge",2012-02-08,191013,0,false,,2012-06-16T22:30:30Z,"mpb,samba,pagode","Wrasse Records",0.73,0.934,11,-6.019,0,0.117,0.21,0,0.441,0.697,103.04,4
spotify:track:1YfMAVlteKcFyKxwGG820H,"Veia","Musicas Para Churrasco, Vol. 1","Seu Jorge",2012-02-08,200786,0,false,,2012-06-16T22:30:30Z,"mpb,samba,pagode","Wrasse Records",0.775,0.909,7,-5.429,1,0.0434,0.495,0.00000603,0.168,0.706,110.006,4
spotify:track:2JaueSxmlPVzKguJcyDof5,"Dois Beijinhos","Musicas Para Churrasco, Vol. 1","Seu Jorge",2012-02-08,254746,0,false,,2012-06-16T22:30:30Z,"mpb,samba,pagode","Wrasse Records",0.717,0.754,2,-7.071,0,0.0318,0.41,0.00116,0.442,0.911,90.016,4
spotify:track:4KXnLJtnYnzTCFDdVq04Ei,"Vizinha","Musicas Para Churrasco, Vol. 1","Seu Jorge",2012-02-08,215746,0,false,,2012-06-16T22:30:30Z,"mpb,samba,pagode","Wrasse Records",0.601,0.846,9,-6.417,1,0.0622,0.112,0,0.139,0.932,187.98,4
spotify:track:5gRdOIj15LmZwRYW9xQm8Y,"Amiga Da Minha Mulher","Musicas Para Churrasco, Vol. 1","Seu Jorge",2012-02-08,248080,0,false,,2012-06-16T22:30:30Z,"mpb,samba,pagode","Wrasse Records",0.781,0.928,9,-5.128,0,0.14,0.72,0,0.0872,0.782,103.974,4
spotify:track:6RHjKAH8Ocg4SkliC1yOVI,"Dia De Comemorar","Musicas Para Churrasco, Vol. 1","Seu Jorge",2012-02-08,185480,0,false,,2012-06-16T22:30:30Z,"mpb,samba,pagode","Wrasse Records",0.819,0.828,9,-6.431,1,0.103,0.28,0,0.341,0.71,104.999,4
spotify:track:1diWwvDFQabKdkRQlVQvku,"Japonesa","Musicas Para Churrasco, Vol. 1","Seu Jorge",2012-02-08,234213,0,false,,2012-06-16T22:30:30Z,"mpb,samba,pagode","Wrasse Records",0.768,0.941,7,-6.528,0,0.112,0.408,0,0.153,0.925,115.045,4
spotify:track:4Ui39qHGi99erS3OKy0b0H,"Ole Ole","Musicas Para Churrasco, Vol. 1","Seu Jorge",2012-02-08,181386,0,false,,2012-06-16T22:30:30Z,"mpb,samba,pagode","Wrasse Records",0.715,0.867,7,-6.078,1,0.0555,0.0182,0,0.088,0.93,118.015,4
spotify:track:5lveDRmMnwC4EbmX6z1s29,"Quem Nao Quer Sou Eu","Musicas Para Churrasco, Vol. 1","Seu Jorge",2012-02-08,326493,0,false,,2012-06-16T22:30:30Z,"mpb,samba,pagode","Wrasse Records",0.665,0.64,9,-10.183,0,0.0689,0.264,0.00436,0.19,0.773,97.704,4
spotify:track:0790lwALQ6GUxGS5BFazVL,"Tim Dom Dom","Samba Esquema Novo","Jorge Ben Jor",1963-01-01,139626,0,false,,2012-06-16T22:30:41Z,"mpb,bossa nova,samba,brazilian jazz","Universal Music",0.743,0.447,11,-6.96,0,0.0859,0.854,0,0.162,0.891,86.404,4
spotify:track:5ua6ByZaOw4hlMP6i8Vjdz,"Tá perdoado","Samba Meu","Maria Rita",2007-09-04,227520,59,false,,2012-06-16T23:42:15Z,"samba,mpb,pagode,new mpb,bossa nova","WM Brazil",0.78,0.571,11,-8.651,0,0.061,0.586,0.0000126,0.0767,0.858,102.026,4
spotify:track:7ykHMkAGfBKScnuf3XZdUX,"Na Rua, Na Chuva, Na Fazenda","City of God","Hyldon",2003-01-01,209200,0,false,,2012-06-26T20:18:46Z,"mpb","Milan Records",0.666,0.569,7,-8.271,1,0.0521,0.124,0,0.351,0.423,128.675,4
spotify:track:4zaAftk2wDJIBctRBn7hQU,"Preciso Me Encontrar","Cartola Acontece","Cartola",2007-06-29,178200,0,false,,2012-06-26T20:19:33Z,"samba,mpb,bossa nova","EMI Brazil",0.54,0.422,2,-14.144,0,0.0569,0.914,0.00196,0.453,0.693,154.567,4
spotify:track:44izX51adFrcZ5att2SBYt,"Rap Das Armas","Tropa De Elite","MC Júnior E MC Leonardo;Bateria Da Rocinha",2007-12-11,204306,0,false,,2012-06-26T20:20:27Z,"funk melody,brazilian funk,funk carioca,miami bass","Mixed Repertoire",0.975,0.682,0,-5.874,1,0.157,0.305,0,0.0757,0.893,124.999,4
spotify:track:3K15ukDwX1BokVnRLyvTod,"Sam Blues","Mr. Bongo Brazilian Beats Box Set - Part 1","Sambalanço Trio",2008-04-21,133706,0,false,,2012-06-26T20:22:12Z,"brazilian jazz,bossa nova","Mr. Bongo",0.42,0.638,8,-13.608,0,0.0305,0.821,0.933,0.0868,0.903,106.834,4
spotify:track:75VzwkB6hZJY1p5fHvnhiC,"Samba Do Carioca","Blue Note Trip 7: Birds / Beats","Silvio Cesar",2008-01-01,116982,15,false,,2012-06-30T00:56:42Z,"bossa nova","Universal Music B.V.",0.628,0.622,5,-7.293,0,0.0363,0.487,0,0.127,0.843,93.085,4
spotify:track:6jfyyklEZIOTYd69fZzacq,"Que Bandeira","Retratos","Evinha",2004,148933,0,false,,2012-06-30T00:57:44Z,"mpb,bossa nova,brazilian jazz","EMI Brazil",0.77,0.471,1,-12.409,1,0.0487,0.713,0,0.349,0.818,93.01,4
spotify:track:3rlfQRL4gIRARv6vGawaj2,"Swinga Sambaby","Trio Mocotó","Trio Mocoto",1973-01-01,94266,35,false,,2012-06-30T00:59:23Z,"samba,brazilian jazz,bossa nova","Som Livre",0.718,0.556,0,-8.499,1,0.169,0.298,0,0.513,0.897,107.76,4
spotify:track:7G8YrJBhHE6IyBjOL5n8nW,"Voltei Amor","Samba Rock","Trio Mocoto",2001-11-01,212400,0,false,,2012-06-30T12:29:22Z,"samba,brazilian jazz,bossa nova","Ziriguiboom (Crammed)",0.598,0.725,7,-8.162,1,0.104,0.0631,0.000014,0.0783,0.642,117.561,4
spotify:track:0LtWcQgRcht6O0xXM9YrM7,"Eu Quero Tchu Eu Quero Tcha","Na Pegada do Arrocha","João Lucas & Marcelo",2012-04-10,159755,0,false,,2012-07-01T11:46:02Z,"sertanejo universitário,sertanejo,arrocha","Som Livre",0.752,0.891,2,-2.256,1,0.159,0.367,0,0.352,0.758,138.076,4
spotify:track:2J3dABvZqTdQmpp12XiKyu,"Lero-Lero","Lero-Lero","Luisa Maita",2010-07-27,283413,0,false,,2012-07-01T16:05:55Z,"new mpb,forró","Cumbancha",0.727,0.412,5,-9.891,0,0.0448,0.732,0.000473,0.136,0.836,149.935,4
spotify:track:0M7UZVYzVExCNi3o5fFM5O,"Passarinho","Arrocha","Curumin",2012-06-05,202653,0,false,,2012-07-01T16:05:58Z,"new mpb","Six Degrees Records",0.71,0.666,2,-7.587,0,0.0295,0.427,0.15,0.12,0.906,137.779,4
spotify:track:08LEKu9jqPJwXLLC14IzC3,"Pra Manha","Late Night Tales: Another Late Night - Zero 7 (Remastered)","Da Lata",2012-03-23,373133,0,false,,2012-07-01T16:25:31Z,"downtempo","Late Night Tales",0.754,0.647,4,-11.798,0,0.0836,0.0915,0.0997,0.0824,0.646,114.954,4
spotify:track:3vuUhwFljjs55iJNVQSoYb,"Baby - 1971","Everything is Possible!","Os Mutantes",2007-03-15,220080,16,false,,2012-07-01T16:30:31Z,"brazilian rock,mpb,psychedelic rock","Luaka Bop",0.624,0.307,0,-11.193,1,0.0409,0.707,0.00000625,0.0972,0.61,96.738,4
spotify:track:1yVd4gsCgOf1JvfACB3QH8,"Gafiera","Of All The Things","Jazzanova;Pedro Martins",2008-01-01,158480,0,false,,2012-07-01T16:36:21Z,"nu jazz,acid jazz,trip hop,jazz funk,downtempo,brazilian jazz,indie jazz","Boutique",0.647,0.671,5,-8.22,0,0.0396,0.0564,0.000477,0.22,0.93,118.072,4
