Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6oY4kzSWT1o20AyYzDAJVK,"Absurdo Nº 1 (Ou Muiraquitã)","Macunaísmo Tardio","Vinícius Mendes;Lucas De Moro;Paulo Cardoso;Cyrano Almeida",2021-07-16,391551,0,false,1130795251,2023-05-08T07:54:11Z,"brazilian jazz","Sentinela Discos",0.555,0.471,0,-9.433,1,0.0317,0.637,0.329,0.143,0.261,122.118,4
spotify:track:7IaiYDF5qeMMi5re3tZcSF,"Saideira","Saideira","Doinel",2022-02-04,215041,9,false,1130795251,2023-05-08T07:56:26Z,"","Terrasolare",0.791,0.463,2,-14.503,0,0.0595,0.072,0.000121,0.131,0.924,121.929,4
spotify:track:063q4X3EdUKyLVfGo4PSF0,"Côco do Macaco","Côco do Macaco","Sócrates E As Garotas",2020-11-18,209457,0,false,1130795251,2023-05-08T08:00:03Z,"","La Matta Records",0.764,0.751,2,-9.368,1,0.191,0.293,0.0541,0.0621,0.852,111.637,4
spotify:track:3TM0t2bprS3NmfDCawJhE6,"Black Soul Brothers - Kenny Dope Edit","Brazil 45s (DJ Mixes)","Miguel De Deus;Kenny Dope",2022-04-16,223773,0,false,1130795251,2023-05-08T08:00:25Z,"","Mr Bongo",0.805,0.867,4,-12.025,0,0.115,0.0244,0.639,0.373,0.687,116.095,4
spotify:track:6dc8DxuYnMnwhdKhobPnDx,"Maracuja","Voyage","Tapioca",2022-03-25,336996,0,false,1130795251,2023-05-08T08:01:26Z,"","Jakarta",0.672,0.472,9,-10.158,0,0.134,0.293,0.00165,0.0908,0.271,87.97,4
spotify:track:1mCLMPxGyTqjHiom0PfaA1,"Flor do Real","Grandeza","Sessa",2019-06-04,214787,0,false,1130795251,2023-05-08T08:02:23Z,"new mpb","Boiled Records",0.518,0.386,5,-9.822,0,0.0485,0.897,0.0684,0.122,0.649,124.306,3
spotify:track:47T54qbp9SreG2h7RBaMEG,"Até Meu Violão","No Reino Dos Afetos","Bruno Berle",2022-07-01,169653,42,false,1130795251,2023-05-08T08:03:51Z,"new mpb","Far Out Recordings",0.652,0.48,11,-13.473,0,0.0406,0.606,0.367,0.203,0.833,107.245,4
spotify:track:7o1PechXaS4bG7FPJlNA5m,"O Nome Do Meu Amor","No Reino Dos Afetos","Bruno Berle",2022-07-01,127493,38,false,1130795251,2023-05-08T08:05:08Z,"new mpb","Far Out Recordings",0.542,0.293,11,-10.176,0,0.0664,0.948,0.0676,0.113,0.233,105.019,4
spotify:track:4D3v7xMHUcTMKiqnbqQvfP,"Quero Dizer","No Reino Dos Afetos","Bruno Berle;batata boy",2022-07-01,230226,37,false,1130795251,2023-05-08T08:05:33Z,"new mpb","Far Out Recordings",0.869,0.381,1,-11.81,1,0.148,0.696,0.36,0.104,0.522,100.029,4
spotify:track:35n1JNqn6vNsVDrvAXSbjl,"Lua Comanche","SIM SIM SIM","Bala Desejo;Zé Ibarra;Julia Mestre;Dora Morelenbaum;Lucas Nunes",2022-04-13,215282,1,false,1130795251,2023-05-08T08:07:07Z,"new mpb,mpb,bossa nova","Coala Records",0.689,0.547,5,-10.596,1,0.0381,0.731,0.0000612,0.111,0.867,93.027,4
spotify:track:52OP7zq6I4Z8QYzwbnK8fF,"Como é que vai você","Force of the Wind","СОЮЗ;Sessa",2022-10-28,234500,40,false,1130795251,2023-05-08T08:08:03Z,"new mpb","Mr Bongo",0.553,0.331,2,-14.737,1,0.0293,0.459,0.693,0.156,0.41,76.863,4
spotify:track:6EER2nO3lZyPSFNmQE2rJ7,"Galope","Galope","Tunico",2022-11-18,429413,3,false,1130795251,2023-05-08T08:10:07Z,"brazilian jazz","Far Out Recordings",0.594,0.719,10,-10.648,0,0.0579,0.434,0.685,0.106,0.629,150.032,4
spotify:track:7lcfIXOYAR3yCvmSZacV6k,"Blue","Bom Mesmo é Estar Debaixo D'Água Deluxe","Luedji Luna",2022-11-25,291930,0,false,1130795251,2023-05-08T08:11:01Z,"new mpb,afro house","Luedji Luna",0.519,0.462,7,-7.428,0,0.093,0.475,0.0104,0.113,0.452,170.683,4
spotify:track:2uwrX3ZqDMUagbxVm4S4QN,"Gostar do Mundo","Estrela Acesa","Sessa",2022-06-24,141290,0,false,1130795251,2023-05-08T08:11:13Z,"new mpb","Mexican Summer",0.329,0.274,5,-16.048,0,0.0576,0.835,0.849,0.0979,0.311,176.908,4
spotify:track:1TGuyQNNfgpntIQro7w8D1,"Sereia Sentimental","Estrela Acesa","Sessa",2022-06-24,191825,0,false,1130795251,2023-05-08T08:11:23Z,"new mpb","Mexican Summer",0.436,0.233,4,-16.458,1,0.0331,0.792,0.88,0.119,0.17,82.937,5
spotify:track:30xHEnNWsUQPlWaUajAYAx,"Bandida","Bandida","Gabriel da Rosa",2022-11-22,125207,0,false,1130795251,2023-05-08T08:11:34Z,"bossa nova","Stones Throw Records",0.779,0.39,4,-14.376,0,0.128,0.813,0.05,0.25,0.669,82.797,4
spotify:track:2tWVfdK5EMkKdKWlV91lAQ,"O Recado da Flor","Habilidades Extraordinárias","Tulipa Ruiz;João Donato",2022-09-23,200000,0,false,1130795251,2023-05-08T08:12:16Z,"new mpb,mpb,bossa nova,brazilian jazz,samba,latin jazz","Brocal Edições Musicais LTDA",0.556,0.716,8,-7.208,1,0.0494,0.488,0.00000113,0.11,0.504,93.911,4
spotify:track:7Hwab5jbvlqU4aODZ5JGGB,"Sambola","Sambola","Tunico",2023-01-13,418080,2,false,1130795251,2023-05-08T08:13:12Z,"brazilian jazz","Far Out Recordings",0.74,0.686,9,-11.876,1,0.0553,0.687,0.716,0.19,0.545,100.025,4
spotify:track:0dLlBP246akHGHhNsmqnrq,"Sábado","Sábado","Caixa Cubo;Zé Leônidas",2023-01-13,142269,4,false,1130795251,2023-05-08T08:13:46Z,"brazilian jazz,jazz fusion","Jazz & Milk",0.615,0.714,10,-14.129,0,0.0444,0.419,0.765,0.0969,0.693,114.384,4
spotify:track:1XHA2IJCn5IyjpY3vBEDTb,"Idiossincrasia","É o que a casa oferece","Gabriel da Rosa",2023-02-17,238754,12,false,1130795251,2023-05-08T08:14:40Z,"bossa nova","Stones Throw Records",0.609,0.454,5,-15.763,1,0.0542,0.834,0.0304,0.105,0.352,80.029,4
spotify:track:0fI8D5A1mTE2cLulF3tU6i,"Passarinho","Passarinho","João Selva",2023-02-03,189056,23,false,1130795251,2023-05-08T08:15:34Z,"","Underdog records",0.834,0.301,2,-14.355,0,0.0403,0.771,0.000337,0.203,0.855,108.026,4
spotify:track:0duXjeiDlg3zqhXCNvRyGa,"Vento a Favor","Vento a Favor","Sessa",2023-02-28,161126,0,false,1130795251,2023-05-08T08:15:55Z,"new mpb","Mexican Summer",0.575,0.615,4,-10.58,0,0.0341,0.863,0.897,0.114,0.793,104.697,4
spotify:track:5bGMMNxjvlledmzq9dItvf,"Existe Uma Voz","Curyman","Rogê",2023-03-03,225826,55,false,1130795251,2023-05-08T08:16:38Z,"samba","Diamond West Records",0.77,0.738,4,-6.686,0,0.0862,0.286,0.801,0.0749,0.895,90.553,4
spotify:track:7z9ygQkhE50EGYMuZfbEFq,"Pra Vida","Curyman","Rogê",2023-03-03,212573,37,false,1130795251,2023-05-08T08:16:49Z,"samba","Diamond West Records",0.585,0.788,5,-8.328,1,0.0541,0.405,0.0000496,0.371,0.72,91.996,4
spotify:track:0eOAXjN5IhfnBmyMphQD2u,"Se Eu For Falar De Amor","Curyman","Rogê",2023-03-03,246986,22,false,1130795251,2023-05-08T08:16:59Z,"samba","Diamond West Records",0.231,0.398,4,-10.12,0,0.0307,0.071,0.00964,0.237,0.218,146.741,4
spotify:track:60ad1P5gJyiYj5KWIOczHK,"Mistério da Raça","Curyman","Rogê",2023-03-03,277066,24,false,1130795251,2023-05-08T08:17:05Z,"samba","Diamond West Records",0.633,0.812,11,-7.293,0,0.0329,0.262,0.00000513,0.138,0.799,92.695,4
spotify:track:4L0npYstL1PDKHV6BdMtIW,"A Time To Blossom","A Time To Blossom","Modern Cosmology;Laetitia Sadier;Mombojó",2023-03-24,438106,0,false,1130795251,2023-05-08T08:17:38Z,"neo-psychedelic,dream pop,new mpb","Duophonic Super 45s",0.568,0.644,9,-9.138,1,0.032,0.109,0.623,0.241,0.532,152.006,3
spotify:track:2DfiblFd1BQOnn1nQOGR3K,"Nada será de outra maneira","sramba.","Domenico Lancellotti;Ricardo Dias Gomes",2023-04-28,172554,23,false,1130795251,2023-05-08T08:17:51Z,"new mpb,latin folk","Mais Um",0.497,0.339,0,-13.161,1,0.0296,0.43,0.346,0.532,0.0881,88.697,4
spotify:track:0JCHY20eQD4FvXmoTPwCXz,"Saudade","Little Electric Chicken Heart","Ana Frango Elétrico",2019-09-12,220451,0,false,1130795251,2023-05-08T08:20:00Z,"new mpb,mpb","RISCO [dist. Tratore]",0.514,0.625,4,-8.989,1,0.0409,0.291,0.224,0.102,0.422,88.29,4
spotify:track:3uqOc5pf7NghZxeFXdlGCI,"Relax","Relax","Kassin",2018-05-11,260626,6,false,1130795251,2023-05-08T08:20:14Z,"new mpb","Luaka Bop",0.712,0.621,7,-9.901,1,0.0325,0.0566,0.0584,0.207,0.586,117.915,4
spotify:track:4d09q8kcG8gfdOKiv4TkP6,"Gigolô","BLAM! BLAM!","Jonas Sa",2015-01-27,212228,6,false,1130795251,2023-05-08T08:20:28Z,"new mpb","Coqueiro Verde Records",0.708,0.85,6,-5.442,1,0.0283,0.081,0.00939,0.0809,0.867,128.155,4
spotify:track:6jxia9A949fhxcSyCvTviV,"Rhythm of São Paulo (Beltran and Arnold's Brazilian Blend)","Olá de Novo (the remixes)","Sol Set",2022-11-14,345258,3,false,1130795251,2023-05-08T08:21:21Z,"","All Good Music",0.574,0.608,7,-10.238,0,0.053,0.708,0.044,0.378,0.533,92.09,4
spotify:track:7zRDn75JXGu3YQHmD2ZqY6,"Diga","sramba.","Domenico Lancellotti;Ricardo Dias Gomes",2023-04-28,228720,9,false,1130795251,2023-05-17T09:45:53Z,"new mpb,latin folk","Mais Um",0.441,0.519,2,-10.292,1,0.059,0.0115,0.00163,0.684,0.578,97.472,4
spotify:track:5nBrdTO6k3DJZJdB6IRp1c,"Bom Mesmo É Estar Debaixo D'Água","Bom Mesmo É Estar Debaixo D'Água","Luedji Luna",2020-10-14,271293,2,false,1130795251,2023-05-19T12:08:55Z,"new mpb,afro house","Luedji Luna",0.556,0.428,2,-12.406,0,0.0556,0.791,0.0192,0.0899,0.366,172.05,4
spotify:track:6KUHifd2W74TPT86bRMtdh,"Avós da Experiência","Xepa / Nata","Exército de Bebês",2018-11-26,290537,4,false,1130795251,2023-05-19T13:01:31Z,"","Embolacha",0.455,0.518,9,-13.482,1,0.034,0.411,0.143,0.145,0.646,126.753,4
spotify:track:4zy8eULKNoN8xXddKumBaq,"Das Neves","Hidden Waters: Strange and Sublime Sounds of Rio de Janeiro","Antônio Neves;Thiaguinho Silva",2023-05-12,195826,2,false,1130795251,2023-05-19T13:09:39Z,"brazilian jazz,lo-fi beats","Mr Bongo",0.434,0.581,5,-12.372,0,0.0429,0.557,0.857,0.272,0.68,124.924,4
spotify:track:6pHX4yF2JKjZdSk25DWJKv,"Passarinha","SIM SIM SIM","Bala Desejo;Dora Morelenbaum;Julia Mestre;Lucas Nunes;Zé Ibarra",2022-04-13,235437,52,false,1130795251,2023-05-19T13:12:05Z,"new mpb,bossa nova,mpb","Mr Bongo",0.665,0.661,7,-10.169,0,0.0508,0.668,0.271,0.116,0.698,92.005,4
spotify:track:46nVimyGfbnKUMU9rDvnUG,"Baile De Máscaras (Recarnaval)","SIM SIM SIM","Bala Desejo;Dora Morelenbaum;Julia Mestre;Lucas Nunes;Zé Ibarra",2022-04-13,303516,35,false,1130795251,2023-05-19T13:13:04Z,"new mpb,bossa nova,mpb","Mr Bongo",0.522,0.683,3,-8.053,0,0.0557,0.365,0.324,0.126,0.585,148.027,4
spotify:track:4KWGyyth80p6X5bShwzsId,"Curió","Midnight Alvorada","Pedro Rosa",2023-05-12,265000,0,false,1130795251,2023-05-27T16:44:04Z,"bossa nova","Ajabu!",0.673,0.443,7,-14.873,1,0.0332,0.797,0.892,0.149,0.419,109.966,4
spotify:track:1hQ3zX2m7HJJCQpYj4yWuU,"Amélie","Hidden Waters: Strange and Sublime Sounds of Rio de Janeiro","Mari Romano",2023-05-12,157880,2,false,1130795251,2023-06-22T14:24:25Z,"new mpb","Mr Bongo",0.564,0.525,4,-11.959,1,0.0344,0.793,0.0000993,0.0831,0.555,138.07,3
spotify:track:6JWcbPcdza77RdTS77nmsi,"Vento de Beirada","Vento de Beirada","Dora Morelenbaum",2021-04-15,183006,0,false,1130795251,2023-06-22T14:29:58Z,"new mpb","Alá Comunicação e Cultura",0.367,0.31,9,-11.493,1,0.0334,0.706,0.00441,0.186,0.218,137.259,4
spotify:track:0UfczdZ7Se11TOmKLt61cV,"Clama Floresta","SIM SIM SIM","Bala Desejo;Dora Morelenbaum;Julia Mestre;Lucas Nunes;Zé Ibarra",2022-04-13,349427,28,false,1130795251,2023-06-29T14:48:15Z,"new mpb,bossa nova,mpb","Mr Bongo",0.621,0.54,0,-8.759,1,0.0948,0.315,0.000374,0.0547,0.541,77.468,4
spotify:track:4klqexm5gWmkYJENbbKvz4,"A Voz","Várias Queixas","Gilsons",2019,156160,56,false,1130795251,2023-06-29T14:56:40Z,"new mpb,mpb","Xirê",0.861,0.529,4,-9.628,0,0.144,0.12,0.00147,0.137,0.555,101.018,4
spotify:track:6zCBHAEyGneoZNe0nOUrOk,"Dó a dó","Dó a dó","Dora Morelenbaum",2020-10-15,214973,0,false,1130795251,2023-07-28T16:22:05Z,"new mpb","Alá Comunicação e Cultura",0.221,0.216,1,-13.248,0,0.0352,0.803,0.0192,0.101,0.204,177.131,3
