Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5aVEnXYAtrxGdbJP8N2mHb,"O Amigo De Nova York","Mais Que Um Momento","Emílio Santiago",1983-01-10,252147,42,false,1130795251,2020-04-29T14:23:44Z,"mpb,samba,bossa nova","Universal Music Ltda.",0.783,0.939,11,-6.056,0,0.19,0.371,0,0.143,0.789,111.977,4
spotify:track:2KDF5lrsQNBN0a89SwkwDg,"Ginga","Robson Jorge e Lincoln Olivetti","Robson Jorge;Lincoln Olivetti",1982-09-16,181427,43,false,1130795251,2020-04-29T14:23:48Z,"brazilian jazz","Som Livre",0.744,0.64,0,-8.95,1,0.0592,0.173,0.331,0.0288,0.889,108.522,4
spotify:track:74Fj6UtoSmbjLdXBEr57qN,"Trem da Central","De 'Sá' A 'De Sá' - Os Primeiros Anos","Sandra De Sá",2016-03-04,242813,10,false,1130795251,2020-04-29T14:23:52Z,"mpb,samba","Som Livre",0.804,0.715,5,-12.317,1,0.0495,0.487,0.00467,0.369,0.862,107.504,4
spotify:track:06WWnCfoJveGUvYQWK7nGf,"Eva","Robson Jorge e Lincoln Olivetti","Robson Jorge;Lincoln Olivetti",1982-09-16,346522,37,false,1130795251,2020-04-29T14:24:16Z,"brazilian jazz","Som Livre",0.6,0.71,2,-10.81,1,0.0543,0.465,0.956,0.124,0.586,111.805,4
spotify:track:0QVi0ysdAFX4UwVvjAkmCi,"Tudo Em Cima","Beauty: A Journey Through Jeremy Underground's Collection","Leila Pinheiro",2016-09-09,182453,14,false,1130795251,2020-04-29T14:24:31Z,"bossa nova,mpb,brazilian jazz","Spacetalk",0.565,0.853,5,-7.274,1,0.0514,0.409,0.00678,0.086,0.82,116.528,4
spotify:track:7uBFKnrL9HAoAp0aDCfvDE,"Palco","Luar","Gilberto Gil",1981,266173,0,false,1130795251,2020-04-29T14:24:35Z,"mpb,bossa nova,forró tradicional,samba","Palco WMB",0.734,0.788,1,-7.361,0,0.0462,0.511,0.0774,0.326,0.779,108.325,4
spotify:track:4JrYTXDmUcxQG1VhxKepBZ,"Deixa Eu Te Amar","Brazilian Beats 8 (Mr Bongo Presents)","Marisa Rossi",2016-08-12,163777,9,false,1130795251,2020-04-29T14:24:49Z,"","Mr Bongo",0.526,0.708,1,-4.251,1,0.0595,0.311,0.000361,0.147,0.77,126.251,4
spotify:track:4dj5Lyne0CILnrz2hyHXTY,"Pela Cidade","Vale Tudo","Sandra De Sá",1983-01-01,201293,37,false,1130795251,2020-04-29T14:25:00Z,"mpb,samba","Som Livre",0.752,0.501,0,-13.245,1,0.0373,0.206,0.000702,0.0941,0.849,114.573,4
spotify:track:6ywWdrb3jfkpGGJPdsUe4Q,"Acenda o farol","Disco Club","Tim Maia",1978-01-01,191280,0,false,1130795251,2020-04-29T14:25:03Z,"mpb","WM Brazil",0.592,0.883,9,-5.441,0,0.0886,0.0903,0,0.0639,0.695,123.205,4
spotify:track:6LDmxdVNHXOjubxnixSvLu,"A fim de voltar","Disco Club","Tim Maia",1978-01-01,244320,0,false,1130795251,2020-04-29T14:25:20Z,"mpb","WM Brazil",0.585,0.708,0,-7.483,1,0.0732,0.0656,0.00082,0.483,0.465,136.081,4
