Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6lUfmHj0gyhLb2I2oSx7A6,"Merry Blues","Próxima Estación: Esperanza","Manu Chao",2001,216066,0,false,1130795251,2014-09-24T14:59:30Z,"latin alternative","Because Music",0.634,0.871,7,-8.219,0,0.316,0.446,0.00406,0.141,0.886,164.148,4
spotify:track:3f8nQXyHPiuL1ORX1PeU8p,"Me gustas tu","Próxima Estación: Esperanza","Manu Chao",2001,229475,0,false,1130795251,2014-09-24T14:59:35Z,"latin alternative","Because Music",0.63,0.717,11,-9.249,0,0.066,0.752,0.683,0.148,0.957,176.035,4
spotify:track:7EqhETnKMB92rp5tgyKPn9,"Clandestino","Clandestino","Manu Chao",1998,145560,0,false,1130795251,2014-09-24T14:59:39Z,"latin alternative","Because Music",0.697,0.551,6,-8.266,0,0.0695,0.504,0,0.31,0.817,84.969,4
spotify:track:5qye87Ucj1Q7k5rwfqkPTy,"Desaparecido","Clandestino","Manu Chao",1998,227160,0,false,1130795251,2014-09-24T14:59:45Z,"latin alternative","Because Music",0.591,0.627,9,-6.903,0,0.0935,0.669,0,0.127,0.741,191.942,4
spotify:track:2SUd7akvmHCdbSEJJFAo9l,"Bongo bong","Clandestino","Manu Chao",1998,158426,0,false,1130795251,2014-09-24T14:59:45Z,"latin alternative","Because Music",0.755,0.545,9,-10.027,0,0.0646,0.944,0.000118,0.144,0.964,149.806,4
spotify:track:7EcypZWwOO3cTCAUJ68ojL,"Je ne t'aime plus","Clandestino","Manu Chao",1998,122760,0,false,1130795251,2014-09-24T14:59:45Z,"latin alternative","Because Music",0.65,0.438,9,-12.859,0,0.0357,0.911,0.759,0.136,0.932,149.891,4
spotify:track:3If2CvAOjKHlmtHjeXK5x4,"Cumbia Espacial","Ondatrópica (Album Sampler)","Ondatrópica",2012-07-16,245280,0,false,1130795251,2014-09-24T15:01:11Z,"electrocumbia,chicha,latin jazz","Soundway Records",0.708,0.888,8,-8.157,1,0.0468,0.358,0.756,0.158,0.77,91.323,4
spotify:track:0pHNCJ4saDvcpyYeLjrVTq,"Bandolero","Afro","Novalima",2005-11-15,259436,0,false,1130795251,2014-09-24T15:01:17Z,"electrocumbia,latin alternative","Mr. Bongo",0.776,0.768,7,-8.012,1,0.0382,0.0813,0.136,0.071,0.8,115.984,4
spotify:track:4RpQURGpmC78zXzp0hKU0n,"Machete","Afro","Novalima",2005-11-15,226301,0,false,1130795251,2014-09-24T15:01:17Z,"electrocumbia,latin alternative","Mr. Bongo",0.924,0.612,1,-8.277,0,0.246,0.179,0.0057,0.0631,0.846,122.995,4
spotify:track:2QTq3HfZdlpHb60XtqCi4q,"El Dia De Suerte","Héctor Lavoe El Cantante - The Originals","Héctor Lavoe",2010-02-01,327360,0,false,1130795251,2014-09-24T15:01:20Z,"salsa,merengue,son cubano,bolero","Fania",0.65,0.847,0,-5.481,0,0.0478,0.669,0,0.0533,0.953,99.454,4
spotify:track:23TbJzovFSbRm3qqmA7KFY,"Mi Swing Es Tropical","The Best of Quantic","Quantic;Nickodemus;TEMPO;Candela All Stars",2011-09-05,234920,1,false,1130795251,2014-09-24T15:01:57Z,"nu jazz,trip hop,downtempo,electrocumbia,acid jazz,latin alternative,italo dance,eurodance,latin house","Tru Thoughts",0.83,0.89,6,-8.275,1,0.0985,0.0142,0.000099,0.339,0.976,100.006,4
spotify:track:09PGyODYYlVsL49N7TR914,"Pedro Navaja","Anthology","Rubén Blades;Willie Colon Y Ruben Blades",2012-03-26,443480,0,false,1130795251,2014-09-24T15:02:18Z,"salsa,latin jazz,merengue,son cubano","Fania",0.582,0.61,11,-6.641,0,0.103,0.779,0.00000654,0.267,0.826,93.658,4
spotify:track:7jyC1e9oDwzrgzWdbd2DWD,"My Barrio","Rediscovering The Big Apple","Los Charly's Orchestra",2013-10-28,245391,4,false,1130795251,2014-11-10T23:07:34Z,"nu disco,boogie,funky house","Imagenes",0.824,0.797,10,-6.463,1,0.0599,0.352,0.000578,0.168,0.943,150.03,4
spotify:track:0P1BmL4Nb2p67UDNjDJvsp,"I Like It Like That","Chef (Original Motion Picture Soundtrack)","Pete Rodriguez",2014-01-01,265830,0,false,1130795251,2014-11-10T23:07:50Z,"cha cha cha,salsa,latin jazz,son cubano","Editions Milan Music",0.595,0.692,5,-5.48,1,0.0323,0.71,0.000312,0.63,0.92,133.553,4
spotify:track:1r2Vue9cbgUVGzNxzUaDw1,"El ritmo de Nueva York - 45 Version","The Craig Charles Funk & Soul Club, Vol. 3","Ray Lugo & The Boogaloo Destroyers",2014-11-24,211840,8,false,1130795251,2014-12-07T12:34:55Z,"latin jazz,cha cha cha","Freestyle Records",0.592,0.896,9,-3.957,1,0.0349,0.193,0.0166,0.304,0.609,91.779,4
spotify:track:5RXfHgeyjmlDPdFCNiqG1w,"Let It Go","The Craig Charles Funk & Soul Club, Vol. 3","Andre Espeut's Quintet",2014-11-24,222933,6,false,1130795251,2014-12-07T12:34:59Z,"","Freestyle Records",0.729,0.651,8,-6.777,0,0.0346,0.0845,0.0435,0.0829,0.389,107.004,4
spotify:track:5jkSCqrFyx2zfIrtqNZqmn,"Que Se Sepa","Chef - OST","Roberto Roena",2014-05-19,194864,0,false,1130795251,2014-12-25T13:43:21Z,"salsa","Milan Records",0.684,0.793,9,-5.317,0,0.0418,0.557,0.00000364,0.0684,0.953,117.035,4
spotify:track:0zxIZhqPgfWY8y4zrI6t5C,"Anacaona","Greatest Hits","Cheo Feliciano",2012-06-05,435640,0,false,1130795251,2014-12-25T14:02:38Z,"salsa,bolero,son cubano,latin jazz,cha cha cha","Fania",0.628,0.761,5,-9.135,0,0.0514,0.675,0.000702,0.925,0.932,108.062,4
spotify:track:4zpnQXLv2AILl8XKURmcHK,"Funky Nassau, Pt. 1 & 2","Atlantic Rhythm & Blues 1947-1974","The Beginning Of The End",2014-09-23,309533,0,false,1130795251,2014-12-25T19:07:44Z,"funk,jazz funk","Rhino Atlantic",0.707,0.53,6,-18.634,0,0.0511,0.543,0.0151,0.252,0.87,120.394,4
