Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5mwlZZK9QReZOiaHbjlC2z,"Liftoff","Liftoff","Standing Circle",2026-02-20,549305,12,false,1130795251,2026-03-02T11:14:18Z,"","La Sape Records",0.585,0.639,5,-8.399,0,0.0323,0.297,0.885,0.288,0.436,131.07,3
spotify:track:1usbq0r0dIz5MDRvc09bKd,"Role de Imigrante","Amú","Alcides Neto",2026-02-27,299000,16,false,1130795251,2026-03-02T11:14:48Z,"","Music in Exile",0.367,0.499,1,-12.994,1,0.0349,0.0369,0.052,0.241,0.459,168.139,3
spotify:track:62TzmJFxjBN8CjXfxN2P4n,"My Life","Push","Noriko Miyamoto;Isao Suzuki",1978,369866,39,false,1130795251,2026-03-02T11:16:14Z,"city pop,j-r&b","BBE Music",0.477,0.779,4,-8.366,0,0.0458,0.75,0.00563,0.258,0.595,100.233,4
spotify:track:1SRIzR6A71QCBZ8iajXT61,"A Universe","To Whom This May Concern","Jill Scott",2026-02-13,197990,53,true,1130795251,2026-03-02T11:17:14Z,"neo soul,quiet storm","Blues Babe Records / Human Re Sources / The Orchard",0.575,0.556,5,-5.584,0,0.109,0.317,0,0.106,0.263,134.893,4
spotify:track:1lY3TlPrAaRur0wipzwXHo,"#Jamal","#Jamal c/w I Love Music","45trio",2026-02-18,241850,19,false,1130795251,2026-03-02T11:17:26Z,"","BLOOM MUSIC",0.605,0.679,7,-6.134,1,0.0274,0.124,0.885,0.344,0.504,84.99,4
spotify:track:6QAlTkxloIbZN1XjCGDBdf,"Floresta Dos Sonhos","Vila","Fabiano do Nascimento;Vittor Santos e Orquestra",2026-02-27,368477,40,false,1130795251,2026-03-02T11:18:44Z,"brazilian jazz","Far Out Recordings",0.453,0.379,10,-12.534,0,0.03,0.939,0.9,0.123,0.41,88.548,4
spotify:track:3FScX9LOiQBqcEEje1bGQO,"Kaze No Michi","Dreamweavers II","Mark de Clive-Lowe;Andrea Lombardini;Tommaso Cappellato",2026-02-27,284640,21,false,1130795251,2026-03-02T11:20:20Z,"nu jazz,acid jazz,free jazz,indie jazz,nu disco","Mother Tongue Records",0.233,0.799,5,-9.312,0,0.034,0.00547,0.691,0.319,0.65,187.122,3
spotify:track:2jvFkWYexEBOkxyprDktA1,"Unspokerrn","The Pleasure Is Yours","GENA;Liv.e;Karriem Riggins",2026-02-27,207358,44,false,1130795251,2026-03-02T11:21:07Z,"neo soul,alternative r&b,experimental hip hop","Lex Records",0.522,0.602,5,-9.206,0,0.315,0.0694,0.276,0.102,0.595,78.908,4
spotify:track:2XFW2M843o9gr7O5YQJnDp,"Stuck In My Head","Silver Lining","Adi Oasis",2025-12-05,219862,52,false,1130795251,2026-03-03T10:09:03Z,"indie soul,neo soul,retro soul","Unity Records",0.721,0.854,0,-4.188,1,0.0889,0.0048,0.221,0.193,0.729,107.959,4
spotify:track:3KMLeuEPPk5rknwxSUNCOQ,"Come Back Home (Again) - Extended Mix","Come Back Home (Again)","Al Kent;The Disco Love Orchestra",2026-02-27,504745,18,false,1130795251,2026-03-02T21:21:23Z,"northern soul,nu disco,disco,disco house","Big Love",0.692,0.924,9,-7.117,0,0.0382,0.00114,0.0278,0.138,0.719,125.969,4
