Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:38y4E6upZ0dL9bnwC4MoUb,"Let’s Stay Together","Greatest","Al Green",2012-12-17,197160,0,false,1130795251,2013-07-15T21:03:05Z,"soul,classic soul,motown,soul blues","Demon Digital",0.778,0.293,9,-14.946,0,0.0611,0.179,0.00145,0.0592,0.553,101.485,4
spotify:track:4U1wKr6cp0b5bhiOMV2gwg,"Tired Of Being Alone","Greatest","Al Green",2012-12-17,171173,0,false,1130795251,2013-07-15T21:03:05Z,"soul,classic soul,motown,soul blues","Demon Digital",0.759,0.295,7,-14.302,1,0.0721,0.163,0.0156,0.157,0.533,98.064,4
spotify:track:0mIQG8Ff5x6z30FZbDCbnJ,"I’m Still In Love With You","Greatest","Al Green",2012-12-17,195213,0,false,1130795251,2013-07-15T21:03:05Z,"soul,classic soul,motown,soul blues","Demon Digital",0.698,0.356,0,-13.168,1,0.0326,0.187,0.000989,0.0564,0.821,97.674,4
spotify:track:0lV4bzieWGTChwMIRKHvyf,"How Can You Mend A Broken Heart?","Greatest","Al Green",2012-12-17,379306,0,false,1130795251,2013-07-15T21:03:05Z,"soul,classic soul,motown,soul blues","Demon Digital",0.477,0.273,4,-14.044,1,0.053,0.159,0.00000651,0.12,0.405,146.591,3
spotify:track:18U1aszUCk1Eri5yEPmX8M,"Take Me To The River","Greatest","Al Green",2012-12-17,224773,0,false,1130795251,2013-07-15T21:03:10Z,"soul,classic soul,motown,soul blues","Demon Digital",0.794,0.395,9,-12.034,1,0.0506,0.128,0.00651,0.109,0.946,119.673,4
spotify:track:2FDiB6qHgaMpLjI2O6Fnxz,"Simply Beautiful","Greatest","Al Green",2012-12-17,255040,0,false,1130795251,2013-07-15T21:03:18Z,"soul,classic soul,motown,soul blues","Demon Digital",0.498,0.195,7,-18.609,1,0.161,0.684,0.00604,0.0662,0.479,145.917,4
spotify:track:4V76i1z71d4QkSTevsaJTd,"Love And Happiness","Love and Happiness","Al Green",2001-08-27,302880,0,false,1130795251,2013-07-15T21:04:43Z,"soul,classic soul,motown,soul blues","Demon",0.824,0.363,6,-14.68,1,0.259,0.218,0.00135,0.0767,0.745,98.916,4
spotify:track:00pJnWz3rOgT88sxPclzuK,"I Can't Get Next To You","Love and Happiness","Al Green",2001-08-27,227440,0,false,1130795251,2013-07-15T21:05:10Z,"soul,classic soul,motown,soul blues","Demon",0.8,0.299,7,-14.196,0,0.126,0.187,0.00072,0.0897,0.443,112.775,4
spotify:track:5KvIXn9TpjQhnDby4jcHLY,"Here I Am (Come And Take Me)","Love and Happiness","Al Green",2001-08-27,258146,0,false,1130795251,2013-07-15T21:05:17Z,"soul,classic soul,motown,soul blues","Demon",0.794,0.442,11,-9.68,0,0.0355,0.392,0.000174,0.052,0.858,94.395,4
spotify:track:55EKFHnS1TTyIVYw0mj5KJ,"You're Gonna Miss Me - Original","You're Gonna Miss Me","Ann Sexton",2006-04-14,186750,0,false,1130795251,2013-07-15T21:06:31Z,"northern soul,classic soul,soul","Charly Records",0.809,0.479,9,-11.86,1,0.114,0.739,0,0.592,0.836,142.655,4
spotify:track:6v0BYC9pbDgQ6A7imml3eD,"Think","Definitive Soul: Aretha Franklin","Aretha Franklin",1985,138466,0,false,1130795251,2013-07-15T21:07:21Z,"soul,motown,classic soul","Rhino",0.697,0.814,6,-5.594,1,0.0384,0.109,0.0000129,0.244,0.934,110.092,4
spotify:track:3zyDPAVCR5FQuvkzV0vs5e,"I Never Loved A Man [The Way I Love You]","Definitive Soul: Aretha Franklin","Aretha Franklin",1985,164693,0,false,1130795251,2013-07-15T21:07:41Z,"soul,motown,classic soul","Rhino",0.715,0.235,5,-12.585,1,0.0439,0.389,0.0904,0.119,0.717,135.301,4
spotify:track:0pvA063uNyGQFp7DNtmk0P,"Sweet Soul Music","Rhino Hi-Five: Arthur Conley","Arthur Conley",2005-04-19,141066,0,false,1130795251,2013-07-15T21:08:25Z,"northern soul,motown,classic soul,soul","Rhino Atlantic",0.59,0.659,5,-9.669,1,0.0697,0.104,0.00000656,0.356,0.965,80.201,4
spotify:track:6SavQZM5TtnpDARG5HQTSB,"Too Hot To Stop - Pt. 1","True Funk [3 CD Set]","The Bar-Kays",2007-01-01,233906,0,false,1130795251,2013-07-15T21:08:42Z,"funk,post-disco","Universal Music",0.783,0.751,4,-8.275,0,0.115,0.0713,0.0000255,0.148,0.804,102.4,4
spotify:track:134o5xEQNC5kRUSRna6SDY,"Soul Finger","Stax-Volt: The Complete Singles 1959-1968","The Bar-Kays",1991,142706,28,false,1130795251,2013-07-15T21:08:56Z,"funk,post-disco","Rhino Atlantic",0.723,0.42,4,-14.828,1,0.0318,0.0598,0.885,0.423,0.769,115.389,4
spotify:track:6JumfGk4f9E5KLT086I75s,"Harlem","Just As I Am","Bill Withers",1971-05-01,205431,48,false,1130795251,2013-07-15T21:10:07Z,"soul","Columbia/Legacy",0.768,0.497,7,-9.211,1,0.0429,0.0928,0,0.157,0.778,113.845,4
spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,"Ain't No Sunshine","Just As I Am","Bill Withers",1971-05-01,126458,84,false,1130795251,2013-07-15T21:10:07Z,"soul","Columbia/Legacy",0.527,0.415,4,-11.451,0,0.122,0.457,0.0000172,0.117,0.515,78.169,4
spotify:track:1qfDfZAvrkSAFrAR2FTQDv,"Grandma's Hands","Just As I Am","Bill Withers",1971-05-01,122534,65,false,1130795251,2013-07-15T21:10:07Z,"soul","Columbia/Legacy",0.731,0.312,4,-14.939,0,0.0878,0.593,0.00000169,0.111,0.578,82.366,4
spotify:track:0xt3oHUZchlHPhiWXoADM5,"Use Me - Single Version","Still Bill","Bill Withers",1972-05-01,222093,0,false,1130795251,2013-07-15T21:10:32Z,"soul","Columbia/Legacy",0.766,0.661,11,-10.187,0,0.0542,0.0432,0.00246,0.0762,0.955,154.534,4
spotify:track:6GETCaMrDCu3uFe2TMkyGA,"The Same Love That Made Me Laugh","'Justments","Bill Withers",1974-08-08,206038,57,false,1130795251,2013-07-15T21:10:41Z,"soul","Legacy Recordings",0.8,0.544,2,-10.02,0,0.0285,0.359,0.00324,0.108,0.713,99.952,4
spotify:track:0S5ZoKKZD3bllkvhEoPimZ,"Can We Pretend","'Justments","Bill Withers",1974-08-08,229849,59,false,1130795251,2013-07-15T21:10:45Z,"soul","Legacy Recordings",0.596,0.313,9,-13.487,1,0.044,0.853,0.201,0.0601,0.489,82.067,4
spotify:track:2Ln4fno71kJLPZfy1XZoj1,"Heartbreak Road","'Justments","Bill Withers",1974-08-08,189750,41,false,1130795251,2013-07-15T21:10:53Z,"soul","Legacy Recordings",0.825,0.397,0,-10.63,1,0.0317,0.132,0.0334,0.0972,0.945,85.571,4
spotify:track:152Gwa0Gd1eqrGBffMs2HZ,"Lovely Day","Menagerie","Bill Withers",1977-10-29,254560,0,false,1130795251,2013-07-15T21:11:15Z,"soul","Columbia/Legacy",0.69,0.651,9,-8.267,1,0.0324,0.292,0.00241,0.105,0.706,97.918,4
spotify:track:6KKcey1w86oP0qxN8frbfD,"Green Onions","Green Onions / Behave Yourself","Booker T. & the M.G.'s",1962,167384,59,false,1130795251,2013-07-15T21:12:12Z,"","Rhino Atlantic",0.788,0.38,10,-15.179,1,0.0346,0.811,0.906,0.102,0.892,138.205,4
spotify:track:6WuqBUvdPvxNtfliOZKe1x,"Soul Limbo","Short Stax, Vol. 1","Booker T. & the M.G.'s",2007-01-01,143866,0,false,1130795251,2013-07-15T21:12:35Z,"","Universal Music Ltd.",0.686,0.67,0,-9.516,1,0.0428,0.262,0.766,0.0545,0.977,124.297,4
spotify:track:30ifbBw4zDOJCxHuLH1icR,"Oogum Boogum Song","Brenton Wood's 18 Best","Brenton Wood",1992-06-05,156106,0,false,1130795251,2013-07-15T21:12:57Z,"","The Bicycle Music Company",0.914,0.57,7,-6.072,1,0.0401,0.66,0,0.128,0.837,112.41,4
spotify:track:44KoRZkQbbhBlPimA7MoFX,"The Beat Goes On - Live","Blue Break Beats 4","Buddy Rich Big Band",2011-06-24,295266,0,false,1130795251,2013-07-15T21:13:46Z,"big band,jazz,bebop","Blue Note Records",0.444,0.768,9,-8.319,0,0.0543,0.0901,0.00331,0.735,0.769,158.294,4
spotify:track:72gugwdcoiR4AcKzdhx9E0,"Take Yo' Praise","The Iron Pot Cooker","Camille Yarbrough",1975,253573,0,false,1130795251,2013-07-15T21:14:38Z,"","Vanguard Records",0.797,0.475,1,-15.95,1,0.233,0.738,0.00157,0.111,0.595,101.361,4
spotify:track:3MFa9idQuY4iJLWsZl3tIQ,"Young Hearts Run Free","Young Hearts Run Free (US Internet Release)","Candi Staton",1976,248360,81,false,1130795251,2013-07-15T21:16:21Z,"","Rhino/Warner Records",0.654,0.652,7,-9.304,0,0.0426,0.13,0.0000149,0.202,0.846,115.389,4
spotify:track:6gQZKkphKIMxZgca5r7ImA,"Express Yourself - Remastered Version","Express Yourself (Remastered & Expanded)","Charles Wright & The Watts 103rd Street Rhythm Band",2007-10-22,229653,47,false,1130795251,2013-07-15T21:16:51Z,"funk,motown","Rhino/Warner Records",0.461,0.818,8,-8.482,1,0.125,0.305,0,0.266,0.721,92.322,4
spotify:track:0HsHf3BQYPav3L5jdLImjF,"Let's Do It Again","Let's Do It Again - Greatest Hits","The Staple Singers",2009-06-01,206040,0,false,1130795251,2013-07-15T21:17:26Z,"soul,motown,classic soul","Master Classics Records",0.648,0.568,4,-9.167,1,0.0368,0.591,0,0.144,0.93,79.693,4
spotify:track:53hGorB2qE5Ydef6fD0bXq,"Seven Days Too Long","Mod Mania","Chuck Wood",2010-01-01,138226,0,false,1130795251,2013-07-15T21:17:50Z,"northern soul,motown","UMOD (Universal Music On Demand)",0.561,0.9,3,-6.036,1,0.0404,0.741,0.000136,0.262,0.779,140.039,4
spotify:track:01gDLZsi0j5fWC28FLPNO8,"Move on Up - Extended Version","Curtis (Expanded Edition)","Curtis Mayfield",1970,535333,60,false,1130795251,2013-07-15T21:19:06Z,"classic soul,soul,motown,funk","Rhino",0.584,0.975,11,-6.534,0,0.0651,0.141,0.501,0.101,0.876,138.341,4
spotify:track:2ouFIPC3O1HNBcVTw1d9AN,"Freddie's Dead","Superfly: Deluxe 25th Anniversary Edition","Curtis Mayfield",1972-07-01,329466,51,false,1130795251,2013-07-15T21:19:36Z,"classic soul,soul,motown,funk","Rhino",0.523,0.803,1,-6.321,0,0.0791,0.107,0.000409,0.154,0.921,91.469,4
spotify:track:64ZNTP352iTIklz8V5R6Eu,"Why Can't There Be Love","Good to the Last Drop: Rare Sixties & Seventies Soul","Dee Edwards",2009-08-18,173360,0,false,1130795251,2013-07-15T21:19:57Z,"northern soul","Fantastic Voyage",0.497,0.789,8,-9.957,1,0.137,0.187,0.00606,0.0638,0.737,201.331,4
spotify:track:0Ykyh9HbouBeaixhJE2eBw,"Spooky","At Her Very Best","Dusty Springfield",2006-01-01,159786,0,false,1130795251,2013-07-15T21:20:18Z,"","Universal Music Group",0.749,0.533,4,-9.699,0,0.0284,0.584,0,0.121,0.965,106.296,4
spotify:track:2ysMxVgiMgrIGpumuzmHQh,"The Look Of Love","The Magic of Dusty Springfield","Dusty Springfield",2011-01-01,211680,5,false,1130795251,2013-07-15T21:20:55Z,"","Universal Music Group International",0.591,0.191,1,-12.314,0,0.0293,0.784,0,0.103,0.304,97.254,4
spotify:track:1hXIdXjAI4nWz4qnJ28iO2,"At Last","At Last The Very Best Of","Etta James",2011-05-19,181973,0,false,1130795251,2013-07-15T21:21:19Z,"soul,soul blues,blues,vocal jazz","TV Music",0.137,0.29,5,-13.03,1,0.0319,0.642,0.00102,0.275,0.289,174.034,3
spotify:track:2OlDaPUuYqdCLQncM0LtBu,"I'd Rather Go Blind","The Genuine Article: The Best Of Etta James","Etta James",1996-01-01,155000,32,false,1130795251,2013-07-15T21:21:23Z,"soul,soul blues,blues,vocal jazz","Geffen*",0.518,0.389,11,-9.701,0,0.0253,0.492,0.000689,0.127,0.623,80.301,3
spotify:track:3vblUuEXmXYsFEZkFLIV4x,"Sunday Kind Of Love","At Last The Very Best Of","Etta James",2011-05-19,198773,0,false,1130795251,2013-07-15T21:21:31Z,"soul,soul blues,blues,vocal jazz","TV Music",0.26,0.238,2,-12.959,0,0.0362,0.837,0,0.358,0.367,80.549,1
spotify:track:6OCu02giYyUohTNb5iLdf3,"Something's Got A Hold On Me","The Genuine Article: The Best Of Etta James","Etta James",1996-01-01,169040,36,false,1130795251,2013-07-15T21:21:48Z,"soul,soul blues,blues,vocal jazz","Geffen*",0.475,0.547,1,-7.622,1,0.0704,0.723,0,0.691,0.637,151.338,4
spotify:track:0SulV2rlox8iyPHYZnoQiM,"I Can't Help Myself (Sugar Pie, Honey Bunch)","Motown's Greatest Hits","Four Tops",1992-01-01,162693,0,false,1130795251,2013-07-15T21:22:42Z,"motown,northern soul,classic soul,soul","Universal Music Ltd.",0.651,0.535,0,-10.758,1,0.0303,0.163,0,0.072,0.953,127.137,4
spotify:track:2TARjNaeT3ImhWvSOcDw92,"Reach Out, I'll Be There","The Ultimate Collection: Four Tops","Four Tops",1997-01-01,182066,0,false,1130795251,2013-07-15T21:22:47Z,"motown,northern soul,classic soul,soul","Universal Music Group",0.622,0.79,3,-3.468,0,0.0322,0.0678,0,0.244,0.73,119.566,4
