Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0hprIXr2LcZsdnhg1qQcko,"Do The Whirlwind","In Case We Die","Architecture In Helsinki",2005-04-05,279040,0,false,1130795251,2013-08-19T22:22:08Z,"","Architecture in Helsinki",0.793,0.418,0,-8.416,1,0.0561,0.169,0.0827,0.387,0.54,111.961,4
spotify:track:5cwN1htZyoWqZCc33f3RfE,"The High Road","Broken Bells","Broken Bells;Danger Mouse;James Mercer",2010-03-01,232200,66,false,1130795251,2013-08-19T22:22:17Z,"","Columbia",0.61,0.638,0,-6.574,1,0.0238,0.0672,0.00000659,0.283,0.603,79.955,4
spotify:track:4DNvpvop6aMiIVUEjQmuXm,"Where I'm Going","Zonoscope","Cut Copy",2011,214102,0,false,1130795251,2013-08-19T22:22:32Z,"alternative dance,indie dance,indie electronic,new rave","Modular Recordings",0.308,0.86,8,-4.433,1,0.0376,0.0134,0.797,0.128,0.585,120.964,4
spotify:track:4d12AjSPP8IQZK1CamEwqp,"Will Do","Nine Types of Light","TV On The Radio",2011-01-01,224986,0,false,1130795251,2013-08-19T22:24:55Z,"indie rock,indie","Universal Music Group",0.563,0.857,2,-3.454,0,0.0364,0.0146,0.00818,0.0681,0.422,79.979,4
spotify:track:4Ej8ZvHSq2QNYqqqHF73uB,"Family Tree","Dear Science,","TV On The Radio",2008-09-21,333666,0,false,1130795251,2013-08-19T22:25:01Z,"indie rock,indie","4AD",0.44,0.461,1,-9.047,1,0.0301,0.766,0.0446,0.135,0.321,120.066,4
spotify:track:4hcNGsiVC4bJRrucc6BAU1,"One Big Holiday","It Still Moves","My Morning Jacket",2003-09-09,321373,0,false,1130795251,2013-08-19T22:25:13Z,"jam band,alt country,roots rock","ATO Records",0.412,0.917,9,-7.036,0,0.0525,0.0925,0.0143,0.24,0.313,136.85,4
spotify:track:2hUaJMLH2eHZ1FLz2LHDWq,"We Were Born The Mutants Again With Leafling","Hissing Fauna, Are You The Destroyer?","of Montreal",2007-01-23,298013,0,false,1130795251,2013-08-19T22:25:57Z,"neo-psychedelic,baroque pop,art pop","Polyvinyl Records",0.657,0.951,5,-5.488,1,0.0302,0.134,0.39,0.121,0.97,127.018,4
spotify:track:4BAWCedKFfdwxPFmFv4DMG,"Toothpaste Kisses","Colour It In","The Maccabees",2007,159320,53,false,1130795251,2013-08-19T22:27:02Z,"","Polydor Records",0.462,0.427,9,-13.333,1,0.0792,0.893,0.101,0.37,0.476,101.675,3
spotify:track:6xVkAMwxLiHPpaChkAFYtb,"1234","The Reminder","Feist",2007,183666,0,false,1130795251,2013-08-19T22:27:34Z,"","Digital Distribution Latvia",0.707,0.483,2,-7.578,1,0.0475,0.219,0.00000246,0.0871,0.638,109.938,4
spotify:track:6aUAF8JOd8zEl41B6I18xL,"Fake Empire","Boxer","The National",2007-05-21,205040,0,false,1130795251,2013-08-26T00:24:11Z,"indie rock","Beggars Banquet",0.324,0.776,0,-6.784,1,0.0346,0.151,0.917,0.0728,0.317,101.964,3
spotify:track:4b5wkb9yoggixO6eX25KPd,"Forget It","Coastal Grooves","Blood Orange",2011-08-08,236746,0,false,1130795251,2013-09-19T23:17:09Z,"art pop","Domino Recording Co",0.681,0.703,0,-10.653,1,0.0355,0.00116,0.00341,0.334,0.962,157.925,4
spotify:track:2FUAgbkTJbJPkH8ZFf0XxB,"I'll Find You","Ideas Above Our Station","Hundred Reasons",2002-05-20,186280,37,false,1130795251,2013-09-19T14:57:53Z,"post-hardcore","Columbia",0.289,0.916,2,-4.766,1,0.0544,0.00000281,0.0000893,0.198,0.543,108.077,4
spotify:track:4BLboQozqbi0wfghh4fV1a,"Answers","Ideas Above Our Station","Hundred Reasons",2002-05-20,193666,24,false,1130795251,2013-09-19T14:58:00Z,"post-hardcore","Columbia",0.447,0.863,7,-5.299,1,0.0929,0.000249,0.0000124,0.0593,0.373,92.396,4
spotify:track:6u04Nckg9QTUGHexQq5v8a,"My Girls","My Girls","Animal Collective",2009-03-22,343000,0,false,1130795251,2013-10-09T22:55:00Z,"neo-psychedelic,indie rock","Domino Recording Co",0.473,0.947,4,-6.039,0,0.0828,0.243,0.0597,0.882,0.55,119.959,4
spotify:track:697LWfA49GjDHL7utykini,"Rebellion (Lies)","Funeral","Arcade Fire",2005-02-28,310893,0,false,1130795251,2013-10-09T22:55:12Z,"indie rock,baroque pop","Rough Trade",0.4,0.934,8,-5.696,1,0.0344,0.00787,0.513,0.338,0.731,127.09,4
spotify:track:2lwwrWVKdf3LR9lbbhnr6R,"Float On","Good News For People Who Love Bad News","Modest Mouse",2004-04-05,208466,78,false,1130795251,2013-10-09T22:55:19Z,"indie rock,indie,alternative rock","Epic",0.649,0.888,6,-4.807,1,0.0293,0.013,0.00000223,0.0888,0.553,100.975,4
spotify:track:3gbV4nxQg7AGMwJjie8cUe,"Heaven's On Fire","Clinging To A Scheme","The Radio Dept.",2010-01-01,212133,0,false,1130795251,2013-10-09T23:03:33Z,"dream pop,shoegaze","Unknown",0.59,0.87,3,-4.536,1,0.0399,0.0596,0.00000152,0.157,0.86,130.703,5
spotify:track:3xLAZM5Bo9AdzgufhLIWhB,"San Jose","Take My Blanket and Go","Joe Purdy",2007-01-01,282400,0,false,1130795251,2013-10-09T23:04:45Z,"","Joe Purdy Records",0.202,0.625,0,-7.888,1,0.0427,0.538,0.00000501,0.292,0.342,169.503,3
