Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6MBuQATbbJpc8ap9GaBghg,"Perfume De Cebola","World Masters: L'annee Du Bresil, Vol. 2","Filo",2005-11-18,224973,0,false,1130795251,2013-07-13T13:11:51Z,"trance,mahraganat","Carinco AG",0.597,0.704,1,-12.561,0,0.0735,0.595,0,0.145,0.901,108.956,4
spotify:track:1obau7YVq9ocJhG7caEC9w,"Guarapiranga","Outro Lugar","Toco",2007-06-19,311130,43,false,1130795251,2013-07-13T13:13:47Z,"bossa nova,brazilian jazz","Schema Records",0.702,0.815,2,-7.731,0,0.0387,0.684,0.566,0.111,0.818,96.015,4
spotify:track:7E26bY2VRYa0XvkpCyy3np,"Batucada","The Best Of Sergio Mendes","Sergio Mendes & Brasil '66",2009-01-01,140013,2,false,1130795251,2013-07-13T13:13:57Z,"bossa nova,brazilian jazz,latin jazz","Decca (UMO)",0.572,0.607,0,-9.848,0,0.0329,0.182,0,0.113,0.96,106.815,4
spotify:track:0UGys0LIzJsiesDFvvrCTO,"Uncertainty","Howlin","Jagwar Ma",2013-06-10,242493,0,false,1130795251,2013-07-13T13:14:17Z,"","Marathon Artists",0.708,0.563,7,-7.744,1,0.0256,0.0765,0,0.136,0.556,98.011,4
spotify:track:771L440a1283WimX8EzkpG,"Miss You","GRRR! (Deluxe Version)","The Rolling Stones",2012-01-01,214893,0,false,1130795251,2013-07-13T13:14:40Z,"classic rock,rock","Universal Music New Zealand Limited",0.855,0.558,9,-7.427,0,0.0306,0.0889,0.0222,0.0605,0.961,109.988,4
spotify:track:22KsDqTNLAaPP3EH6Sx5do,"Blackbird","Blackbird","Fat Freddy's Drop",2013-06-24,567458,0,false,1130795251,2013-07-13T13:14:53Z,"nz reggae,dub","The Drop",0.72,0.791,7,-6.902,0,0.0361,0.0377,0.73,0.504,0.535,95.01,4
spotify:track:7BglfN5b1n3ItWQ6SX1jlc,"Defeated No More","Settle (Deluxe Version)","Disclosure;Edward MacFarlane",2013-01-01,367768,0,false,1130795251,2013-07-13T13:16:16Z,"house","Universal Music Group",0.764,0.768,2,-5.926,1,0.3,0.00625,0,0.338,0.671,116.007,4
spotify:track:5eXo3ovkMsNoSY0oWPQk1A,"Brazil","Half Of Where You Live","Gold Panda",2013-06-10,346586,0,false,1130795251,2013-07-13T13:16:37Z,"chillwave,idm","Notown",0.682,0.718,1,-9.142,0,0.211,0.00691,0.46,0.105,0.632,129.953,4
spotify:track:66lvmGhRtKwmXTARMqNRl7,"Walcott","Vampire Weekend","Vampire Weekend",2008-01-27,221600,0,true,1130795251,2013-07-13T13:18:01Z,"indie,baroque pop","XL Recordings",0.398,0.56,5,-5.448,1,0.0312,0.512,0.0151,0.224,0.59,160.712,4
spotify:track:1HvC7KoIL7nrNzu8AMRMua,"A Fax from the Beach","Hanging Gardens","Classixx",2013-05-13,339000,0,false,1130795251,2013-07-13T13:18:18Z,"nu disco,indie dance","Innovative Leisure",0.676,0.925,2,-8.194,1,0.0447,0.127,0.844,0.1,0.15,122.996,4
spotify:track:2PgnmyrMz2R35ePgyHjlJy,"Dominoes","Hanging Gardens","Classixx",2013-05-13,253773,0,false,1130795251,2013-07-13T13:18:31Z,"nu disco,indie dance","Innovative Leisure",0.659,0.782,6,-7.231,1,0.0548,0.0558,0.0335,0.0991,0.626,116.003,4
spotify:track:3G9RHExOlulJtarVW2SilB,"Holding On","Hanging Gardens","Classixx",2013-05-13,380240,0,false,1130795251,2013-07-13T13:18:38Z,"nu disco,indie dance","Innovative Leisure",0.716,0.871,10,-6.168,1,0.0729,0.00535,0.289,0.0464,0.894,123.003,4
spotify:track:0dEIca2nhcxDUV8C5QkPYb,"Give Life Back to Music","Random Access Memories","Daft Punk",2013-05-20,275386,65,false,1130795251,2013-07-13T13:18:56Z,"french house,electronic,electro","Columbia",0.788,0.616,9,-10.671,0,0.0337,0.00286,0.549,0.0952,0.696,119.037,4
spotify:track:1LJpg66ukvsbFzW48d3YmT,"Trying To Be Cool","Bankrupt! (Spotify Exclusive)","Phoenix",2013-04-19,229560,0,false,1130795251,2013-07-13T13:19:16Z,"indie","Atlantic Records UK",0.492,0.805,9,-4.186,0,0.0337,0.0133,0.0147,0.332,0.412,113.981,4
spotify:track:2evUCeihA86O01BK4oukx4,"Drakkar Noir","Bankrupt! (Spotify Exclusive)","Phoenix",2013-04-19,202173,0,false,1130795251,2013-07-13T13:19:31Z,"indie","Atlantic Records UK",0.233,0.899,0,-4.315,1,0.0573,0.00116,0.0000188,0.458,0.272,128.826,4
spotify:track:2THkQauDWMvJgXFGPY4iKB,"Too Young","United","Phoenix",2000-03-06,197973,61,false,1130795251,2013-07-13T13:19:46Z,"indie","Parlophone (France)",0.622,0.75,9,-6.367,0,0.0445,0.0625,0.000133,0.127,0.905,141.324,4
