Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0zR59SRM5pQNPC7U9E3xtZ,"China Grove","Rhino Hi-Five: The Doobie Brothers","The Doobie Brothers",2005-07-19,197426,0,false,,2012-08-18T23:24:05Z,"yacht rock,classic rock,soft rock,southern rock","Rhino/Warner Bros.",0.63,0.885,9,-10.198,1,0.0412,0.265,0.00167,0.171,0.653,145.588,4
spotify:track:38ZSk54PgmcQZoMLIQbAda,"How Long","Invincible","Ace",2007-03-10,203400,0,false,,2012-08-18T23:24:09Z,"yacht rock,soft rock","Hollywood (Europe)",0.679,0.687,0,-6.343,0,0.0294,0.25,0.00297,0.108,0.667,123.063,4
spotify:track:1m3BAsNsQAaSNMD2M6vlKY,"Breezin'","Breezin' (Expanded)","George Benson",1976,341733,66,false,,2012-08-18T23:24:19Z,"smooth jazz,yacht rock,jazz funk,soul jazz","Rhino/Warner Records",0.682,0.752,2,-9.521,1,0.0454,0.476,0.863,0.0768,0.964,81.081,4
spotify:track:62leJoS03BiNzdoQmb9ByN,"Ride Like the Wind","Rhino Hi-Five: Christopher Cross","Christopher Cross",2005-04-19,275506,0,false,,2012-08-18T23:24:53Z,"yacht rock,soft rock","Rhino/Warner Records",0.669,0.707,0,-13.66,0,0.0478,0.347,0.000716,0.0997,0.806,124.335,4
spotify:track:6lPbvFOOpN4pltOqJp7ddN,"Marrakesh Express","Greatest Hits","Crosby, Stills & Nash",2005-03-14,159106,46,false,,2012-08-18T23:25:01Z,"folk rock,yacht rock","Rhino",0.567,0.617,7,-13.703,1,0.17,0.247,0.000192,0.166,0.822,107.489,4
spotify:track:2lC8mX6MPdp8bDabe80ZPH,"Long Train Runnin'","The Doobie Brothers - Long Train Runnin' 1970 - 2000 (US Release)","The Doobie Brothers",2004,207560,0,false,,2012-08-18T23:25:12Z,"yacht rock,classic rock,soft rock,southern rock","Rhino/Warner Bros.",0.556,0.907,7,-8.383,0,0.0405,0.212,0.00184,0.14,0.911,117.952,4
spotify:track:6Akq0FPmapHBU26A6r6brT,"What a Fool Believes - 2009 Remaster","The Ultimate Collection","The Doobie Brothers",2005-08-09,226333,44,false,,2012-08-18T23:25:12Z,"yacht rock,classic rock,soft rock,southern rock","Rhino",0.745,0.607,8,-7.525,0,0.0362,0.422,0,0.0354,0.979,120.98,4
spotify:track:4LG2jXgisjVZq5SUAPvkV5,"Reelin' In The Years","Showbiz Kids: The Steely Dan Story 1972 - 1980 (Remastered)","Steely Dan",2000-01-01,277200,0,false,,2012-08-18T23:25:12Z,"yacht rock,classic rock","Universal Music Group",0.518,0.784,2,-8.924,1,0.0369,0.117,0,0.0954,0.736,135.25,4
spotify:track:5bRNHWq5pS1g2A7LS1QTYv,"Do It Again","Showbiz Kids: The Steely Dan Story 1972 - 1980 (Remastered)","Steely Dan",2000-01-01,357640,0,false,,2012-08-18T23:25:12Z,"yacht rock,classic rock","Universal Music Group",0.682,0.566,2,-9.234,0,0.0313,0.219,0.0000236,0.054,0.962,124.579,4
spotify:track:6bzwsAtj4TqaBysLDrGiO3,"I.G.Y.","The Nightfly","Donald Fagen",1982-10-29,363413,60,false,,2012-08-18T23:25:12Z,"yacht rock,aor","Reprise",0.834,0.559,8,-9.366,0,0.0603,0.614,0.00434,0.0839,0.874,119.422,4
spotify:track:0B1zVsLqmV9ibIFdNS5tGs,"I Saw the Light","Something / Anything?","Todd Rundgren",1972,182800,65,false,,2012-08-18T23:25:12Z,"yacht rock,power pop,philly soul","Rhino",0.583,0.833,0,-8.29,1,0.0343,0.0531,0.0000557,0.16,0.81,119.884,4
spotify:track:0FeCO85RKW8fDRytwXof2x,"Go Your Own Way","Rumours","Fleetwood Mac",1977-02-04,218400,3,false,,2012-08-18T23:25:25Z,"yacht rock,classic rock,soft rock","Warner Bros.",0.597,0.812,5,-12.062,1,0.0315,0.0219,0.00106,0.102,0.823,135.68,4
spotify:track:703BT1NQsfIwPFv8MXQ47m,"Dreams","Rumours","Fleetwood Mac",1977-02-04,254453,1,false,,2012-08-18T23:25:25Z,"yacht rock,classic rock,soft rock","Warner Bros.",0.823,0.338,0,-15.899,1,0.0413,0.139,0.00129,0.5,0.785,120.473,4
spotify:track:3dge8PgRBqnv3qKsPpUeO6,"Everybody Wants To Rule The World","Greatest Hits (Deluxe Sound & Vision)","Tears For Fears",2004-06-14,249266,0,false,,2012-08-18T23:25:34Z,"new wave,synthpop","Mercury Records Limited",0.684,0.818,2,-11.198,1,0.0432,0.406,0.00397,0.0835,0.467,112.083,4
spotify:track:6wLr2oR8eqUG5Beleh2Crm,"You Can Call Me Al","The Essential Paul Simon","Paul Simon",2007,280586,55,false,,2012-08-18T23:26:43Z,"singer-songwriter","Legacy Recordings",0.777,0.725,5,-9.012,1,0.047,0.126,0.0108,0.0917,0.851,128.349,4
spotify:track:5S6JO6nFSxkGBCT2Z1EObo,"These Dreams Of You","Moondance","Van Morrison",1970-02-28,233893,0,false,,2012-08-18T23:27:15Z,"","Rhino/Warner Bros.",0.688,0.354,7,-14.477,1,0.0584,0.052,0.000235,0.0722,0.838,113.022,4
spotify:track:7MkV5KSkh8ZZUl8KeDXAfi,"Listen To The Music - Single Version","Rhino Hi-Five: The Doobie Brothers [Vol. 2]","The Doobie Brothers",2007-06-26,206800,0,false,,2012-08-18T23:27:34Z,"yacht rock,classic rock,soft rock,southern rock","Rhino/Warner Bros.",0.656,0.762,4,-7.744,1,0.0336,0.2,0.00000277,0.1,0.92,106.041,4
spotify:track:6OHHyXK6G1SlUgSMLvoF3o,"Didn't I","Listen To My Song: The Music City Sessions","Darondo",2011-08-05,208213,0,false,,2012-08-18T23:28:35Z,"","Ace Records",0.437,0.401,7,-12.394,0,0.032,0.0514,0.0000208,0.126,0.565,150.185,4
spotify:track:0AQOxlo09lSKcRCUSU2agd,"Baby Come Back","Late Night Tales presents Music For Pleasure (selected and mixed by Groove Armada's Tom Findlay)","Player",2012-06-08,214373,0,false,,2012-08-18T23:30:24Z,"yacht rock","Late Night Tales",0.645,0.604,5,-9.904,0,0.118,0.0713,0,0.129,0.545,156.436,4
spotify:track:5WjsAEnkSWFnDViRAEuxwE,"Keep Forgettin (Every Time You're Near)","Late Night Tales presents Music For Pleasure (selected and mixed by Groove Armada's Tom Findlay)","Michael McDonald",2012-06-08,223693,0,false,,2012-08-18T23:30:24Z,"yacht rock","Late Night Tales",0.738,0.41,4,-17.046,0,0.0472,0.336,0.000105,0.046,0.924,95.376,4
spotify:track:6lOPbNUxDvkUkWpJLebgs7,"Raspberry Beret","The Very Best of Prince","Prince",2001-07-30,215173,42,false,,2012-08-18T23:30:44Z,"funk rock,funk","Rhino/Warner Records",0.761,0.67,2,-12.759,1,0.0438,0.21,0.000426,0.0684,0.91,120.75,4
spotify:track:6i8ecOsx4J2Px1maiqzqoG,"Everywhere","Tango In The Night","Fleetwood Mac",1987-04-13,222733,3,false,,2012-08-18T23:30:46Z,"yacht rock,classic rock,soft rock","Warner Bros.",0.69,0.54,4,-10.516,1,0.0317,0.218,0.00657,0.115,0.764,114.846,4
