Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7nY0EUXcdQBxslzzH5coH6,"Viento Calido","Dolphin","Greg Foat;Gigi Masin",2023-06-16,402040,29,false,1130795251,2023-07-02T21:22:03Z,"ambient jazz,nu jazz,experimental jazz,ambient","Strut",0.579,0.519,0,-12.637,0,0.0259,0.699,0.811,0.0894,0.394,99.988,4
spotify:track:2K59Q3yLuv3XspKIMMXMFc,"Love Theme","Dolphin","Greg Foat;Gigi Masin",2023-06-16,358200,27,false,1130795251,2023-07-02T21:22:05Z,"ambient jazz,nu jazz,experimental jazz,ambient","Strut",0.569,0.414,5,-14.394,0,0.0272,0.295,0.86,0.106,0.323,100.04,4
spotify:track:2pxhPlNKbARbKST0UZ42BV,"Fresh Snow","Off-Piste","Greg Foat;Art Themen",2023-04-14,639829,16,false,1130795251,2023-07-02T21:22:18Z,"ambient jazz,nu jazz,experimental jazz","Athens Of The North",0.267,0.19,0,-19.707,0,0.0314,0.979,0.901,0.114,0.0412,92.452,4
spotify:track:1qAHl8vqvdYetBTErUWnxk,"Sapphire Dreams","The Dreaming Jewels","Greg Foat",2019-11-29,318560,39,false,1130795251,2023-07-02T21:22:32Z,"ambient jazz,nu jazz,experimental jazz","Athens Of The North",0.643,0.391,7,-18.29,1,0.0659,0.137,0.926,0.0993,0.708,84.732,4
spotify:track:6FEoUAivWp39e4DPzHKeYs,"Harmonica and....","Harmonica and....","Sven Wunder",2023-03-24,226882,27,false,1130795251,2023-07-02T21:23:59Z,"neo-psychedelic","Piano Piano",0.648,0.654,10,-7.577,0,0.0333,0.228,0.0743,0.0953,0.944,90.11,4
spotify:track:5bbs3ZFOj0UKhqqWt5gNHM,"Jazz At Night","Jazz At Night","Sven Wunder",2022-12-02,189214,4,false,1130795251,2023-07-02T21:25:30Z,"neo-psychedelic","Piano Piano",0.336,0.211,4,-15.819,0,0.0311,0.972,0.93,0.0904,0.0875,79.455,3
spotify:track:5nZR6YRCKvYCXchMDpuIJ7,"Water Street","Water Street","Matthew Halsall",2023-06-16,498600,19,false,1130795251,2023-07-02T21:25:38Z,"ambient jazz,jazz,nu jazz,indie jazz","Gondwana Records",0.672,0.437,10,-14.487,0,0.028,0.599,0.107,0.109,0.412,99.988,4
spotify:track:4T3VH4hPuc3qtB4hlv6Mp7,"Positive Activity","Changing Earth","Matthew Halsall",2022-12-02,473173,20,false,1130795251,2023-07-02T21:25:54Z,"ambient jazz,jazz,nu jazz,indie jazz","Gondwana Records",0.444,0.281,1,-13.955,1,0.038,0.875,0.893,0.118,0.181,122.823,1
spotify:track:2PgqU5G74wNG0O8pR34QvE,"Mindfulness Meditations","Salute to the Sun","Matthew Halsall",2020-11-20,169640,30,false,1130795251,2023-07-02T21:27:21Z,"ambient jazz,jazz,nu jazz,indie jazz","Gondwana Records",0.271,0.31,4,-15.876,0,0.0706,0.943,0.686,0.285,0.188,73.073,4
spotify:track:323DjIoNrWKRYkETJagibE,"The Energy of Life","Salute to the Sun","Matthew Halsall",2020-11-20,439706,20,false,1130795251,2023-07-02T21:27:32Z,"ambient jazz,jazz,nu jazz,indie jazz","Gondwana Records",0.468,0.529,0,-12.271,1,0.0302,0.618,0.913,0.113,0.657,92.108,1
spotify:track:5eQYb3GmaiKbkZDPONyjWc,"Upper Space","Changing Earth","Matthew Halsall",2022-12-02,434626,14,false,1130795251,2023-07-02T21:28:11Z,"ambient jazz,jazz,nu jazz,indie jazz","Gondwana Records",0.505,0.321,7,-13.285,0,0.0294,0.931,0.894,0.131,0.246,135.047,4
spotify:track:5xxHyBIK5bo3Uruer0hlGh,"Horizons","Horizons","Jasmine Myra",2022-07-15,323320,47,false,1130795251,2023-07-02T21:29:01Z,"ambient jazz,nu jazz,jazz","Gondwana Records",0.413,0.329,9,-14.006,1,0.026,0.721,0.919,0.101,0.139,98.896,4
spotify:track:4kSaMmUfZoLBNHPdPBrnmU,"Natten","Natten","Bremer/McCoy",2021-10-29,337078,0,false,1130795251,2023-07-02T21:29:39Z,"ambient jazz","Bremer/McCoy Music",0.387,0.125,11,-21.448,0,0.0302,0.886,0.923,0.0748,0.0911,112.978,4
spotify:track:4FbcziyqyAW4Uypxj2MBM3,"Together Is A Beautiful Place To Be","SOURCE","Nubya Garcia",2020-08-21,456240,23,false,1130795251,2023-07-02T21:31:58Z,"nu jazz,jazz,jazz funk,indie jazz","Concord Jazz",0.423,0.241,8,-13.267,1,0.041,0.943,0.795,0.104,0.166,128.69,4
spotify:track:5aOYmpTeCcq1GekEyMvzti,"Palms","Dybbuk Tse!","Yoni Mayraz",2023-06-02,151502,22,false,1130795251,2023-07-02T21:34:20Z,"nu jazz,jazz fusion,indie jazz","Astigmatic Records",0.551,0.798,7,-8.667,0,0.0466,0.169,0.947,0.0871,0.568,149.913,4
spotify:track:2qUmQvqFLcmFEWuu5cHQzm,"Space 2","Space 1.8","Nala Sinephro",2021-09-03,294000,0,false,1130795251,2023-07-02T21:37:45Z,"ambient jazz,ambient,experimental jazz,nu jazz","Warp Records",0.35,0.124,8,-20.301,0,0.034,0.865,0.711,0.102,0.039,123.145,4
spotify:track:5xYR2G6YOEzX2X9asFUrOE,"Space 1","Space 1.8","Nala Sinephro",2021-09-03,248000,56,false,1130795251,2023-07-02T21:38:04Z,"ambient jazz,ambient,experimental jazz,nu jazz","Warp Records",0.271,0.0744,7,-26.455,0,0.0422,0.968,0.937,0.0574,0.0358,114.437,4
spotify:track:4F7AJSzHZFqqWOsPX3lvDq,"Movement 6","Promises","Floating Points;Pharoah Sanders;London Symphony Orchestra",2021-03-26,530894,0,false,1130795251,2023-07-02T21:39:25Z,"idm,ambient jazz,gnawa,free jazz,jazz,experimental jazz,hard bop,classical,orchestral,ballet,opera","Luaka Bop",0.115,0.257,0,-14.611,0,0.0349,0.805,0.819,0.184,0.0725,93.784,4
spotify:track:3fWFlmEPPN28xYlKqd7abt,"Astral Traveling","Thembi","Pharoah Sanders",1971,349000,0,false,1130795251,2023-07-03T08:07:46Z,"free jazz,ambient jazz,jazz,experimental jazz,hard bop","Impulse!",0.445,0.413,10,-14.925,1,0.0658,0.247,0.0111,0.107,0.49,131.512,4
spotify:track:0Fd6VzCMBYsNWBsJnF7snn,"Torino","Tutto Passa","Gianni Brezzo",2022-05-06,222937,0,false,1130795251,2023-07-03T08:08:28Z,"nu jazz,ambient jazz,jazz funk,indie jazz","Jakarta",0.578,0.513,0,-9.871,0,0.0277,0.351,0.924,0.172,0.729,149.911,4
spotify:track:4wfkTVPHCmDCQGlsE6PL9T,"Blue to Red","Blue to Red","Chip Wickham",2020-05-08,442133,0,false,1130795251,2023-07-03T08:08:47Z,"nu jazz,ambient jazz,jazz","Lovemonk",0.547,0.388,2,-10.805,0,0.0238,0.588,0.118,0.326,0.344,90.008,4
spotify:track:0ACw843QBnM71SUVk5rOG2,"Rainmaker","Septet","John Carroll Kirby",2021-06-25,462868,32,false,1130795251,2023-07-03T08:09:03Z,"ambient jazz","Stones Throw Records",0.451,0.529,5,-8.335,0,0.116,0.127,0.869,0.0993,0.814,172.029,4
spotify:track:31ttUjNlj72yDf0JnddIRd,"Natura Morta","Natura Morta","Sven Wunder",2021-06-11,185282,39,false,1130795251,2023-07-03T08:11:06Z,"neo-psychedelic","Piano Piano",0.468,0.342,7,-9.879,1,0.0286,0.864,0.942,0.125,0.429,155.803,4
spotify:track:17usqm8oVqdcfEWk0zM0f8,"Morning View","Morning View","Jacob Gurevitsch",2023-04-28,184241,0,false,1130795251,2023-07-04T13:01:03Z,"","Music For Dreams",0.514,0.163,10,-14.815,0,0.0391,0.971,0.967,0.113,0.365,149.855,4
spotify:track:7JEugxa6VEWZm45XEiVNT4,"Es Vedra","Linkwood & Foat","Linkwood;Greg Foat",2020-02-28,408588,22,false,1130795251,2023-07-04T13:07:50Z,"dub techno,ambient jazz,nu jazz,experimental jazz","Athens Of The North",0.811,0.469,1,-14.949,1,0.0753,0.267,0.905,0.0853,0.825,91.523,3
spotify:track:48ci1UCA9mof51CMcjeX0k,"Strings of Eden - Garden Mix","Strings of Eden","Alex Kassian;Miguel Atwood-Ferguson",2023-05-05,516958,18,false,1130795251,2023-07-05T17:08:42Z,"ambient jazz","Pinchy & Friends",0.238,0.247,0,-17.553,1,0.039,0.878,0.791,0.116,0.128,114.382,4
spotify:track:6W6iCHIlyiYq2oAWBrT3tt,"Calder Shapes","Calder Shapes","Matthew Halsall",2023-07-07,428653,19,false,1130795251,2023-07-07T08:24:52Z,"ambient jazz,jazz,nu jazz,indie jazz","Gondwana Records",0.447,0.475,9,-12.614,0,0.0346,0.695,0.868,0.102,0.537,107.53,3
spotify:track:70hfEabX0GHnUMhintCbmx,"Take a Break","Take a Break","Sven Wunder",2023-07-21,179440,16,false,1130795251,2023-08-22T08:26:38Z,"neo-psychedelic","Piano Piano",0.504,0.412,7,-9.249,0,0.0358,0.258,0.726,0.0987,0.749,79.235,4
spotify:track:1GEMxPorRcPDfHo09c8j4c,"Sea of Tranquility","The Glass Frog","Greg Foat",2024-07-26,538000,19,false,1130795251,2024-08-14T08:28:59Z,"ambient jazz,nu jazz,experimental jazz","Blue Crystal Records",0.32,0.279,5,-14.462,0,0.0311,0.957,0.954,0.108,0.0796,127.287,4
spotify:track:1YnLT5cDY9ugMqZ0JQsdm2,"Foals of Epona","The Glass Frog","Greg Foat",2024-07-26,260000,9,false,1130795251,2024-08-14T08:29:18Z,"ambient jazz,nu jazz,experimental jazz","Blue Crystal Records",0.615,0.858,2,-13.984,1,0.0375,0.092,0.904,0.0865,0.893,97.019,4
spotify:track:4G6Ki9Aoa3Xwq8RoWTNoXF,"Looking Up","Dawn Is A Melody","Finn Rees",2024-05-31,270009,18,false,1130795251,2024-08-16T13:15:11Z,"soul jazz,jazz house","Mr Bongo",0.426,0.44,5,-12.776,0,0.0336,0.395,0.836,0.0876,0.311,97.855,4
spotify:track:4wJscij8wMBnljGpgdVl2L,"Morning Sun","Morning Sun","Phi-Psonics",2024-07-31,299946,0,false,1130795251,2024-08-21T14:09:37Z,"ambient jazz,jazz","Gondwana Records",0.431,0.321,8,-12.093,1,0.0364,0.976,0.883,0.0707,0.388,114.417,4
spotify:track:2kPdZHjIUTiiyBOHV8VYmp,"One Friday In September (9月のある金曜日)","Icarus (イカロス) / One Friday In September (9月のある金曜日)","Mark Barrott",2023-03-06,217594,3,false,1130795251,2024-09-17T13:19:17Z,"ambient","Anjunachill",0.386,0.0158,9,-25.1,0,0.0653,0.973,0.764,0.0722,0.168,81.941,4
spotify:track:3l7HeIaOv5RCSF62JVfRvO,"Continuum 8","Endlessness","Nala Sinephro",2024-09-06,250611,39,false,1130795251,2024-09-19T14:35:55Z,"ambient jazz,ambient,experimental jazz,nu jazz","Warp Records",0.447,0.18,7,-21.042,1,0.0342,0.8,0.956,0.103,0.189,104.285,3
spotify:track:3qeIGtScsinpr7vWlcz3S0,"Ode To The Big Sea","Motion","The Cinematic Orchestra",1999-09-01,339972,30,false,1130795251,2024-12-09T12:53:24Z,"nu jazz,downtempo","Ninja Tune",0.59,0.964,7,-6.739,1,0.0372,0.00124,0.891,0.108,0.73,107.384,3
spotify:track:0d5OqgwdmMGaJbQOkWWwHI,"Windspeaks","2nd Collection","Uyama Hiroto",2007-11-11,269386,24,false,1130795251,2025-01-14T22:32:17Z,"jazz rap,nu jazz","Hydeout Productions",0.551,0.796,6,-8.702,0,0.042,0.466,0.968,0.104,0.86,123.038,4
spotify:track:2qnBvk9wvOo4xMRAYR8fkX,"A Tale","Mios","Synergetic Voice Orchestra;Yumiko Morioka",2021-07-07,331725,22,false,1130795251,2026-06-11T13:11:37Z,"ambient","Métron Records",0.29,0.159,5,-22.25,0,0.0417,0.906,0.884,0.0969,0.0719,160.014,4
