Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6lx5aHjUesS2XEyLxXknLQ,"Heaven","Life Stories","Ebo Taylor",1977,365693,0,false,1130795251,2019-06-03T21:28:07Z,"highlife,afrobeat,afropop","Strut",0.655,0.771,9,-7.321,0,0.0517,0.124,0.509,0.0811,0.398,99.567,4
spotify:track:2qgudkFpaRq2YcJDWhKW44,"Love and Death","Love & Death","Ebo Taylor",2010-10-25,415090,0,false,1130795251,2019-06-03T21:28:16Z,"highlife,afrobeat,afropop","Strut",0.742,0.896,0,-7.208,1,0.0501,0.135,0.461,0.12,0.871,102.451,4
spotify:track:2OTdv2Kfd0vSaI3GRIyVki,"Kuar - Henrik Schwarz Remix","Lost Village, Chapter II","Emmanuel Jal;Henrik Schwarz",2016-04-08,503960,0,false,1130795251,2019-06-03T21:29:14Z,"afro house,afro tech,tribal house,nu jazz","Moda Black",0.731,0.626,3,-9.14,0,0.0501,0.0084,0.41,0.12,0.552,124.879,4
spotify:track:5w3t1A5itlTBwAZr836dcA,"Women Can Do","Tu mens devant moi","Voilaaa;Ayuune Sule",2019-05-31,335932,7,false,1130795251,2019-06-03T21:32:31Z,"","Favorite Recordings",0.82,0.662,9,-10.701,0,0.0907,0.0311,0.0676,0.0803,0.888,138.038,4
spotify:track:6tR8N0wgzIoKaI7fmh0J0O,"Pata Pata","Reflections","Miriam Makeba",2003-11-28,203866,0,false,1130795251,2019-06-03T21:33:07Z,"afropop,cha cha cha","Gallo Record Company",0.735,0.418,8,-12.248,1,0.0361,0.273,0.0000872,0.173,0.787,125.051,4
spotify:track:1UIqpCB0b56K7U0JJPfskN,"Spies Are Watching Me","On te l'avait dit","Voilaaa;Sir Jean",2015-10-23,432963,48,false,1130795251,2019-06-03T21:33:45Z,"dub,ragga","Favorite",0.892,0.708,4,-9.041,0,0.0782,0.0395,0.00147,0.0335,0.949,127.002,4
spotify:track:14ojTNSqmbaBn5nCKRrYFe,"Khomo Tsaka Deile Kae?","Next Stop Soweto 4: Zulu Rock, Afro-Disco & Mbaqanga 1975-1985","Marumo",2015-03-09,224720,0,false,1130795251,2019-06-03T21:34:24Z,"afrobeat","Strut",0.658,0.775,2,-8.058,0,0.0864,0.117,0.00000819,0.195,0.708,120.699,4
spotify:track:3W515NICo3xbpXaymNDFPx,"Mind Your Own Business","Yen Ara","Ebo Taylor",2018-04-06,313866,13,false,1130795251,2019-06-03T21:34:44Z,"highlife,afrobeat,afropop","Mr Bongo",0.622,0.907,7,-9.021,1,0.047,0.0381,0.0902,0.0819,0.825,125.77,4
spotify:track:5O0YX1q26womuLV7iSMwps,"Kenke Corner","Kenke Corner","Guts",2019-02-27,386893,0,false,1130795251,2019-06-03T21:36:45Z,"trip hop","Heavenly Sweetness",0.824,0.643,1,-10.206,0,0.0449,0.0381,0.808,0.217,0.962,124.017,4
spotify:track:16edYoyGWlfItCbNWd6zOB,"M'ongeule M'am","Pop Makossa (Analog Africa No. 23)","EKO",2017-06-16,243082,34,false,1130795251,2019-06-03T21:37:29Z,"","Analog Africa",0.652,0.907,5,-11.705,0,0.0601,0.00406,0.000834,0.321,0.894,122.789,4
spotify:track:0lDYvQBUacy7SjlF7GC7gN,"Gumba Fire - Madlakadlaka","Gumba Fire: Bubblegum Soul & Synth Boogie in 1980s South Africa","Ashiko",2018-03-09,342000,0,false,1130795251,2019-06-03T21:39:11Z,"","Soundway Records",0.901,0.741,7,-8.923,0,0.0432,0.474,0.324,0.0567,0.855,110.747,4
spotify:track:3HKj7SOuuY34tRmUq2JAiK,"Bukom Mashie","Bukom Mashie / Disco Africa (Soundway Records)","Oscar Sulley",2002,307493,0,false,1130795251,2019-06-03T21:39:27Z,"afrobeat,highlife","Soundway Records",0.664,0.763,9,-7.464,0,0.0439,0.0497,0.0218,0.0956,0.406,130.986,4
spotify:track:3VuMRYgkhSteigqPpDYkWm,"Loving You","24 Hours in a Disco 1978-82","Kiki Gyan",2012-11-26,568546,0,false,1130795251,2019-06-03T21:39:32Z,"disco","Soundway Records",0.522,0.867,7,-10.142,1,0.0543,0.012,0.0876,0.0469,0.724,127.52,4
spotify:track:6lhyua0TZx9riFHAfliJlc,"Fantastic Man","World Psychedelic Classics 5: Who Is William Onyeabor?","William Onyeabor",2013-10-28,386160,0,false,1130795251,2019-06-03T21:39:48Z,"afrobeat","Luaka Bop",0.701,0.751,11,-10.699,0,0.0578,0.0019,0.715,0.061,0.957,114.292,4
spotify:track:6aP17Z7Bb8nvj6Tv9CcIn6,"Akoko Ba","Gyedu-Blay Ambolley (Analog Africa Dance Edition No. 9)","Gyedu-Blay Ambolley",2018-08-01,310265,33,false,1130795251,2019-06-03T21:40:55Z,"highlife,champeta,afrobeat,hiplife","Analog Africa",0.75,0.654,0,-12.525,1,0.0815,0.0982,0.00565,0.0688,0.724,118.306,4
