Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7b2q21WVk5VaWpocjM2mlE,"Juan Pablo","Juan Pablo: The Philosopher","Ezra Collective",2017-10-06,302013,0,false,1130795251,2018-03-09T22:40:54Z,"jazz rap,indie soul,nu jazz","Enter The Jungle Records",0.573,0.761,10,-7.747,0,0.0667,0.733,0.819,0.0816,0.586,126.932,4
spotify:track:4EDLy4dledyxYhnTGSS0lW,"Lost Kingdoms","Nubya's 5ive","Nubya Garcia",2017-05-09,458605,0,false,1130795251,2018-03-09T22:41:34Z,"nu jazz,jazz,jazz funk,indie jazz","Jazz Re:freshed",0.432,0.467,11,-10.385,0,0.118,0.0843,0.837,0.0672,0.473,81.444,4
spotify:track:6cJcY66GSVht7tGygSRgz1,"Yeh Yeh","First Takes","Ben Hauke;Nubya Garcia",2018-01-19,334971,0,false,1130795251,2018-03-09T22:41:53Z,"jazz house,lo-fi house,nu jazz,jazz,jazz funk,indie jazz","Woop Records",0.786,0.309,1,-12.416,1,0.326,0.771,0.000189,0.11,0.39,115.014,4
spotify:track:1VB1kfYTbY7vNGy6lWGCIw,"Ashiko","Early Hugh Masekela","Hugh Masekela",2011-01-01,579265,0,false,1130795251,2018-03-09T22:42:08Z,"afro soul,afrobeat","Lignum Vitae Records",0.692,0.931,5,-6.339,1,0.036,0.0371,0.477,0.374,0.822,121.21,4
spotify:track:6dTtt1ytDLLwPaYVXbDyXy,"Pure Shade","We out Here","Ezra Collective",2018-02-09,393546,0,false,1130795251,2018-03-09T22:42:22Z,"jazz rap,indie soul,nu jazz","Brownswood Recordings",0.472,0.419,3,-11.506,0,0.0462,0.233,0.871,0.0843,0.541,136.671,4
spotify:track:0b8CIYRxsJUGcSlNynOtdn,"Abusey Junction","Abusey Junction","Kokoroko",2018-01-10,429093,0,false,1130795251,2018-03-09T22:42:25Z,"","Brownswood Recordings",0.716,0.348,8,-11.86,0,0.0568,0.852,0.937,0.112,0.376,83.308,4
spotify:track:6yV07yVfbB7Gb15o2MqG8q,"Truth","Truth","Kamasi Washington",2017-04-13,810322,0,false,1130795251,2018-03-09T22:44:06Z,"jazz","Young Turks Recordings",0.309,0.838,2,-8.134,1,0.132,0.0851,0.63,0.143,0.391,115.26,4
spotify:track:4xw8UnKYxsiRFjigtQcVAL,"Change of the Guard","The Epic","Kamasi Washington",2015-05-11,735960,36,false,1130795251,2018-03-09T22:44:45Z,"jazz","Brainfeeder",0.293,0.766,9,-8.86,0,0.0668,0.111,0.864,0.101,0.369,117.303,4
spotify:track:3t4DPlzLD3gRia6LjQhwSR,"The Rhythm Changes","The Epic","Kamasi Washington",2015-05-11,464760,36,false,1130795251,2018-03-09T22:44:52Z,"jazz","Brainfeeder",0.544,0.701,10,-10.553,1,0.103,0.292,0.0233,0.312,0.386,89.837,4
spotify:track:6dZojGTd9QNpAulk8WUoeW,"Miss Understanding","The Epic","Kamasi Washington",2015-05-11,526266,28,false,1130795251,2018-03-09T22:45:06Z,"jazz","Brainfeeder",0.312,0.767,5,-7.514,0,0.157,0.0829,0.841,0.04,0.553,80.581,4
spotify:track:23eAha5FzJ56hVF7YzUDsl,"Strugglesville","The Optimist","Ryan Porter",2018-02-23,370623,0,false,1130795251,2018-03-09T22:46:12Z,"indie jazz,jazz","World Galaxy / Alpha Pup Records",0.355,0.578,10,-10.966,0,0.0792,0.00581,0.782,0.172,0.483,92.773,4
spotify:track:0q4SJUYOp0Er9fvREdDyDv,"Enlightenment","Sound Sun Pleasure","Sun Ra",1959,305439,34,false,1130795251,2018-03-09T22:47:53Z,"free jazz,experimental jazz,jazz,avant-garde,hard bop","Enterplanetary Koncepts",0.501,0.303,9,-10.722,0,0.0367,0.734,0.000123,0.139,0.537,130.031,4
spotify:track:6ZgaUtMlUzUf7SqbUUnfbu,"Blue Train - Remastered 2003/Rudy Van Gelder Edition","Blue Train (Expanded Edition)","John Coltrane",1958,644013,46,false,1130795251,2018-03-09T22:50:08Z,"jazz,hard bop,free jazz,bebop,jazz ballads,cool jazz","Blue Note Records",0.506,0.493,8,-7.759,1,0.0427,0.798,0.00355,0.307,0.584,134.77,4
spotify:track:489alJQIWUauqzKTMuXRjm,"Cool Out","Hutson","Leroy Hutson",2017-06-30,179293,0,false,1130795251,2018-03-09T22:50:15Z,"","Acid Jazz",0.453,0.367,2,-16.245,0,0.0343,0.0708,0.00183,0.1,0.127,140.832,3
spotify:track:3INjGuysxsRjLSmZKtS3lq,"Rye Lane Shuffle","Rye Lane Shuffle","Moses Boyd",2016-04-29,266226,16,false,1130795251,2018-03-09T22:57:50Z,"nu jazz,indie jazz,jazz","Exodus Records",0.44,0.906,0,-7.564,0,0.0507,0.298,0.913,0.0941,0.901,134.345,4
spotify:track:374BthVYsnk6lt5MsXlYcv,"When We Are","When We Are","Nubya Garcia",2018-03-08,399039,0,false,1130795251,2018-03-09T22:59:04Z,"nu jazz,jazz,jazz funk,indie jazz","Nyasha Records",0.513,0.701,1,-10.433,1,0.0701,0.0604,0.819,0.122,0.185,142.353,4
spotify:track:7LHwkeAwwXWWMIsPQEBLlx,"Source","When We Are","Nubya Garcia",2018-03-08,531880,0,false,1130795251,2018-03-09T22:59:04Z,"nu jazz,jazz,jazz funk,indie jazz","Nyasha Records",0.466,0.693,5,-9.249,0,0.049,0.459,0.804,0.256,0.448,139.437,4
spotify:track:0ovlyzA0BNlNTH9ZD4F9JJ,"St. Anne's","Ashley Henry's 5ive","Ashley Henry",2017-03-07,412000,0,false,1130795251,2018-03-09T23:02:34Z,"nu jazz,indie jazz,jazz","Jazz Re:freshed",0.498,0.298,0,-17.224,1,0.0331,0.796,0.869,0.255,0.308,114.282,4
spotify:track:51ELlXrQLFkwXoGTYPkXwu,"Easter","Easter - EP","Ashley Henry;The RE: Ensemble",2018-01-19,419906,12,false,1130795251,2018-03-09T23:05:21Z,"nu jazz,indie jazz,jazz","Sony Music CG",0.463,0.931,5,-6.457,0,0.0778,0.0367,0.0369,0.105,0.282,127.061,4
spotify:track:5BxHfyGk49gqbg5BdW6FO4,"Summer Madness","Light Of Worlds","Kool & The Gang",1974-09,257866,57,false,1130795251,2018-03-09T23:48:17Z,"disco,funk","UMC (Universal Music Catalogue)",0.303,0.332,6,-16.471,0,0.032,0.00859,0.864,0.0654,0.41,175.85,4
spotify:track:6NzOdf2JKluJVXEKjGDAMA,"Sun Goddess (feat. Ramsey Lewis)","Sun Goddess","Earth, Wind & Fire;Ramsey Lewis",1974-10-02,509524,45,false,1130795251,2018-03-09T23:49:06Z,"funk,disco,jazz funk,smooth jazz,soul jazz,northern soul,jazz","Columbia",0.543,0.932,7,-6.764,1,0.0548,0.0305,0.0000479,0.0318,0.596,93.185,4
spotify:track:0FVVCCfbSUNwM95JQK1itA,"Transition","Transition","John Coltrane",1970-07,931600,13,false,1130795251,2018-03-10T00:39:39Z,"jazz,hard bop,free jazz,bebop,jazz ballads,cool jazz","Verve Reissues",0.311,0.659,5,-9.379,1,0.0454,0.223,0,0.324,0.412,105.836,4
spotify:track:0Vaot48F85IudjfqLHBSmZ,"The World Is Yours - Ashley Henry Version","Easter - EP","Ashley Henry;The RE: Ensemble",2018-01-19,317320,26,false,1130795251,2018-03-10T11:18:56Z,"nu jazz,indie jazz,jazz","Sony Music CG",0.4,0.536,2,-9.835,1,0.0395,0.0219,0.0216,0.0911,0.475,78.571,4
spotify:track:72UAbTs7TS9ZltCdLm91xc,"Mister Magic","Mister Magic","Grover Washington, Jr.",1974,541826,0,false,1130795251,2018-03-10T11:20:35Z,"soul jazz,smooth jazz","Universal Music Group",0.734,0.641,5,-8.471,0,0.0662,0.00603,0.372,0.0602,0.868,103.813,4
spotify:track:65a0UfvZLC3awOCB9ZlmbV,"Think Twice - Original 2002 Version","Think Twice (Remixes)","The Detroit Experiment",2009-02-20,374453,0,false,1130795251,2018-03-14T15:09:06Z,"jazz house","Juno",0.739,0.76,8,-7.208,1,0.0371,0.00136,0.589,0.0678,0.268,115.107,4
spotify:track:3uMquzWFrihQnEWcsJaFWP,"The Idea","The Idea","Blue Lab Beats;Nubya Garcia;Dylan Jones;Sheldon Agwu",2017-08-11,234843,28,false,1130795251,2018-03-14T17:43:59Z,"nu jazz,indie jazz,soul jazz,jazz,jazz funk,neo soul,ambient jazz,ambient","AllPoints",0.37,0.663,6,-5.665,0,0.065,0.107,0.00475,0.0749,0.568,180.811,4
spotify:track:1TxJFqIP4GVQ8SIm4ifoA1,"Oooo Lala","Oooo Lala","Blue Lab Beats;Kaidi Akinnibi",2018-02-09,212413,6,false,1130795251,2018-03-14T17:44:43Z,"nu jazz,indie jazz,soul jazz","Blue Adventure / AllPoints",0.533,0.832,1,-5.823,0,0.319,0.0566,0.0877,0.345,0.379,81.169,4
spotify:track:6dALL4t31eznFQZk0JPN37,"Montreux Sunrise","Montreux Sunrise / Trans-Alpine Express (feat. Lord Echo)","The Elder Statesman;Lord Echo",2014-05-12,221137,0,false,1130795251,2018-03-21T13:02:17Z,"indie jazz,nu jazz,indie soul,nz reggae","Bastard Jazz Recordings",0.704,0.462,1,-11.012,0,0.0324,0.266,0.00345,0.246,0.439,91.98,4
