Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6T8BO4rFC9mRXASSioFFvc,"Axes","Axes","Okonski;Rachel Kitchlew",2026-06-02,169599,45,false,1130795251,2026-06-02T06:39:06Z,"ambient jazz","Colemine Records",0.483,0.66,10,-9.104,0,0.0354,0.401,0.869,0.138,0.672,82.381,4
spotify:track:5nwMTvSdLRXfj9mOXPNP7h,"fajas","fajas","Sparklmami",2024-06-14,184144,27,false,1130795251,2026-06-02T14:03:45Z,"","Sparklmami",0.58,0.865,5,-7.846,0,0.0446,0.286,0.832,0.31,0.544,128.519,4
spotify:track:0Pq0mOdgFXTezl6mMt8a39,"San Juan Sunset","Love Island","Deodato",1978,255533,54,false,1130795251,2026-06-02T14:05:45Z,"jazz funk,brazilian jazz,jazz fusion","Rhino/Warner Records",0.597,0.263,7,-21.112,0,0.0284,0.959,0.9,0.134,0.262,94.44,4
spotify:track:2qQZT88SgU10wNn59XIAzg,"Time Will Let Us Go","Banoffee Pies Beats 02","Slim.;Merryn Jeann",2017-05-05,179583,43,false,1130795251,2026-06-03T08:18:49Z,"jazz rap,lo-fi beats","Banoffee Pies Records",0.543,0.333,1,-13.09,1,0.0921,0.838,0.328,0.105,0.281,171.479,4
spotify:track:5cL9apuZP2KhE9C5fZwFbo,"No Stranger to Love","No Stranger to Love","Glenda Mcleod",2024-09-20,198557,8,false,1130795251,2026-06-03T15:37:37Z,"","Celestial Echo",0.872,0.662,0,-9.347,1,0.216,0.358,0.00276,0.0329,0.961,127.937,4
spotify:track:0UlC3u4AysiMgEDqpoigXB,"In Brasil","In Brasil","ventoux^;Marcello",2026-05-17,236609,3,false,1130795251,2026-06-03T19:41:12Z,"nu jazz","Flamme Rouge",0.793,0.907,11,-6.918,0,0.0933,0.33,0.00584,0.314,0.553,115.64,4
spotify:track:243nAji1iUHiGkcKWjyFyD,"Flying","Flying","Okonski;Cochemea",2026-03-31,227592,41,false,1130795251,2026-06-04T11:04:51Z,"ambient jazz,experimental jazz","Colemine Records",0.389,0.844,6,-7.802,0,0.0992,0.513,0.65,0.104,0.556,80.094,4
spotify:track:177No3z2IF2FVeUA5IvJe6,"The Message","The Message EP (Alex Nut Presents Sum Of Its Parts)","Alex Nut;Sum Of Its Parts",2026-06-05,516107,13,false,1130795251,2026-06-05T07:49:31Z,"","Eglo Records",0.292,0.286,4,-14.481,0,0.0365,0.689,0.795,0.084,0.159,154.466,4
spotify:track:71tZq2cxfuMaE1KkS9mjj7,"Late To Camberwell","Keep On Livin' / Late To Camberwell","MJK",2026-06-05,378394,12,false,1130795251,2026-06-05T07:51:37Z,"uk funky,idm,breakbeat","É Soul Cultura",0.781,0.924,6,-8.808,0,0.0499,0.0889,0.947,0.0888,0.0476,136.973,4
spotify:track:1EYKFRSKHCIqro04NtlG70,"Keep On Livin'","Keep On Livin' / Late To Camberwell","Zed Bias;MJK",2026-06-05,443636,18,false,1130795251,2026-06-05T07:51:50Z,"uk garage,uk funky,bassline,idm,breakbeat","É Soul Cultura",0.733,0.843,10,-9.5,0,0.0515,0.131,0.835,0.0936,0.626,132.001,4
