Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2LCsNgUX2qsEbKZ9yLRUJq,"Love Will Bring Us Back Together","Evolution: The Polydor Anthology","Roy Ayers",1995-02-28,355373,40,false,1130795251,2019-12-02T08:36:31Z,"jazz funk,acid jazz,funk","Universal Records",0.816,0.668,4,-13.439,0,0.0495,0.102,0.000144,0.0943,0.76,105.697,4
spotify:track:7ISReifFARyanj43soo5s1,"Making New Friends","Making New Friends","Jeanie Tracy",2015-04-20,119187,19,false,1130795251,2019-12-02T08:41:05Z,"tribal house,hi-nrg","Athens Of The North",0.653,0.658,8,-8.093,1,0.05,0.146,0.0028,0.0881,0.678,136.128,4
spotify:track:076axVCuzmW8FGEP7Btd7X,"Sparkle","Aloha Got Soul","Greenwood",2016-03-18,255199,0,false,1130795251,2019-12-02T08:41:27Z,"jungle,city pop,aor","Strut",0.642,0.717,2,-8.909,0,0.0961,0.115,0.0177,0.0789,0.875,102.152,4
spotify:track:0Il4Ll4YX4FaLXE5f5SyqE,"Body Heat","Masterjam","Rufus & Chaka Khan",1979-01-01,358800,23,false,1130795251,2020-02-24T16:03:47Z,"funk,classic soul","Geffen*",0.735,0.588,0,-14.136,1,0.0406,0.012,0.000327,0.0759,0.807,119.786,4
spotify:track:6Dhhx6POulpaNlKJKKvLSx,"The Power of Your Love","The Power of Your Love","Spirit of Love",2016,253181,21,false,1130795251,2020-02-24T16:03:57Z,"funk gospel","Athens Of The North",0.458,0.923,11,-5.47,0,0.21,0.0139,0.000375,0.183,0.288,121.365,4
spotify:track:0m2AkCeTiVR8MhSM4cmgfS,"We're Running out of Time","We're Running out of Time / Countdown","Oscar Weathers",2019-12-13,452000,8,false,1130795251,2020-02-24T16:04:31Z,"philly soul,northern soul","Fantasy Love Records",0.488,0.617,2,-12.806,1,0.046,0.00572,0.699,0.0611,0.82,116.334,4
spotify:track:7K4Yu8c95LUyJexYh8NygR,"All in Your Mind","From Philly","LaRombé",2020-01-31,196565,12,false,1130795251,2020-02-24T16:05:05Z,"post-disco","Athens Of The North",0.76,0.486,2,-12.919,1,0.176,0.0897,0,0.13,0.853,108.087,4
spotify:track:3DKVYtSkvMfAoSXzHrWSHk,"We Can Make It Better","Come On Inside","Rena Scott",1979-01-31,301666,14,false,1130795251,2020-02-24T16:05:34Z,"post-disco","Legacy Recordings",0.718,0.779,5,-8.03,0,0.0433,0.135,0.000038,0.0678,0.875,108.169,4
spotify:track:5YKj3GJkiWJ53B3757HuaB,"You and Me Just Started","Star-Funk, Vol. 5","Linda Taylor",2013-05-22,306440,21,false,1130795251,2020-02-24T16:05:53Z,"post-disco,hi-nrg","UNIDISC MUSIC INC.",0.857,0.569,9,-11.339,0,0.177,0.0275,0.0578,0.214,0.955,112.878,4
spotify:track:0aXY6UjWr4ctWPJYJC9Ip6,"I Don't Want You Back","Joey Negro and Sean P Present the Best of Disco Spectrum","Ramona Brooks",2017-09-08,288849,0,false,1130795251,2020-02-24T16:06:11Z,"post-disco","BBE Music",0.842,0.694,8,-9.723,1,0.111,0.145,0.0248,0.0781,0.759,118.735,4
spotify:track:0cE16lJxfsRAPh7pvypPDH,"East of the Apple - The 'Just a Little Different' Mix","East of the Apple","Cross Island",2020-02-07,309000,0,false,1130795251,2020-02-24T16:06:32Z,"","Kalita Records",0.735,0.496,10,-10.741,0,0.0493,0.197,0.000287,0.0772,0.773,125.103,4
spotify:track:2BSqdgkbHqrwnRGwBb2jfk,"Love Me Tonight (Love, Love, Love)","Fern","Fern Kinney",1981-04-15,273066,39,false,1130795251,2020-02-24T16:06:42Z,"post-disco","Malaco Records",0.707,0.614,2,-13.688,1,0.0315,0.00745,0.000683,0.0455,0.961,119.908,4
spotify:track:6rtdhEtXbkMVNjlSwn6aYD,"I Love You","I Love You","Karriem",1982-01-01,415706,0,false,1130795251,2020-02-24T16:07:22Z,"","Numero Group",0.577,0.861,8,-4.765,0,0.0834,0.44,0.000174,0.141,0.902,119.573,4
spotify:track:01aSK1zsA9dlutb1INz1D1,"I Don't Need No Fortune Teller","Boy From New York City - The Best Of","The Ad Libs",2011-01-01,225106,0,false,1130795251,2020-02-24T16:08:26Z,"doo-wop,northern soul","Master Classics Records",0.536,0.676,5,-7.028,1,0.0975,0.695,0,0.642,0.876,104.085,4
spotify:track:2r48u9jiQZ9q6BDtAFNjbV,"Lady","Purple Snow: Forecasting the Minneapolis Sound","Herman Jones",2013-12-03,294038,0,false,1130795251,2020-02-24T16:09:15Z,"","Numero Group",0.707,0.62,11,-8.084,0,0.0509,0.204,0.0000159,0.346,0.804,110.034,4
