Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4tXDmBTH4WGq4vP4obFByH,"Les Violons Ivres","The Green Armchair","Agoria",2006-10-16,370640,0,false,1130795251,2015-04-23T22:29:47Z,"","Different Recordings",0.761,0.905,2,-5.595,0,0.0478,0.184,0.812,0.0725,0.714,125.011,4
spotify:track:4xKSVV3RjBs9vPyrHpuslU,"U Don't Know Me","2 Future 4 U","Armand Van Helden",1999-01-01,486266,31,false,1130795251,2015-04-23T22:37:59Z,"disco house","Armed Records",0.783,0.678,10,-7.718,1,0.0725,0.0274,0.0366,0.0671,0.777,129.955,4
spotify:track:11TUPpWDaKuffzQXtpjOeo,"Please Don't Turn Me On (feat. Lifford) - Radio Edit","It's All About The Stragglers","Artful Dodger;Lifford",2000-11-20,223066,0,false,1130795251,2015-04-23T22:38:39Z,"uk garage,uk funky,funky house","London Records",0.835,0.554,8,-9.628,0,0.0375,0.623,0.00000478,0.0917,0.864,130.007,4
spotify:track:2bZqtcd92jJ7CZlrt3Mmwu,"Beautiful Life","Chromophobia","Gui Boratto",2007-02-26,507279,0,false,1130795251,2015-04-23T23:08:22Z,"minimal techno","Kompakt",0.468,0.665,8,-8.789,1,0.0435,0.304,0.00194,0.0875,0.0383,124.994,4
spotify:track:0LLO3mG3TB20nJCUnK7bke,"No Turning Back","Take My Breath Away","Gui Boratto",2009-03-09,462813,0,false,1130795251,2015-04-23T23:08:36Z,"minimal techno","Kompakt",0.687,0.581,5,-10.828,1,0.0335,0.326,0.801,0.0907,0.41,125.011,4
spotify:track:078sIUnW38dppumXF0Y9Uc,"My Moon My Man - Boys Noize Classic Mix","My Moon My Man","Feist",2007-01-01,399613,26,false,1130795251,2015-04-23T23:16:29Z,"","Universal Music Division Decca Records France",0.642,0.476,4,-9.773,0,0.142,0.0609,0.168,0.354,0.523,124.465,4
spotify:track:39QQ16I7Fb8AfeXAPkmiWR,"Michael Jackson - Calvin Harris - Radio Edit","Michael Jackson","The Mitchell Brothers",2007-10-29,195626,17,false,1130795251,2015-04-23T23:22:28Z,"grime,uk grime","Warner Records",0.896,0.525,9,-5.643,0,0.0629,0.0221,0,0.0339,0.92,119.971,4
spotify:track:49ErwcBYfYRPNBdRuPvpYA,"We Are Your Friends - Justice Vs Simian","We Are Your Friends","Justice;Simian",2006-01-01,262773,2,false,1130795251,2015-04-23T23:23:57Z,"french house,new rave","Ten Records",0.615,0.97,9,1.342,0,0.119,0.0104,0.384,0.178,0.507,122.993,4
spotify:track:7px1J02CZt51NVxliLjJbw,"Professional Widow - Armand Van Helden's Star Trunk Mix","Dance Anthems Classics","Tori Amos",2014-12-19,224960,0,true,1130795251,2015-05-22T22:00:59Z,"singer-songwriter,art pop","Warner Music TV",0.724,0.971,7,-4.923,1,0.0409,0.0043,0.0016,0.809,0.744,128.037,4
spotify:track:1UTgPZdwjxAmm4TEAml8gD,"I Feel Good Things For You","Pete Tong - Essential Classics","Daddy's Favourite",2005-01-01,514880,29,false,1130795251,2015-05-22T22:01:39Z,"funky house","EMI",0.844,0.647,1,-10.282,0,0.0464,0.00655,0.9,0.0959,0.937,125.056,4
spotify:track:6XRSupGUrYu7Qcvez2J9Jf,"What I've Lost","Boy Trouble","Benoit & Sergio",2011-02-21,372245,0,false,1130795251,2015-06-27T12:53:14Z,"","DFA Records",0.723,0.701,11,-10.558,1,0.0457,0.0102,0.67,0.111,0.7,124.005,4
spotify:track:3WKYFRoB0oFox2Y3pzNnCE,"(I Wanna Give You) Devotion - Original Club Mix","(I Wanna Give You) Devotion","Nomad",2009-03-30,409466,0,false,1130795251,2015-06-27T13:55:03Z,"acid house,hip house","Rumour Records",0.705,0.909,10,-10.046,0,0.0483,0.00979,0.0038,0.336,0.881,116.287,4
spotify:track:2espTky57QpLKgVoh40jBJ,"Strings Of Life - Danny Krivit Re-Edit","Azuli presents Xueno - Formentera 2005","Soul Central",2012-07-17,297093,0,false,1130795251,2015-06-27T14:02:52Z,"funky house,disco house","Azuli Back Catalog",0.455,0.825,11,-6.881,1,0.0537,0.00756,0.867,0.0843,0.479,128.572,4
spotify:track:1bdqvBFKJKbkZvFeF7hNQs,"Pacific State - Origin Mix","Blueprint (The Best Of)","808 State",2011-09-05,350560,0,false,1130795251,2015-06-27T14:30:26Z,"acid house,madchester,idm,chicago house,big beat,electronic","Salvo",0.676,0.982,10,-6.488,0,0.0698,0.0641,0.874,0.147,0.24,124.174,4
spotify:track:3c6TNZlyxR8jRUlY4z3X7C,"Where Love Lives - Classic Club Mix","Renaissance The Classics","Alison Limerick;Frankie Knuckles;David Morales",2006-08-28,373026,0,false,1130795251,2015-06-27T14:33:57Z,"chicago house,acid house,disco house,funky house","Sony BMG Music UK",0.694,0.628,11,-9.124,0,0.0339,0.000304,0.00496,0.379,0.736,121.997,4
spotify:track:4UJ1AKSbXAbPlPVFe66wK7,"Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Radio Edit","Music For Girls Night Out","Crystal Waters",2007-01-01,217760,65,false,1130795251,2015-06-27T14:44:34Z,"","UMC (Universal Music Catalogue)",0.487,0.749,2,-8.749,0,0.0371,0.022,0.00334,0.0548,0.543,120.037,4
spotify:track:0aiTO34ivulpAjFLvvM09G,"Salsoul Nugget","Nº1 Dance Vol. 16","M&S Presents The Girl Next Door",2014-09-25,231253,0,false,1130795251,2016-01-15T17:39:17Z,"","New Media Songs SRL",0.8,0.949,11,-6.126,0,0.0629,0.00169,0.00801,0.0919,0.781,128.006,4
spotify:track:6Ss1QOGzn0iG8hrRRSGrr9,"It Just Won't Do - Radio Edit","It Just Won't Do","Tim Deluxe;Sam Obernik",2011-11-28,198000,69,false,1130795251,2016-01-15T17:42:24Z,"jazz house,funky house","Get Human",0.678,0.936,5,-4.876,0,0.0373,0.00166,0.457,0.376,0.877,129.996,4
spotify:track:19mC6xktT1JyyycK6cQaXA,"Star Guitar","Come With Us","The Chemical Brothers",2002-01-01,387173,57,false,1130795251,2016-01-16T10:33:43Z,"big beat,alternative dance,electronic","Virgin Records",0.492,0.956,5,-4.186,1,0.0472,0.00892,0.872,0.288,0.36,126.968,4
spotify:track:1kMp3srCvZE9Z9iehT1bZb,"Belfast","Orbital","Orbital",1991-01-01,490680,0,false,1130795251,2016-02-05T08:53:52Z,"idm,big beat,acid house,breakbeat","London Records",0.523,0.706,0,-9.837,1,0.0465,0.000796,0.313,0.112,0.345,119.693,4
spotify:track:3MhDgLnch7EtoTqZj2X7Ux,"It's Yours (feat. E-Man) - Distant Music Mix","It's Yours","Jon Cutler;E-Man",2008-07-07,428254,0,false,1130795251,2016-02-12T11:02:57Z,"funky house,disco house,chicago house","Defected Records",0.902,0.842,10,-6.956,1,0.118,0.068,0.139,0.1,0.671,126.004,4
spotify:track:2lSRfd5ykOJMhHEY80Salm,"Rhythm Is a Mystery","Pete Tong Classics","K-Klass",2014-11-07,350481,0,false,1130795251,2016-03-09T23:30:58Z,"acid house","Warner Music TV",0.69,0.764,10,-8.008,0,0.0352,0.00146,0.466,0.0787,0.356,121.098,4
spotify:track:5XXztOLO4kmLtjDPsifbdj,"E Samba","Trust It","Junior Jack",2004,396453,0,false,1130795251,2016-03-09T23:33:53Z,"disco house,funky house,french house,tech house","[PIAS] Recordings Catalogue",0.666,0.976,7,-9.58,1,0.0605,0.013,0.605,0.188,0.58,124.973,4
spotify:track:6rLJdh3qlrhsha4i5eDocp,"Otto's Journey","Destroy Rock & Roll","Mylo",2004,238120,0,false,1130795251,2016-03-09T23:35:26Z,"","Breastfed",0.825,0.846,2,-4.49,1,0.0506,0.0132,0.859,0.102,0.938,123.011,4
spotify:track:2Bi1tzT54EqOloEaOKGns5,"Mohammad Is Jesus...","Junk Science","Deep Dish;Richard Morel;BT",1998-08-25,286733,28,false,1130795251,2016-03-09T23:36:01Z,"trance,progressive trance,progressive house","Deconstruction",0.649,0.81,10,-8.014,0,0.0367,0.00149,0.000618,0.143,0.722,124.954,4
spotify:track:6g99OTGhJ4BnXDHerdufGR,"Love Story","Night Works","Layo & Bushwacka!",2002,312933,0,false,1130795251,2016-03-09T23:37:17Z,"","XL Recordings",0.656,0.682,7,-10.399,0,0.0333,0.329,0.429,0.463,0.0768,132.009,4
