Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:06dz9bDEaRt1YADeSLf0jZ,"Miss Neptune","Glera","Marco Benevento;Lizzie Steiner",2026-07-24,193251,34,false,1130795251,2026-08-01T10:38:38Z,"jam band","Big Crown Records",0.58,0.625,2,-7.606,0,0.0288,0.0921,0.886,0.128,0.522,82.322,4
spotify:track:2sJ7fce6Wh6A2pt1biVW9x,"Nights Like This","Spectrum","Donae'o;Omar;Lemar;House Gospel Choir",2025-08-15,297000,42,false,1130795251,2026-08-01T13:36:43Z,"uk funky,funky house,azonto,grime,bassline,afroswing,acid jazz,neo soul,uk r&b","Zephron",0.48,0.75,11,-5.148,0,0.0686,0.0697,0.0125,0.0702,0.847,156.271,5
spotify:track:40SgFE5vjeeoinnryhSkQs,"Water & Vibes","Water & Vibes","Children of Zeus;Anieszka",2026-07-23,178500,44,false,1130795251,2026-08-02T22:24:52Z,"uk r&b,neo soul","Children of Zeus",0.745,0.441,1,-10.425,0,0.413,0.107,0.00000255,0.0873,0.679,109.8,4
spotify:track:4WO2MxENkvNQ6hpyCpvrQu,"You Are In My System (feat. Troy Denari) - Original Deluxe","You Are In My System (Original Deluxe)","Kerri Chandler",2026-05-22,468689,54,false,1130795251,2026-08-03T13:31:14Z,"house,chicago house,deep house","Kerri Chandler",0.846,0.733,6,-7.147,1,0.0539,0.00365,0.0282,0.0786,0.566,122.005,4
spotify:track:1JcOsW1sOAhbrOVzQuLaCq,"Take You Home","More Patchwork","Patchwork Inc.;Taylor Williams",2026-07-31,146200,36,false,1130795251,2026-08-03T14:14:01Z,"retro soul","Patchwork Inc. / EMPIRE",0.592,0.384,11,-6.905,0,0.0581,0.814,0.164,0.107,0.485,181.375,3
spotify:track:4brhBDjRqkS2JCBfuckpgW,"Landscape Of Dreams","Landscape Of Dreams","Isaiah Collier",2026-07-31,310031,17,false,1130795251,2026-08-03T14:54:09Z,"","Brownswood Recordings",0.222,0.497,1,-9.473,1,0.0297,0.506,0.955,0.25,0.466,95.49,4
spotify:track:5wM8etfBjxRW89bu70pdgj,"Moon & I","Moon & I","Azekel;Céline Dessberg",2026-07-31,218875,46,false,1130795251,2026-08-03T14:54:48Z,"trip hop,alté","Thunderlightning Recordings",0.491,0.313,3,-12.349,0,0.0371,0.83,0.0106,0.105,0.141,149.913,4
spotify:track:4LtxLWepwQCkXyeLFhthVF,"Time","More Patchwork","Patchwork Inc.;Manasseh",2026-07-31,177440,36,false,1130795251,2026-08-03T16:44:13Z,"retro soul","Patchwork Inc. / EMPIRE",0.691,0.414,9,-7.543,1,0.0265,0.427,0.801,0.117,0.347,81.05,4
spotify:track:60ytUGfoWZwU5hacNZg41i,"Blue World","Outdated","Chenayder",2026-07-23,149077,38,false,1130795251,2026-08-03T16:49:04Z,"","Alamo",0.568,0.735,7,-7.487,0,0.0365,0.658,0.568,0.131,0.363,84.964,4
spotify:track:5wMbcWPStNRJjYcHaETI3A,"The Reason","YEARNALISM","Baby Rose",2026-07-10,227937,46,false,1130795251,2026-08-03T16:49:27Z,"alternative r&b","Secretly Canadian",0.412,0.511,10,-6.817,0,0.0364,0.107,0.0000878,0.369,0.352,103.767,4
spotify:track:5KPdQwZ0m3of1ZBCqIj0ll,"Memmy (Recuerdo) (Mndsgn RMX)","Dirty Talk: Sunshine Hotline Mixes","Michi;Mndsgn",2026-07-01,161158,34,false,1130795251,2026-08-03T16:50:37Z,"latin indie","Stones Throw Records",0.608,0.682,4,-6.115,0,0.0339,0.119,0.793,0.129,0.854,77.02,4
spotify:track:6iXIvHGsLMJ89TuW1S9E3C,"Tell Me","Tell Me","54 Ultra",2026-07-24,160601,68,false,1130795251,2026-08-03T16:51:12Z,"","PoodleJack, LLC/Interscope Records",0.631,0.718,5,-6.016,0,0.0321,0.383,0.0176,0.0963,0.601,126.071,4
spotify:track:35mvYlF92JzRqB2PYA9DIU,"Crutch","Crutch","Love Spells",2026-04-30,211537,54,false,1130795251,2026-08-03T16:52:12Z,"","Love Spells LLC/RCA Records",0.617,0.427,7,-11.159,1,0.0239,0.579,0.696,0.123,0.602,87.95,4
spotify:track:7va8rBUlU2jI1S1rqv5fnF,"Cyber Dreams","Water Sign","John Silas;Domenica Fossati",2026-07-31,377062,3,false,1130795251,2026-08-03T18:44:53Z,"","Love Injection",0.407,0.793,7,-7.402,1,0.0643,0.054,0.291,0.0942,0.412,127.314,4
spotify:track:5zvFJSENtLozUJWNmzpaQZ,"Forever Now pt. 2","Fall Into Place","Gan Gemi",2026-07-15,245470,8,false,1130795251,2026-08-03T18:48:14Z,"ambient jazz","Unravelling",0.485,0.502,7,-11.2,1,0.0341,0.307,0.906,0.0674,0.229,91.982,4
spotify:track:7eTJJ5lH258tjfo8WRdAoq,"Love The Way You Make Me Feel","Love The Way You Make Me Feel","Nechazz",2026-06-26,304051,26,false,1130795251,2026-08-04T08:48:06Z,"","HABIBI Funk Records",0.658,0.735,10,-9.786,0,0.0611,0.0215,0.0000167,0.278,0.634,100.832,4
spotify:track:73Qdw3DeeoBXTdw7kxdcxx,"I'm a Good Woman","AFTERHOUSE BUMPS 1","DJ SWISHERMAN",2026-05-07,315000,18,false,1130795251,2026-08-04T13:05:08Z,"hard house","4915333 Records DK",0.802,0.983,8,-3.816,0,0.0694,0.00341,0.88,0.333,0.762,127.989,4
spotify:track:53bcpHzJ77gVed05RcQ3e2,"Waiting on the Right Time","Waiting on the Right Time","Thee Sacred Souls;Victor Axelrod",2026-06-30,225703,58,false,1130795251,2026-08-04T13:20:08Z,"retro soul,rocksteady,lovers rock,reggae","DAPTONE RECORDS",0.824,0.678,8,-7.788,0,0.102,0.534,0.0148,0.05,0.964,132.476,4
spotify:track:0sZabsVcThcWU7qWep9LU1,"(I'll Be Your) Dreamlover - Marley Marl Vocal Mix","[I'll Be Your] Dreamlover - Marley Marl Mixes","Richard Rogers",2012-09-11,316933,0,false,1130795251,2026-08-05T10:51:53Z,"chicago house","Nervous Records",0.838,0.537,11,-13.694,0,0.11,0.0209,0.00000135,0.0621,0.808,100.628,4
spotify:track:2gufnHavloo8pfakPhDFhz,"Its Not For Some People","Subtle Beginnings","ReKaB",2026-07-31,355125,5,false,1130795251,2026-08-05T10:52:59Z,"idm,breakbeat","System One Recordings Ltd",0.718,0.763,1,-12.814,0,0.0406,0.0145,0.843,0.108,0.0345,119.987,4
spotify:track:1vOwyoSzMjCZvbdYHK6ttl,"Love Song","Love Song","TRANCEFELD",2026-01-21,357042,29,false,1130795251,2026-08-05T11:36:36Z,"","Noire & Blanche",0.726,0.923,5,-7.762,0,0.0411,0.000181,0.658,0.0681,0.556,132.749,4
spotify:track:1wkEkJgFySMuXDPKqcemKf,"Yoru no Groove","FLAT001","DÜK;FLAT 22",2026-01-02,430799,29,false,1130795251,2026-08-05T11:46:24Z,"rally house,house","FLAT 22",0.811,0.754,7,-7.07,1,0.168,0.0469,0.789,0.0934,0.698,127.041,4
spotify:track:3Zg2VEEg9i33YBHAaZsIYS,"SOUFFLES H","MONDO GROSSO","Mondo Grosso",2004-09-22,278866,28,false,1130795251,2026-08-05T11:52:05Z,"shibuya-kei,acid jazz,city pop,j-r&b,japanese indie","FOR LIFE MUSIC ENTERTAINMENT,INC.",0.845,0.794,1,-9.797,1,0.0605,0.0528,0.58,0.0294,0.963,125.093,4
spotify:track:3AflYjiof3gAZnyo6T46BS,"Eminesence - Cee ElAssaad Remix","Eminesence - The Mixes","Vince Watson;Cee ElAssaad",2026-06-19,442676,21,false,1130795251,2026-08-05T12:32:57Z,"afro tech,afro house,tribal house","Everysoul",0.674,0.723,8,-9.725,1,0.0461,0.00194,0.826,0.0545,0.623,123.004,4
spotify:track:4GjWiOwUbszATrNtKHLBU5,"Mornings with Rita","Mornings with Rita","Jason Dungan;Johan Carøe;Blue Lake",2026-07-30,284000,30,false,1130795251,2026-08-06T13:10:37Z,"ambient jazz,ambient","Tonal Union",0.36,0.44,0,-13.705,1,0.0314,0.367,0.946,0.0693,0.289,195.062,4
spotify:track:4YFZaXW0ylniImAngHsqAv,"Closer To Me (Bruno Berle Remix)","Tempos Difíceis Sempre Passam","Kokoroko;Bruno Berle",2026-08-07,346115,37,false,1130795251,2026-08-07T07:11:05Z,"new mpb","Brownswood Recordings",0.78,0.487,11,-10.929,0,0.044,0.337,0.782,0.0874,0.551,139.983,4
spotify:track:6wrMDnvXLzuMrDkiJnlFjx,"Sundancer","Sundancer","Don Glori",2026-08-07,409344,42,false,1130795251,2026-08-07T09:29:36Z,"jazz fusion,indie jazz,nu jazz","Mr Bongo",0.43,0.554,0,-11.694,0,0.0299,0.263,0.898,0.117,0.623,154.066,4
spotify:track:3qNHAHwX1ZWEZ2LoQY6JLQ,"Runnin' Outta Time - Kon's Got It Together Flip","Runnin' Outta Time (Kon's Got It Together Flip)","Inta-City;Kon",2026-08-07,484274,14,false,1130795251,2026-08-07T12:58:32Z,"nu disco,disco house","Far Out Recordings",0.783,0.875,7,-4.174,1,0.0842,0.0108,0.465,0.29,0.689,123.017,4
spotify:track:0ViL7HiNxH1zVbp9FoURXX,"Counting Stars","Counting Stars","Max Sinàl;Sio",2026-08-14,223659,30,false,1130795251,2026-08-14T08:55:50Z,"jazz house,afro tech,afro house,deep house","Soul Quest Records",0.791,0.452,1,-10.066,1,0.131,0.0161,0.198,0.0956,0.473,122.063,4
spotify:track:3qBtIPqZrDIPEihiVGurKi,"Another Spring","Another Spring","Finn Rees",2026-08-14,203255,30,false,1130795251,2026-08-14T08:58:27Z,"soul jazz,jazz house","Mr Bongo",0.599,0.648,1,-9.297,0,0.0338,0.0599,0.216,0.0929,0.573,110.625,3
spotify:track:3bvY1FSYbgVRS4tMkfuA5P,"MY DREAMS ARE STRANGE","My Dreams Are Strange","JIM",2026-08-12,314785,27,false,1130795251,2026-08-14T09:33:09Z,"","Vicious Charm Recordings",0.829,0.388,7,-10.098,0,0.0699,0.0157,0.245,0.0648,0.584,95.028,4
spotify:track:2r0TiR5Ofs2FqG1dyvEZvF,"Napa 86","Papa's Boat","Dana and Alden",2026-08-14,196000,46,false,1130795251,2026-08-14T19:38:57Z,"indie jazz","Concord Jazz",0.627,0.536,3,-8.483,0,0.0331,0.0517,0.84,0.121,0.528,109.029,4
spotify:track:4KvgDGEGb2dChK0U4dYJwz,"Before We Drown","Before We Drown","Children of Zeus;Knucks",2026-08-13,250000,48,true,1130795251,2026-08-14T19:39:24Z,"uk r&b,neo soul,uk drill,grime,uk grime,drill","Children of Zeus",0.766,0.432,11,-10.874,0,0.263,0.185,0.00000703,0.115,0.65,139.985,4
spotify:track:38HigDpo88ILLFU2zhzRT6,"PATCHWORK","FATHERS","Nate Smith;Kiefer;CARRTOONS;Kenny Beats",2026-07-10,158106,50,false,1130795251,2026-08-14T19:43:19Z,"jazz fusion,indie jazz,soul jazz,nu jazz,jazz funk,jazz,jazz beats,retro soul","Blue Note Records",0.735,0.765,1,-6.63,0,0.0414,0.118,0.664,0.168,0.634,104.906,5
spotify:track:1S5k3Nj0n2XtQuZcoqbra3,"Get Down","Get Down","Camille Munn",2026-08-12,201600,20,false,1130795251,2026-08-14T19:44:26Z,"uk funky,neo soul","Brighter Days Family",0.807,0.617,5,-5.785,0,0.0805,0.0276,0.0000725,0.136,0.589,100.01,4
spotify:track:0E0rHSEXBZKBqveMVbYg89,"Komodo","POWERSCROFT","IZCO",2026-05-01,234584,37,false,1130795251,2026-08-14T19:46:27Z,"uk garage,uk funky,jungle","Brownswood Recordings",0.706,0.965,11,-6.668,0,0.0643,0.708,0.572,0.457,0.804,135.19,4
spotify:track:0yAs6YsXu7i78h4RkIo5sc,"If You Want Me","The Womack Sisters","The Womack Sisters",2026-08-14,186560,50,false,1130795251,2026-08-14T19:57:57Z,"retro soul","DAPTONE RECORDS",0.673,0.72,2,-4.993,0,0.0376,0.319,0,0.224,0.646,98.154,4
spotify:track:0YHD4MN6EXWG0dotuMkoJy,"on the spaceway (frfr)","on the spaceway (frfr)","megiapa",2026-08-11,179080,19,false,1130795251,2026-08-14T20:00:34Z,"trip hop","International Anthem",0.723,0.481,3,-8.673,1,0.0315,0.128,0.839,0.12,0.356,82.396,4
spotify:track:5jyIvp1cHnRwwnNf5BBNwn,"The Run Up","The Run Up","Standing Circle",2026-08-07,200689,9,false,1130795251,2026-08-14T20:04:16Z,"","La Sape Records",0.527,0.734,2,-6.753,1,0.0337,0.379,0.876,0.0808,0.45,109.117,4
spotify:track:6GZWPWK1ij0bNYcCnLEL7p,"Dew Drops","Organic Matters","Balaphonic;Robin Dewhurst",2026-08-14,480000,11,false,1130795251,2026-08-15T06:32:05Z,"nu jazz","NuNorthern Soul",0.498,0.925,2,-7.618,0,0.0438,0.0462,0.521,0.416,0.564,94.006,4
spotify:track:27plXSLZuSwm7EB1BvACOb,"Mouth - Brad Peep's Remix For Friends","Mouth","IZ;Diz;Pepé Bradock",2011-04-04,448460,29,false,1130795251,2026-08-15T07:39:03Z,"","Classic Music Company",0.944,0.452,9,-11.154,1,0.269,0.0629,0.116,0.0566,0.348,124.979,4
spotify:track:6w9hBIcFDUMb9Q0oSpVybl,"After Five","After Five","Luke Alessi",2024-11-08,216253,47,false,1130795251,2026-08-15T07:49:37Z,"house","Life and Death",0.789,0.926,6,-5.709,0,0.0485,0.0569,0.856,0.0728,0.271,125.997,4
spotify:track:3yKyRxYNZ817OwbYiRG9yR,"It’s Good For The Soul","Nice 'N' Nasty","The Salsoul Orchestra",1976-01-01,274459,20,false,1130795251,2026-08-15T12:01:28Z,"philly soul,disco,post-disco","Salsoul Records",0.714,0.364,2,-16.2,0,0.0392,0.0457,0.133,0.199,0.634,123.356,4
spotify:track:2GoVJSUf7QuxNqJCPg2DiS,"Rio Sihl","Orange Wine","Okvsho",2021-09-24,313351,50,false,1130795251,2026-08-15T12:11:58Z,"jazz house,nu jazz,indie jazz","Hip Dozer",0.724,0.578,0,-10.285,0,0.0621,0.0274,0.795,0.11,0.776,166.024,4
spotify:track:2MlX7VA2mMTSZVKajYCkcO,"sl.wm.ed.","sl.wm.ed.","Okvsho;FloFilz;Melodiesinfonie",2026-06-03,260248,47,false,1130795251,2026-08-15T13:05:13Z,"jazz house,nu jazz,indie jazz,jazz rap,jazz beats,lo-fi beats,lo-fi hip hop,lo-fi","Current Moves",0.703,0.496,2,-11.398,0,0.0685,0.638,0.84,0.121,0.623,165.944,4
spotify:track:3IRmgh1snuxzfPOJVyMJ2p,"Bolgár Táncok / Bulgarian Dances","Bolgár Táncok / Bulgarian Dances","Àbáse",2026-08-06,265312,28,false,1130795251,2026-08-15T13:10:12Z,"lo-fi house,nu jazz","Bridge The Gap",0.321,0.659,10,-9.288,0,0.0376,0.128,0.927,0.163,0.341,103.649,3
spotify:track:0QyOaMvzvy9Pqkj8yzeoIR,"Expect the Unexpected","The Clock Don’t Go Back","Juicy J",2026-07-31,293194,34,true,1130795251,2026-08-15T13:11:16Z,"crunk","Trippy Music LLC",0.391,0.408,8,-12.702,1,0.0397,0.399,0.0178,0.11,0.419,83.03,4
spotify:track:1FbvFPdMJwVDPUAP9Bk06x,"NewLevels NewDevils (feat. Tony Stone, Erick the Architect, CARRTOONS)","NewLevels NewDevils (feat. Tony Stone, Erick the Architect, CARRTOONS)","Kiefer;Tony Stone;Erick the Architect;CARRTOONS",2026-07-23,200569,52,true,1130795251,2026-08-15T13:13:07Z,"nu jazz,jazz beats,indie jazz,retro soul","Blue Note Records",0.515,0.639,1,-12.001,1,0.104,0.447,0.00215,0.784,0.719,162.491,4
spotify:track:6VklkVpwSWV3lJzZ5ZGWW5,"Not Too Far Away","The Chase and The Runaway","Alvin Cobb Jr.;Katie Ernst;Julius Tucker;Aaron Day",2026-07-10,181379,22,false,1130795251,2026-08-17T18:50:52Z,"jazz rap","ACJ Records",0.826,0.765,9,-9.519,1,0.0611,0.279,0.819,0.598,0.918,120.024,5
spotify:track:2RqKSe276IgeHtASXtfLFD,"Banana Moon","RK22","Mike kee",2026-08-18,360679,1,false,1130795251,2026-08-18T19:59:46Z,"","Mike kee",0.679,0.922,5,-7.476,0,0.0417,0.143,0.818,0.112,0.0644,125,4
spotify:track:1GFC8WG8oQ1Hb48iw6fY5K,"Love from the Sun","Love from the Sun","Norman Connors",1973,497026,13,false,1130795251,2026-08-24T12:05:39Z,"quiet storm,philly soul,classic soul,jazz funk","Legacy Recordings",0.268,0.272,11,-10.986,0,0.0354,0.887,0.0355,0.0992,0.0561,125.077,4
