Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6lx5aHjUesS2XEyLxXknLQ,Heaven,,Ebo Taylor,,365693,,false,1130795251,2019-06-03T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2qgudkFpaRq2YcJDWhKW44,Love and Death,,Ebo Taylor,,415090,,false,1130795251,2019-06-03T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2OTdv2Kfd0vSaI3GRIyVki,Kuar - Henrik Schwarz Remix,,"Emmanuel Jal, Henrik Schwarz",,503960,,false,1130795251,2019-06-03T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5w3t1A5itlTBwAZr836dcA,Women Can Do,,"Voilaaa, Ayuune Sule",,335932,,false,1130795251,2019-06-03T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6tR8N0wgzIoKaI7fmh0J0O,Pata Pata,,Miriam Makeba,,203866,,false,1130795251,2019-05-12T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1UIqpCB0b56K7U0JJPfskN,Spies Are Watching Me,,"Voilaaa, Sir Jean",,432963,,false,1130795251,2019-05-12T00:00:00Z,,,,,,,,,,,,,,
spotify:track:14ojTNSqmbaBn5nCKRrYFe,Khomo Tsaka Deile Kae?,,Marumo,,224720,,false,1130795251,2019-05-21T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3W515NICo3xbpXaymNDFPx,Mind Your Own Business,,Ebo Taylor,,313866,,false,1130795251,2019-05-25T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5O0YX1q26womuLV7iSMwps,Kenke Corner,,Guts,,386893,,false,1130795251,2019-03-01T00:00:00Z,,,,,,,,,,,,,,
spotify:track:16edYoyGWlfItCbNWd6zOB,M'ongeule M'am,,EKO,,243082,,false,1130795251,2019-03-14T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0lDYvQBUacy7SjlF7GC7gN,Gumba Fire - Madlakadlaka,,Ashiko,,342000,,false,1130795251,2019-01-07T00:00:00Z,,,,,,,,,,,,,,
