Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7b2q21WVk5VaWpocjM2mlE,Juan Pablo,,Ezra Collective,,302013,,false,1130795251,2018-02-28T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4EDLy4dledyxYhnTGSS0lW,Lost Kingdoms,,Nubya Garcia,,458605,,false,1130795251,2018-02-23T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6cJcY66GSVht7tGygSRgz1,Yeh Yeh,,"Ben Hauke, Nubya Garcia",,334971,,false,1130795251,2018-02-23T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1VB1kfYTbY7vNGy6lWGCIw,Ashiko,,Hugh Masekela,,579265,,false,1130795251,2018-02-17T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6dTtt1ytDLLwPaYVXbDyXy,Pure Shade,,Ezra Collective,,393546,,false,1130795251,2018-02-12T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0b8CIYRxsJUGcSlNynOtdn,Abusey Junction,,Kokoroko,,429093,,false,1130795251,2018-02-12T00:00:00Z,"nu jazz, afrobeat",,,,,,,,,,,,,
spotify:track:6yV07yVfbB7Gb15o2MqG8q,Truth,,Kamasi Washington,,810322,,false,1130795251,2017-04-13T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4xw8UnKYxsiRFjigtQcVAL,Change of the Guard,,Kamasi Washington,,735960,,false,1130795251,2015-12-24T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3t4DPlzLD3gRia6LjQhwSR,The Rhythm Changes,,Kamasi Washington,,464760,,false,1130795251,2015-12-24T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6dZojGTd9QNpAulk8WUoeW,Miss Understanding,The Epic,Kamasi Washington,2015-05-11,526266,,false,1130795251,2018-03-09T00:00:00Z,"spiritual jazz, jazz, west coast jazz",,,,,,,,,,,,,
spotify:track:23eAha5FzJ56hVF7YzUDsl,Strugglesville,,Ryan Porter,,370623,,false,1130795251,2018-02-26T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0q4SJUYOp0Er9fvREdDyDv,Enlightenment,,Sun Ra,,305439,,false,1130795251,2018-03-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6ZgaUtMlUzUf7SqbUUnfbu,Blue Train - Remastered 2003/Rudy Van Gelder Edition,,John Coltrane,,644013,,false,1130795251,2018-03-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:489alJQIWUauqzKTMuXRjm,Cool Out,,Leroy Hutson,,179293,,false,1130795251,2018-03-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3INjGuysxsRjLSmZKtS3lq,Rye Lane Shuffle,,Moses Boyd,,266226,,false,1130795251,2016-06-08T00:00:00Z,,,,,,,,,,,,,,
spotify:track:374BthVYsnk6lt5MsXlYcv,When We Are,,Nubya Garcia,,399039,,false,1130795251,2018-03-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7LHwkeAwwXWWMIsPQEBLlx,Source,,Nubya Garcia,,531880,,false,1130795251,2018-03-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0ovlyzA0BNlNTH9ZD4F9JJ,St. Anne's,,Ashley Henry,,412000,,false,1130795251,2018-03-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:51ELlXrQLFkwXoGTYPkXwu,Easter,,"Ashley Henry, The RE: Ensemble",,419906,,false,1130795251,2018-03-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5BxHfyGk49gqbg5BdW6FO4,Summer Madness,,Kool & The Gang,,257866,,false,1130795251,2018-03-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6NzOdf2JKluJVXEKjGDAMA,Sun Goddess (feat. Ramsey Lewis),,"Earth, Wind & Fire, Ramsey Lewis",,509524,,false,1130795251,2013-05-12T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0FVVCCfbSUNwM95JQK1itA,Transition,,John Coltrane,,931600,,false,1130795251,2018-03-10T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0Vaot48F85IudjfqLHBSmZ,The World Is Yours - Ashley Henry Version,,"Ashley Henry, The RE: Ensemble",,317320,,false,1130795251,2018-03-10T00:00:00Z,,,,,,,,,,,,,,
spotify:track:72UAbTs7TS9ZltCdLm91xc,Mister Magic,,"Grover Washington, Jr.",,541826,,false,1130795251,2018-03-10T00:00:00Z,,,,,,,,,,,,,,
