Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7ME1spM3HTTbFRGxNm6F3I,El Roi,El Roi,Sultan Stevenson,2025-03-28,249306,,false,1130795251,2025-04-01T00:00:00Z,"experimental jazz,jazz",,,,,,,,,,,,,
spotify:track:7qKtaaEEGsMQUkDNIaZIcE,Sheva,,Nadav Schneerson,,329874,,false,1130795251,2025-04-01T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1WZvOuYJ1thpl4LdLDHreV,Warm Welcome,,James Curd,,365806,,false,1130795251,2025-04-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7Iy4P5OCAALXRqKC1sBGsS,500 Fils,,"Knats, parthenope",,404688,,false,1130795251,2025-04-03T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6sUfVmQIfOh6VhXYMcYQO2,VIBRAÇĀO,,Alexander Flood,,280824,,false,1130795251,2025-04-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:047G2Xs24KcynYGJ7Q7n94,Never Look Back (Sexy),,Byron the Aquarius,,268000,,false,1130795251,2025-04-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:05i0gnCc4Tj9Rshavrirfh,Free,,Little Simz,,215594,,true,1130795251,2025-04-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2dNyT3herl8UsnxHOfTovA,Aruna,,DJ Koze,,234891,,false,1130795251,2025-04-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2VUYtEebORYjh2MkUmP00g,Painting Rose,,"Daniel Paul O'Sullivan, Daniel O'Sullivan, Echo Collective",,161649,,false,1130795251,2025-04-07T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5bZsb1gIC3CW7FuDH4ZK3i,Directo Al Bolo,,ALOT,,206283,,false,1130795251,2025-04-07T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0ANO7DbSb79plOXnKZ6m9h,Nkwanta Bisa (At the Junction),,Kwashibu Area Band,,209376,,false,1130795251,2025-04-07T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0slTpNHblTjQ5qr3ji8FUx,Vento Eterno,Vento Eterno,"Collettivo Immaginario, Alberto Lincetto, Nicolò Masetto, Tommaso Cappellato, Dwight Trible, Isaiah Collier",2025-04-08,330428,,false,1130795251,2025-04-11T00:00:00Z,"funk / soul, disco, funk",,,,,,,,,,,,,
