Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0ha7Pj6IrFFzrwOHl2uD31,Love In Memory,,"Finn Rees, SHOLTO",,179831,,false,1130795251,2025-08-01T00:00:00Z,,,,,,,,,,,,,,
spotify:track:54nFEB5JY67CzCPQCBbuYx,You Got Me Runnin',,"Kid Sublime, Bako",,317355,,false,1130795251,2025-08-01T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0KpFHwH61XG7ZZGZYOGD0J,Costa Verde,,Cuélebre,,280933,,false,1130795251,2025-08-01T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1oDMdarkAKAztpb5tGCaKG,Communication Through Movement,,I Am An Instrument,,570000,,false,1130795251,2025-08-03T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7GJ0xn80jBtdnur3JYCVye,Dosojin No Uta,,Kyoto Jazz Sextet,,296725,,false,1130795251,2025-08-03T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1MpuY4MkTCHVdIH20jHQfe,Bluebell,,"Finn Rees, SHOLTO",,305452,,false,1130795251,2025-08-04T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0Y9tLqLj90IdQpsvgpUO7O,The Bottle,,"Brian Jackson, Kenny Dope, Louie Vega, Omar",,396351,,false,1130795251,2025-08-05T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3G181R9awA73IK6yH1aOJk,Somethin' Truthful,,"masterplan, Liam Shortall",,314880,,false,1130795251,2025-08-05T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4XjaJ35W8w9Fj404LgUvA8,Taito City Hideout,Taito City Hideout,"FloFilz, Takuya Kuroda",2025-07-16,158760,,false,1130795251,2025-08-05T00:00:00Z,"jazz rap,jazz beats,lo-fi beats,lo-fi hip hop,lo-fi,uk r&b,neo soul",,,,,,,,,,,,,
spotify:track:2OFyYO5zPS6fZgORdevoo8,Yeah!,,"Pacific Coliseum, Teen Daze",,255626,,false,1130795251,2025-08-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2Ef5pvpE2zVFqAQWm6eK59,You and Me and the Music,You and Me and the Music,"The CJP Band, Nolo",2025-08-01,515328,,false,1130795251,2025-08-07T00:00:00Z,"soul, modern soul, jazz funk",,,,,,,,,,,,,
spotify:track:3l79tBwn9YDsB8Niv8WkqL,That's a Vibe,,Ossie,,353979,,false,1130795251,2025-08-07T00:00:00Z,,,,,,,,,,,,,,
spotify:track:79ieU2vuYImbGnz3E3a9Y3,Heavy Going...,,Jamie Woon,,284443,,false,1130795251,2025-08-07T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1NLOyOaHkJ1etTra86hsJv,Circles - Vocal,,"Jonson, Jonson & Jonson",,250549,,false,1130795251,2025-08-07T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2Qlb50RSXJltwfnTyWjzNe,Smile Today,,Matt Wilde,,208546,,false,1130795251,2025-08-07T00:00:00Z,,,,,,,,,,,,,,
spotify:track:15CKME6m7LDRyr55BYkPuS,Transcendence,,"Greg Foat, Jihad Darwish, Moses Boyd",,277242,,false,1130795251,2025-08-07T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2GaogGWaOojUjv4lm2pSCK,meditation iv - K-Lone rework,,"Marysia Osu, K-Lone",,471227,,false,1130795251,2025-08-07T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0ziPt81eKxXVUU4KXkEPQf,Rooftops,,Yoni Mayraz,,179065,,false,1130795251,2025-08-07T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2gsS0pXZnRWJE7WPU873To,Spread Love,,Harris & Orr,,325640,,false,1130795251,2025-08-11T00:00:00Z,"disco, boogie, funk",,,,,,,,,,,,,
spotify:track:5F3i7IC2tyDXPffQmsqOlc,Unidos,Unidos,"Sofia Kourtesis, Daphni",2025-05-15,317962,,false,1130795251,2025-08-12T00:00:00Z,lo-fi house,,,,,,,,,,,,,
spotify:track:6cyceLjnnc8JzkhhqGTbGz,Save Me,,Emma-Jean Thackray,,291932,,false,1130795251,2025-08-14T00:00:00Z,,,,,,,,,,,,,,
spotify:track:19c0XleRVDalvNfyLN4bq2,Nice and Slow - Vocal,,Norma & The Heartaches,,150728,,false,1130795251,2025-08-14T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0MaSu2qUbdaP52OsRCKPyK,Lost Souls,,Chip Wickham,,282333,,false,1130795251,2025-08-15T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4vWmuqDXbzMJmu6MAT2RNv,Waiting For The Sun,,Hifi Sean,,192997,,false,1130795251,2025-08-15T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1L1UFw5rHozeMMXwTMoLgH,Feel The Heat,,Pascal Bedoire,,346235,,false,1130795251,2025-08-15T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4FOJqAI2cmV22YD6hUczDJ,Stop Space Return - Cosmodelica Remix,,"Crazy P, Cosmodelica",,454833,,false,1130795251,2025-08-15T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6YVB5GxDRsmNfF0YSVaE2I,Sex Fire Passion,,"Blvck Spvde, Stefan Ringer",,290000,,false,1130795251,2025-08-15T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5Qd336EEiTazxdNCNJzZA9,We the People,,Last Nubian,,317355,,false,1130795251,2025-08-15T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4PxnRTdj0html5jgXSBLuy,Freedom In Our Rhythm - Parts 1 & 2,,Land Of Echo,,502319,,false,1130795251,2025-08-16T00:00:00Z,,,,,,,,,,,,,,
spotify:track:159PzHyX3tZQ5p3GWcKnZJ,In Space,,"Garrett, DāM-FunK",,651303,,false,1130795251,2025-08-16T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5hzuAvKrGf3xFtgoAjLmIf,Lets Be Lovers,,Black Harmony,,259552,,false,1130795251,2025-08-19T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6uUjN52OJd6xDQtnzzBVwV,The Edge,,Liquid Variety,,419200,,false,1130795251,2025-08-19T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4vwDFOTXiWXJpdRIlieHG5,See You Shine - Sai Galaxy Remix,,"Erin Buku, Sai Galaxy",,275000,,true,1130795251,2025-08-19T00:00:00Z,,,,,,,,,,,,,,
spotify:track:51TZQ7k97miz9dBoYUyjbA,Fantasound - Isaac Ferry Remix,,"Ichisan, Isaac Ferry",,332902,,false,1130795251,2025-08-19T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4oTX4W2AcuxSU1iPAeAasE,Popoli del Mare,,Bassolino,,279709,,false,1130795251,2025-08-19T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7egiScuj37NFXBNQAzvFr3,Ancestros Futuros,,Cochemea,,291120,,false,1130795251,2025-08-20T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1V5mCTfnzydtLbBeHjM6PK,Manjar de Luz,,"Alberto Continentino, Ana Frango Elétrico",,205841,,false,1130795251,2025-08-20T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1TWz6EODmucHiVAt9nT1JX,Mágica,Mágica,"El Michels Affair, Rogê",2025-08-13,155150,,false,1130795251,2025-08-21T00:00:00Z,"jazz, nu jazz",,,,,,,,,,,,,
spotify:track:2H5IEbMZnikxlbHki7m3Su,October,,Okonski,,219692,,false,1130795251,2025-08-21T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4cYEqG9tV2BbTSPRYII7rQ,Peacemaker,,Klash and Brown,,159130,,false,1130795251,2025-08-21T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6mMXWQDmEvFDUhaXXvMfCC,Teal Dreams,Teal Dreams,Yazmin Lacey,2025-08-21,194702,,false,1130795251,2025-08-21T00:00:00Z,"indie soul, jazz pop, neo soul",,,,,,,,,,,,,
spotify:track:3WHgYHBLak3vsCKSI1Dsyn,Крок / Krok,,СОЮЗ,,186133,,false,1130795251,2025-08-21T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7ceLb4TBk4IOPirddCJ1k6,Vista,,Okonski,,220494,,false,1130795251,2025-08-21T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1fJImmDh9S8y9LepHdMSIi,Dahlia,,Okonski,,186256,,false,1130795251,2025-08-21T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6MGDifi2vBHgHLpqCUmX16,Anticipate,Anticipate,"El Michels Affair, Clairo",2025-06-02,189284,,false,1130795251,2025-08-21T00:00:00Z,"jazz, nu jazz",,,,,,,,,,,,,
spotify:track:5QpAUqCBspvW4bocg4demH,Jinga Pt.1,,"Riva Starr, Close Counters",,227716,,false,1130795251,2025-08-22T00:00:00Z,,,,,,,,,,,,,,
spotify:track:03GiaAHNWoEXKgAi9eFz21,On the Court,On the Court,Blue Earth Sound,2025-08-27,152973,,false,1130795251,2025-08-29T00:00:00Z,"ambient jazz, nu jazz",,,,,,,,,,,,,
spotify:track:46ColNU4YcymmznL79MZEy,Mind Made (Byron the Aquarius Dance Remix) - Instrumental,,"Dillon, Batsauce, Byron the Aquarius, Big Rube",,233941,,false,1130795251,2025-08-29T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6U9AeAoKT0qx9QjjH2Dz1r,Seagulls,,"Kelly Moonstone, MARCO PLUS, BADBADNOTGOOD",,212653,,true,1130795251,2025-08-29T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5EaTiQWOVEO0lInEDm7uLm,IKEA,,"Kelly Moonstone, Saba",,171440,,true,1130795251,2025-08-29T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1UZCrFm27bdAsBtaSQmwDv,Alone Together - Cosmodelica Mix,,"Saint Etienne, Colleen 'Cosmo' Murphy",,444786,,false,1130795251,2025-08-29T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2SXKHMIGU5Sjtcnm0o0wyq,Might As Well Embrace It,,Tar Blanche,,194514,,false,1130795251,2025-08-29T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5fOCXvbQLq1nLxbqhB2lzS,When,,Jamie Woon,,242657,,false,1130795251,2025-08-30T00:00:00Z,,,,,,,,,,,,,,
