Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4Fvhx4ZlEQiSgD68t1V8Dg,A Doida,,Seu Jorge,,184626,,false,1130795251,2012-06-16T00:00:00Z,,,,,,,,,,,,,,
spotify:track:32OWA7OkzOCyQ1NXrEuI7o,Meu Parceiro,,Seu Jorge,,191013,,false,1130795251,2012-06-16T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1YfMAVlteKcFyKxwGG820H,Veia,,Seu Jorge,,200786,,false,1130795251,2012-06-16T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2JaueSxmlPVzKguJcyDof5,Dois Beijinhos,,Seu Jorge,,254746,,false,1130795251,2012-06-16T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4KXnLJtnYnzTCFDdVq04Ei,Vizinha,,Seu Jorge,,215746,,false,1130795251,2012-06-16T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5gRdOIj15LmZwRYW9xQm8Y,Amiga Da Minha Mulher,,Seu Jorge,,248080,,false,1130795251,2012-06-16T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6RHjKAH8Ocg4SkliC1yOVI,Dia De Comemorar,,Seu Jorge,,185480,,false,1130795251,2012-06-16T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1diWwvDFQabKdkRQlVQvku,Japonesa,,Seu Jorge,,234213,,false,1130795251,2012-06-16T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4Ui39qHGi99erS3OKy0b0H,Ole Ole,,Seu Jorge,,181386,,false,1130795251,2012-06-16T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5lveDRmMnwC4EbmX6z1s29,Quem Nao Quer Sou Eu,,Seu Jorge,,326493,,false,1130795251,2012-06-16T00:00:00Z,,,,,,,,,,,,,,
