Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6oY4kzSWT1o20AyYzDAJVK,Absurdo Nº 1 (Ou Muiraquitã),,"Vinícius Mendes, Lucas De Moro, Paulo Cardoso, Cyrano Almeida",,391551,,false,1130795251,2022-01-26T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7IaiYDF5qeMMi5re3tZcSF,Saideira,,Doinel,,215041,,false,1130795251,2022-03-08T00:00:00Z,,,,,,,,,,,,,,
spotify:track:063q4X3EdUKyLVfGo4PSF0,Côco do Macaco,,Sócrates E As Garotas,,209457,,false,1130795251,2022-04-12T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3TM0t2bprS3NmfDCawJhE6,Black Soul Brothers - Kenny Dope Edit,,"Miguel De Deus, Kenny Dope",,223773,,false,1130795251,2022-04-23T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6dc8DxuYnMnwhdKhobPnDx,Maracuja,,Tapioca,,336996,,false,1130795251,2022-05-13T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1mCLMPxGyTqjHiom0PfaA1,Flor do Real,,Sessa,,214787,,false,1130795251,2022-06-15T00:00:00Z,,,,,,,,,,,,,,
spotify:track:47T54qbp9SreG2h7RBaMEG,Até Meu Violão,,Bruno Berle,,169653,,false,1130795251,2022-07-30T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7o1PechXaS4bG7FPJlNA5m,O Nome Do Meu Amor,,Bruno Berle,,127493,,false,1130795251,2022-08-14T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4D3v7xMHUcTMKiqnbqQvfP,Quero Dizer,,"Bruno Berle, batata boy",,230226,,false,1130795251,2022-08-18T00:00:00Z,,,,,,,,,,,,,,
spotify:track:35n1JNqn6vNsVDrvAXSbjl,Lua Comanche,,"Bala Desejo, Zé Ibarra, Julia Mestre, Dora Morelenbaum, Lucas Nunes",,215282,,false,1130795251,2022-09-21T00:00:00Z,,,,,,,,,,,,,,
spotify:track:52OP7zq6I4Z8QYzwbnK8fF,Como é que vai você,,"СОЮЗ, Sessa",,234500,,false,1130795251,2023-05-08T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6EER2nO3lZyPSFNmQE2rJ7,Galope,,Tunico,,429413,,false,1130795251,2022-11-18T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7lcfIXOYAR3yCvmSZacV6k,Blue,,Luedji Luna,,291930,,false,1130795251,2022-11-29T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2uwrX3ZqDMUagbxVm4S4QN,Gostar do Mundo,,Sessa,,141290,,false,1130795251,2022-11-30T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1TGuyQNNfgpntIQro7w8D1,Sereia Sentimental,,Sessa,,191825,,false,1130795251,2022-12-01T00:00:00Z,,,,,,,,,,,,,,
spotify:track:30xHEnNWsUQPlWaUajAYAx,Bandida,,Gabriel da Rosa,,125207,,false,1130795251,2022-12-05T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2tWVfdK5EMkKdKWlV91lAQ,O Recado da Flor,,"Tulipa Ruiz, João Donato",,200000,,false,1130795251,2022-12-25T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7Hwab5jbvlqU4aODZ5JGGB,Sambola,,Tunico,,418080,,false,1130795251,2023-01-13T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0dLlBP246akHGHhNsmqnrq,Sábado,,"Caixa Cubo, Zé Leônidas",,142269,,false,1130795251,2023-01-17T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1XHA2IJCn5IyjpY3vBEDTb,Idiossincrasia,,Gabriel da Rosa,,238754,,false,1130795251,2023-02-17T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0fI8D5A1mTE2cLulF3tU6i,Passarinho,,João Selva,,189056,,false,1130795251,2023-02-21T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0duXjeiDlg3zqhXCNvRyGa,Vento a Favor,,Sessa,,161126,,false,1130795251,2023-03-01T00:00:00Z,,,,,,,,,,,,,,
