Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5YDWt17G99xPQ8qTW38RTh,Let It Go - Joaquin's Sacred Rhythm Music Dance Version,,"Patrick Gibin, Kaidi Tatham, Joaquin ""Joe"" Claussell",,602682,,false,1130795251,2025-12-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:22jKPBttw7cLflgAqDtYs2,Shoshana,,Cal Tjader,,311893,,false,1130795251,2025-12-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4t6qG5JJ5BsHrmuKRpyFDk,Club Land,,Frits Wentink,,416129,,false,1130795251,2025-12-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2cPWsduk8bwppUN4HkXCRs,Intentions,,Frits Wentink,,369340,,false,1130795251,2025-12-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1iboXmHkAu4U8dfafGesjV,Reckoner,,Rubel,,278442,,false,1130795251,2025-12-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6EGGqJCJgR1wD7Z39OD6O5,"Azul, Bebê",,Rubel,,209202,,false,1130795251,2025-12-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4Bzs1YpUpxoOobNMwd0PmD,I'LL BE THERE FOR YOU,,Close Counters,,499532,,false,1130795251,2025-12-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:51B0JbmzkBGL2QNnJUKj6Y,Breathe,,Rita Satch,,268748,,false,1130795251,2025-12-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2Qy8qR3jZsRRP2NP9kfOS1,Sleepy Space Cadet,,Joe Kaptein,,447298,,false,1130795251,2025-12-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3vINPPXLDdcXY7DCSQkko6,Coming For Ya - Cee ElAssaad Remix,,"Stefano Ranieri, Cee ElAssaad",,473156,,false,1130795251,2025-12-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2PPr5i6Aho44CKCOGoU34k,Brasilia,,Amedeo Tommasi,,257880,,false,1130795251,2025-12-03T00:00:00Z,,,,,,,,,,,,,,
