Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:055T1TvSjL24CTUfTHSZs7,I Did This To Myself,,"Thundercat, Lil Yachty, Flying Lotus",,150613,,true,1130795251,2026-02-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4IdB6ipGd0Cwrf2sXuWY2W,Can’t Go Back (feat. Nigel Hall),,"DJ Harrison, Nigel Hall",,147163,,false,1130795251,2026-02-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5bYwiW0U6cc7ANnLZXfQij,How Long,,"Church, Joseph Washington Jr.",,150302,,false,1130795251,2026-02-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2TidiXg42kktDIl8WhNPWk,Chala (My Soul Is On A Loop),,"Barry Can't Swim, Aster Aweke",,162793,,false,1130795251,2026-02-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3efypTRurdVvf2kCuUWr2Q,Childhood,,Barry Can't Swim,,231737,,false,1130795251,2026-02-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2vMfp6yi1xiMDyBAQlZICR,All Smiles,,Jeff Sova,,348894,,false,1130795251,2026-02-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4O5RmNtHjz3ex8NOcyziYv,Let Me Love You,,DJ Rasoul,,499346,,false,1130795251,2026-02-03T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6iN60D6ZqdjfY7vjxHoC2E,The Others,,Way Dynamic,,225640,,false,1130795251,2026-02-03T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4iw3LLSj0bCS66FlYIwYL8,Peace As A Political Statement,,Organic Pulse Ensemble,,324430,,false,1130795251,2026-02-04T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6wOmyCyciXkJG1bfTKBuaZ,Nebulosa,,45trio,,212381,,false,1130795251,2026-02-04T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2rH7wtbF3PIQxC4PbnOZon,The only one listening,,Unit Nine,,273723,,false,1130795251,2026-02-04T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2RdEjF3YgyMorL87zokCPf,Into The Night,,"Another Taste, Sarina Voorn",,321495,,false,1130795251,2026-02-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4T7gdexDpFCMRIk8FzwOQg,Alpha & Omega,,"Arp Frique, The Perpetual Singers, Roq E-Harrell, Brandon Delagraentiss",,243104,,false,1130795251,2026-02-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2KHWAufxqIGzf0Okh7Dfa3,Straight Forward (Non-Stop) - DJ Nature Re-Edit,,"P.J. City, DJ Nature",,347678,,false,1130795251,2026-02-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4Yq3KTrER4eHnrON1EzayY,Dust - DJ Nature Re-Edit,,"Marxist Love Disco Ensemble, DJ Nature",,351772,,false,1130795251,2026-02-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4u1XWu8iq3ALbmqM6KvBSl,Estreito,,Valentim Frateschi,,220000,,false,1130795251,2026-02-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:62Y5HlTUkbryhz1UiDa9K9,Merricat,,Bug Teeth,,159293,,false,1130795251,2026-02-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:57zXAunwPqC0qkqqSh1KnC,Memme Vaevk,,Collage,,235840,,false,1130795251,2026-02-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:23bAQvGdnmeEtCnKnI3CPI,Walk Spirit Talk Spirit,,Muriel Grossmann,,869386,,false,1130795251,2026-02-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1iOA6EBGjGWGqeQRFP4hfw,Damocles,,Atlantis Jazz Ensemble,,362541,,false,1130795251,2026-02-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:34vhUwy5ynM3flXHvmzzLp,La Piña Madura - Voilaaa Remix,,"Abelardo Carbono, Voilaaa",,366186,,false,1130795251,2026-02-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0IAwHoK3VuM2ebUnskttfq,Sumba Ale,,Nuevos Rios,,239840,,false,1130795251,2026-02-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1KPqm1lab1tBfx0m87M9xR,MY LOVE YOUR LOVE,,ZENA,,369357,,false,1130795251,2026-02-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2etO8VjMh7Y9oQdj2B82j5,Managua,,Candeias,,453145,,false,1130795251,2026-02-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:02SOhOwBuyI2KuphYzQLqq,Twilight,,Fire Water,,333796,,false,1130795251,2026-02-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7bVitlfQ30KsBAOpLePugd,be careful,,Gabriel Jacoby,,203940,,false,1130795251,2026-02-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:51oCpVGGBZ5NSyH8uc7l68,Amuleto,,Alcides Neto,,198000,,false,1130795251,2026-02-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4fK9b67vGjTS7BBXrivlMX,Get On Up (Groovy Disco Mix),,Ron Allen,,373934,,false,1130795251,2026-02-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6SuYpwYb8wcQg2VO0ZKML6,Zulu Funk,,"Mateo, Matos",,546173,,false,1130795251,2026-02-08T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2hDuhO7pD8Ixr8UlDylggY,Love And Happiness,,Mansour Sallama,,264986,,false,1130795251,2026-02-08T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4dF0BF6qljZ0ziAVLEuYk4,Souffles H - King Street Club Mix,,Mondo Grosso,,232945,,false,1130795251,2026-02-08T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7gpBFXxiSunwtS4vI7TZKf,Dance Floor Therapy,,Byamm,,289000,,false,1130795251,2026-02-08T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1sHgRiF5CWjEIKeypXE0LO,Welcome Back into My Life,,Pumphouse Gang,,228046,,false,1130795251,2026-02-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7DVvc09H7c5WlKVIet6dm9,extra cinnamon please,,"Greg Spero, MonoNeon, Robert ""Sput"" Searight",,223315,,false,1130795251,2026-02-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6nuMagDC2BNpAWzUg1GYOY,Wildfire,,"John Beltran, Placid Angles, Yushh",,350588,,false,1130795251,2026-02-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7GpINCFYK6tBDbklYs9sXt,Shady Blues,,Marlene Moore,,220300,,false,1130795251,2026-02-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4UBOMLz5pFxkfdNL3EAVC3,Rise Up,,Tom Manzarek,,215238,,true,1130795251,2026-02-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4reMGxFvlioUXA2HG1HeOr,Vanilla Sky,,Dawn Again,,411454,,false,1130795251,2026-02-10T00:00:00Z,,,,,,,,,,,,,,
spotify:track:636kOncurVDPXQcAYFqIIf,Mizu No Kokoro,,Nonna Fab,,426107,,false,1130795251,2026-02-10T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2C0VvH2jDaFMu0WFa0zfvA,I Can't Forget About You - Remastered Version,,Ronn Matlock,,313319,,false,1130795251,2026-02-10T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3ZXhTX1rHrS5oAWRoZmTD6,I Just Wanna Sing For You,,Norman Weeks,,171040,,false,1130795251,2026-02-10T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0FwIaumh8JooBG1j4gGfRc,Ebb and Flow,,"Nonna Fab, Veronica Melkonian",,383727,,false,1130795251,2026-02-10T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6VeL1wlcD9D5crb7rW4oNz,Is It Still Good to You,,Kinky Foxx,,290000,,false,1130795251,2026-02-10T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2wXc5fJTHJJRAQkfkI2mko,What It's All About You,,Veda,,249150,,false,1130795251,2026-02-10T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7Je90OQPzjHfsTLpR1C86i,Willow Man,,The Willow Band,,201560,,false,1130795251,2026-02-11T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3NK7C6T52vk4ilQkCSLyKT,Commodore - Man Made Mountain Remix,,"Don Glori, Man Made Mountain",,194281,,false,1130795251,2026-02-11T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1W7ZaGA7sHO9ITA5hejyU0,Bettina,,"Skinshape, The Horus All Stars",,223908,,false,1130795251,2026-02-11T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3IfAbXahKzucatNkclxpOl,Cumbia No Get Enemy,,Mitchum Yacoub,,252306,,false,1130795251,2026-02-11T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2JG4IB3NbFFkzBUqp5IZBO,Memories of Dreams,,Resavoir,,185114,,false,1130795251,2026-02-12T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6zHphSkvsxeviUlyNJMUWj,Now That You Got It,,Millie Jackson,,154760,,false,1130795251,2026-02-12T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3FPskEqSsUgnwrvBWDSROo,Àṣẹ,,Jill Scott,,191799,,false,1130795251,2026-02-13T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6euvbXrjPdLs3Vsz60uPfH,Find My Way Back,,"Tall Black Guy, Zo!, Nicholas Ryan Gant",,440792,,false,1130795251,2026-02-13T00:00:00Z,,,,,,,,,,,,,,
spotify:track:31K6GUjwPXinsNZiBEotZX,Far Apart,,SizLeCaude,,354000,,false,1130795251,2026-02-13T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4hmNK6IXrENwE6omRAICG6,Say You Will - 2004 Digital Remaster,,Eddie Henderson,,269746,,false,1130795251,2026-02-15T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4mpq9DgYZcpDyHRDYSMVUr,No Others,,Momoko Gill,,266426,,false,1130795251,2026-02-15T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7wfzUFCxieKcbQ0ESX0jXK,Trust My Heart,,Leroy Hutson,,230425,,false,1130795251,2026-02-15T00:00:00Z,,,,,,,,,,,,,,
spotify:track:539mTQXtj4jsH1hmIbL8Ge,Love Vibrations,,Jokers Y-ilde,,210000,,false,1130795251,2026-02-16T00:00:00Z,,,,,,,,,,,,,,
spotify:track:13U8cHJKKiMlYpij4FTfmx,What Could Happen,,Kuzco,,278019,,false,1130795251,2026-02-16T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5LeexKjfUqX6M1v9GcyIHP,Forever Me,,Ben Hauke,,346203,,false,1130795251,2026-02-16T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3imaeD1xKrAfUWDKhTOSxL,Suavemente,,"Whodamanny, Sandy Nuni",,204187,,false,1130795251,2026-02-16T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5DQJSUsKvjOofT8mWQRrgH,Disco Tango - Ric Piccolo Rework,,"Orquesta Disco Latino, Ric Piccolo",,317613,,false,1130795251,2026-02-16T00:00:00Z,,,,,,,,,,,,,,
spotify:track:47YsuUajzphnkBpGg937m7,Love Is Stronger Than Pride,,TAMTAM,,264701,,false,1130795251,2026-02-16T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6lWK1LSlpJL2Jazi3MuXWC,Zeva,,"Serge Papo, Etibar Asadli",,422400,,false,1130795251,2026-02-16T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5JF3jaiN4x6PK15HYnOSc9,Kellen,,Owelu Dreamhouse,,295040,,false,1130795251,2026-02-16T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7HNtKpzS0rQJT53AzWTee2,Johnny,,"John Roseboro, Mei Semones",,238659,,false,1130795251,2026-02-23T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3iY4XSXdobrQowOedmptpK,Brother Earl,,Work Money Death,,780100,,false,1130795251,2026-02-20T00:00:00Z,,,,,,,,,,,,,,
spotify:track:70nS54MJFb5rQVVOfGSSUo,Horses Original Soundtrack,,"Mark de Clive-Lowe, Mahina-Ina Kingi-Kaui, Ariana Tikao",,492885,,false,1130795251,2026-02-21T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5JvSVBUH7umEVtA9V91uJK,Isabelle And The Rain - Caviar Jazz Edit,,Jo Boyer,,257705,,false,1130795251,2026-02-21T00:00:00Z,,,,,,,,,,,,,,
spotify:track:68hdFIVQjz9MSAgAdQe1hY,Keep On,,"FUTVRST, Danke",,337200,,false,1130795251,2026-02-21T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7yCzguu8hlWv3LOXa163o2,Kókó Ngbélé,,"Pepe Link, Kiko Navarro, Afeerika",,468000,,false,1130795251,2026-02-21T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1C2qcCPHlPP05r70n2kfqO,Drama - Shinichiro Yokota Remix,,"Hotel, Shinichiro Yokota",,291590,,true,1130795251,2026-02-21T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0tzhO6dj2zQBCNhfJpKBDr,tears fall for new beginnings,,Samplelov,,142937,,false,1130795251,2026-02-23T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7jEgsaiGdfuapRCORx0ltU,Tribilasyon,,AYIZAN,,409550,,false,1130795251,2026-02-23T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4WnfUWSF4GbH9qkqMJt3g6,Sillons (Abyssinie),,"Flavien Berger, La Brume",,197751,,false,1130795251,2026-02-23T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1JyWpgLnH3Dc9ytqt3EBru,Människobarn,,Dina Ögon,,218487,,false,1130795251,2026-02-23T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5OKtvYYQH7Ej7C7BD3uWBH,Koneko,,"Mei Semones, Liana Flores",,248750,,false,1130795251,2026-02-23T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5QItyuZ6usn6QpdRJ6B3FH,Sem Caminhar Eu Vou,,"Pedro Ricardo, António Zambujo",,159037,,false,1130795251,2026-02-24T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5TAZ6BkY9LoYgr4idKyr0Q,The Bodega,,East Side Supply,,205250,,false,1130795251,2026-02-24T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3XEhOUNJtTi9PTrJbGaehg,"Sodade, Tem Pena D'Mim",,Grupo Serenata,,372137,,false,1130795251,2026-02-25T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6WTXKVwNr6N5ZGViAdyEL5,Bang In Your Face?,,Greenskeepers,,323684,,false,1130795251,2026-02-25T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4ScJ0r4xvc7kty6Xsqj53a,Suntory,,John Carroll Kirby,,462225,,false,1130795251,2026-02-25T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7wvv3OLPrX0pENjcDDLLbS,Coming Down Again - Remastered,,The Rolling Stones,,354173,,false,1130795251,2026-02-26T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4EUYjGXz4vBuVKpmmAgF6r,Take Time Out,,Wendell Harrison,,290866,,false,1130795251,2026-02-26T00:00:00Z,,,,,,,,,,,,,,
spotify:track:69aoP8bvwfoRGEhSlDjxBn,San Bon,,El Calefón,,183770,,false,1130795251,2026-02-27T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0XAE68MXSExTol52J2C32P,Tema Em Harmônicos,,"Fabiano do Nascimento, Vittor Santos e Orquestra",,187106,,false,1130795251,2026-02-27T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3zs1PFRpsGXKKujXPcf2aV,Chão,,Alcides Neto,,316000,,false,1130795251,2026-02-27T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1wfkXTckaxLn5g8CraRqXS,I Love Soweto,,Linda,,317000,,false,1130795251,2026-02-27T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0rcpXyoR1GRB2oZ0Jl5sYs,Charisma,,Abigail Kubheka,,334500,,false,1130795251,2026-02-27T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6EiddSbc6b4quXfQvrVND1,Reflections,,Jasmine Myra,,214430,,false,1130795251,2026-02-27T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2S1gfyckmJTglKEDgXNqMt,Easy,,Okonski,,225212,,false,1130795251,2026-02-27T00:00:00Z,,,,,,,,,,,,,,
spotify:track:18qcAFtjYxHTA9Rw62Ezht,Readymade,,"GENA, Liv.e, Karriem Riggins",,123316,,false,1130795251,2026-02-27T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3de4w5RMotY7NBXG7vtP4O,Douwannabwitastar!?,,"GENA, Liv.e, Karriem Riggins",,165081,,false,1130795251,2026-02-27T00:00:00Z,,,,,,,,,,,,,,
