Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4gZIqCz8djBkwsT5yFsVSb,Moon Side,,The Groove Trio,,183872,,false,1130795251,2025-01-03T00:00:00Z,,,,,,,,,,,,,,
spotify:track:712ANIpd39rCxTgaJvnrz4,Vem Cá,,"Tigerbalm, João Selva",,157966,,false,1130795251,2025-01-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3bfPZagJDhGPzmUJiX19VU,I Look for You,,SAULT,,191120,,false,1130795251,2025-01-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:30xpmu9sCTvKrKq2gzQUfx,Set Your Spirit Free,,SAULT,,172760,,false,1130795251,2025-01-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0d5OqgwdmMGaJbQOkWWwHI,Windspeaks,,Uyama Hiroto,,269386,,false,1130795251,2025-01-08T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1YbCZfKdg6ksxNsIC2mFyb,Bruce Road,,Peter Somuah,,318826,,false,1130795251,2025-01-08T00:00:00Z,,,,,,,,,,,,,,
spotify:track:32gOXeiuZo01yiLeY8tHON,Cold Dreaming,,Doves,,302233,,false,1130795251,2025-01-08T00:00:00Z,,,,,,,,,,,,,,
spotify:track:14M2kK8Qc3ZuP38crgkoYF,Running the Motor - Reprise,,Tall Black Guy,,345147,,false,1130795251,2025-01-08T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5xmUV8KlXxSwu1b5TfC8h4,Out Of My Hands (Love's Taken Over) - Long Version,,"Omni, Connee Drapper",,374406,,false,1130795251,2025-01-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6EbJGiy5GysK2YT3d8IP2L,Fill Me Up,,Elaine & Ellen,,231198,,false,1130795251,2025-01-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5pa4nSXGhO0zWTJDLICAKy,Let The Devil In,Let The Devil In,Eddie Chacon,2025-01-10,228859,,false,1130795251,2025-01-10T00:00:00Z,"funk / soul, soul",,,,,,,,,,,,,
spotify:track:1XOGLifR9n2X6GvwY2Ku9e,the book of job part ii,,miles cooke,,184633,,false,1130795251,2025-01-13T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6fX1cW0uhe0RMgWbO1X3jC,For You,,"Tall Black Guy, Jaszy Shavers, C-Red",,178723,,false,1130795251,2025-01-13T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4jwA8VsGoyVW6qnnddmRrj,Stints,,"Marc Decho, James Hill, Marito Marques",,506198,,true,1130795251,2025-01-15T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0rwOeM5SFXpW3Y2oJUvZVn,Our Love Will Grow,,Sunrise Ltd,,271200,,false,1130795251,2025-01-17T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3Q175Kn1M1QSk1Yz5pzO8m,Arranha Ceu (Skyscrapers),,Deodato,,291506,,false,1130795251,2025-01-17T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5DttBSzJmBOaPS0x5hJard,Do You Want To Dance,,Jim Messina,,310133,,false,1130795251,2025-01-17T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4QPoCJSGDSig70rrzt8ZLi,Bis,,"Arthur Verocai, Azymuth",,238200,,false,1130795251,2025-01-17T00:00:00Z,,,,,,,,,,,,,,
