Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6T8BO4rFC9mRXASSioFFvc,Axes,Axes,"Okonski, Rachel Kitchlew",2026-06-02,169599,,false,1130795251,2026-06-09T00:00:00Z,"jazz, nu jazz",,,,,,,,,,,,,
spotify:track:5nwMTvSdLRXfj9mOXPNP7h,fajas,fajas,Sparklmami,2024-06-14,184144,,false,1130795251,2026-06-09T00:00:00Z,"bedroom pop,alternative r&b",,,,,,,,,,,,,
spotify:track:0Pq0mOdgFXTezl6mMt8a39,San Juan Sunset,Love Island,Deodato,1978,255533,,false,1130795251,2026-06-09T00:00:00Z,"jazz funk,brazilian jazz,jazz fusion",,,,,,,,,,,,,
spotify:track:2qQZT88SgU10wNn59XIAzg,Time Will Let Us Go,Banoffee Pies Beats 02,"Slim., Merryn Jeann",2017-05-05,179583,,false,1130795251,2026-06-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5cL9apuZP2KhE9C5fZwFbo,No Stranger to Love,No Stranger to Love,Glenda Mcleod,2024-09-20,198557,,false,1130795251,2026-06-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0UlC3u4AysiMgEDqpoigXB,In Brasil,In Brasil,"ventoux^, Marcello",2026-05-17,236609,,false,1130795251,2026-06-09T00:00:00Z,nu jazz,,,,,,,,,,,,,
spotify:track:243nAji1iUHiGkcKWjyFyD,Flying,Flying,"Okonski, Cochemea",2026-03-31,227592,,false,1130795251,2026-06-09T00:00:00Z,"jazz, nu jazz",,,,,,,,,,,,,
spotify:track:177No3z2IF2FVeUA5IvJe6,The Message,The Message EP (Alex Nut Presents Sum Of Its Parts),"Alex Nut, Sum Of Its Parts",2026-06-05,516107,,false,1130795251,2026-06-09T00:00:00Z,lo-fi house,,,,,,,,,,,,,
spotify:track:71tZq2cxfuMaE1KkS9mjj7,Late To Camberwell,Keep On Livin' / Late To Camberwell,MJK,2026-06-05,378394,,false,1130795251,2026-06-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1EYKFRSKHCIqro04NtlG70,Keep On Livin',Keep On Livin' / Late To Camberwell,"Zed Bias, MJK",2026-06-05,443636,,false,1130795251,2026-06-09T00:00:00Z,"uk garage,uk funky,bassline,liquid funk,drum and bass,uk r&b",,,,,,,,,,,,,
spotify:track:6awfvw5ybmxUT8tv7EaJjr,Just for You,1619 Bad Ass Band (Digitally Remastered),1619 Bad Ass Band,2013-07-02,257973,,false,1130795251,2026-06-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0ajcBeNXFmjucpy4Kt6Nnw,Use Me - D Wynn's U Turn Remix,Turn-A-Round,"D Wynn, R-Tyme Production",2026-05-21,340280,,false,1130795251,2026-06-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3OhPxSKeQotvgquG6dTWCP,grounded,in this body,Sparklmami,2026-06-05,176230,,false,1130795251,2026-06-09T00:00:00Z,"bedroom pop,alternative r&b",,,,,,,,,,,,,
spotify:track:2K5JOg7XsDfBr7cIkvOz8t,Ups & Downs,Somewhere Good,Tara Clerkin Trio,2026-06-05,354797,,false,1130795251,2026-06-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4XPC8S3jNd7m54H9tAgBwq,Spook,Spook,"Rachel Kitchlew, DOUGH",2026-04-24,250633,,false,1130795251,2026-06-09T00:00:00Z,"indie jazz,ambient jazz,jazz house",,,,,,,,,,,,,
spotify:track:67mVuqjqUtSi86fFjshoom,Wonderluv,POWERSCROFT,IZCO,2026-05-01,256079,,false,1130795251,2026-06-09T00:00:00Z,"uk garage, uk funky, jungle",,,,,,,,,,,,,
spotify:track:4ixXjZRzQm4mIJg0L4oK9S,So Good,I Guess I’ll Never Learn,"S. Fidelity, Jerome Thomas",2026-03-20,180930,,true,1130795251,2026-06-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1eekygIiUM17kmal26mT56,"Enfin, la paix (Koralle Remix)","Enfin, la paix (Koralle Remix)","The Offline, Koralle",2026-04-01,134127,,false,1130795251,2026-06-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1Y5Iq070TALg3wFy5igJw4,Flight - Nulife Vocal Mix,Flight,"Studio Apartment, Monique Bingham, Frankie Feliciano",2026-05-25,452631,,false,1130795251,2026-06-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7u5a7COMP2zqzYSFjmKsDa,Slip Back,Lipstick,Puccio Roelens,1979-11-05,224394,,false,1130795251,2026-06-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:61HwloDTTfO6JkdZogaDjD,I'LL BE THERE FOR YOU - Crackazat Remix,LOVERS DANCE ACADEMY (Remixed),"Close Counters, Crackazat",2026-01-09,331859,,false,1130795251,2026-06-09T00:00:00Z,jazz house,,,,,,,,,,,,,
