Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4e3jy3WMvMl6TZM3TV5W1B,Ba Hi Yah,,"The Cosmic Tones Research Trio, Roman Norfleet, Harlan Silverman, Kennedy Verrett",,261976,,false,1130795251,2025-11-01T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3r8vYzpVf86WykPCIgkwPV,Got It Bad - Sean McCabe Dub,,"Ellis Aaron, Sean McCabe",,458511,,false,1130795251,2025-11-01T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7ALhIo415K4tCreayqnE7q,qazir bolmasa - Close Counters Remix,,"Orynkhan, Close Counters",,328000,,false,1130795251,2025-11-01T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3EwT7uWmy6f5T8LRcQwiRn,All About Us,,"Harrison, Jaleel Shaw",,158500,,false,1130795251,2025-11-01T00:00:00Z,,,,,,,,,,,,,,
spotify:track:69HpF25AOPuBOw4pwQEqJI,Helia,Hawalat (Habibi Funk 030),"Charif Megarbane, Sven Wunder",2025-04-11,202636,,false,1130795251,2025-11-02T00:00:00Z,neo-psychedelic,,,,,,,,,,,,,
spotify:track:7bWIgUCERJWbdj3g5xKHju,Loosen Your Bones - Instrumental Dub,,Makèz,,305650,,false,1130795251,2025-11-03T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3gzpCFlhUetJ67uLw0j5SV,Give Us More Love,,Mac Mathunjwa,,754647,,false,1130795251,2025-11-04T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1iRPNwhgsVyzlB5l8zPiy2,Mekong Ballad,,COLA REN,,222500,,false,1130795251,2025-11-05T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6V4ntlX6608rd3Ec5SpVhj,Berghain,,"ROSALÍA, Björk, Yves Tumor",,178853,,true,1130795251,2025-11-05T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0YmpgL8qUPHUE4ear2t0Ko,Sou Black Rio,,Fabio Santanna,,260000,,false,1130795251,2025-11-05T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4RszGlnuRLgy4vkWixsBv5,Flora and Fauna,Flora and Fauna,The Circling Sun,2025-11-05,260040,,false,1130795251,2025-11-05T00:00:00Z,"jazz, modal",,,,,,,,,,,,,
spotify:track:5WAcjJPxNcZZJ8asoDe9R1,Menidaso (My Hope),Awakening Remixes,"Àbáse, King Owusu, Fanni Zahár, Ori Jacobson",2025-10-03,495346,,false,1130795251,2025-11-05T00:00:00Z,"lo-fi house,nu jazz,soul jazz",,,,,,,,,,,,,
