Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:60RlziuiHLv6ahovbFbjZF,Take a Walk In the Moonlight,,The Paul Bailey Sound,,361776,,false,1130795251,2025-10-01T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4L80OBCDXCruG8CO2tF8S4,GLO,,Stealing Sheep,,361998,,false,1130795251,2025-10-01T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1w3agPWbqCpBxiE9fo4006,Love 4 U,,Ten Thousand Nights,,419500,,false,1130795251,2025-10-01T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4F4Hd6PH2JiHtRaHhCq0M8,Ніці / Nici,,СОЮЗ,,177916,,false,1130795251,2025-10-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0l02xB9EUXGB7hEITl0ZKH,My World (beyond),,anaiis,,245972,,false,1130795251,2025-10-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0l0lvQPjHQWXEnG187eyWw,Itsumo,,Mei Semones,,251477,,false,1130795251,2025-10-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:15qaDhvIsjNe3jY3TwxEBi,Tomorrow,,"Resavoir, Matt Gold",,188869,,false,1130795251,2025-10-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5qE37tGLNDz5eip472RywN,Bosté,,oreglo,,483363,,false,1130795251,2025-10-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0vjyQYjFo8txleit0rEWtH,Baleias,,"BABO MORENO, Baque Luar",,467173,,false,1130795251,2025-10-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4kJ7VkpopFjLCn354rL2PE,Rei da Pesca,,BABO MORENO,,337306,,false,1130795251,2025-10-06T00:00:00Z,,,,,,,,,,,,,,
