Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2LCsNgUX2qsEbKZ9yLRUJq,Love Will Bring Us Back Together,,Roy Ayers,,355373,,false,1130795251,2019-11-03T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7ISReifFARyanj43soo5s1,Making New Friends,,Jeanie Tracy,,119187,,false,1130795251,2019-11-10T00:00:00Z,,,,,,,,,,,,,,
spotify:track:076axVCuzmW8FGEP7Btd7X,Sparkle,,Greenwood,,255199,,false,1130795251,2019-11-12T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0Il4Ll4YX4FaLXE5f5SyqE,Body Heat,,Rufus & Chaka Khan,,358800,,false,1130795251,2020-02-01T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6Dhhx6POulpaNlKJKKvLSx,The Power of Your Love,,Spirit of Love,,253181,,false,1130795251,2020-02-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0m2AkCeTiVR8MhSM4cmgfS,We're Running out of Time,,Oscar Weathers,,452000,,false,1130795251,2020-02-03T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7K4Yu8c95LUyJexYh8NygR,All in Your Mind,,LaRombé,,196565,,false,1130795251,2020-02-04T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3DKVYtSkvMfAoSXzHrWSHk,We Can Make It Better,,Rena Scott,,301666,,false,1130795251,2020-02-04T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5YKj3GJkiWJ53B3757HuaB,You and Me Just Started,,Linda Taylor,,306440,,false,1130795251,2020-02-24T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0aXY6UjWr4ctWPJYJC9Ip6,I Don't Want You Back,,Ramona Brooks,,288849,,false,1130795251,2020-02-06T00:00:00Z,post-disco,,,,,,,,,,,,,
spotify:track:0cE16lJxfsRAPh7pvypPDH,East of the Apple - The 'Just a Little Different' Mix,,Cross Island,,309000,,false,1130795251,2020-02-07T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2BSqdgkbHqrwnRGwBb2jfk,"Love Me Tonight (Love, Love, Love)",,Fern Kinney,,273066,,false,1130795251,2020-02-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6rtdhEtXbkMVNjlSwn6aYD,I Love You,,Karriem,,415706,,false,1130795251,2020-02-18T00:00:00Z,,,,,,,,,,,,,,
spotify:track:01aSK1zsA9dlutb1INz1D1,I Don't Need No Fortune Teller,,The Ad Libs,,225106,,false,1130795251,2020-02-24T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2r48u9jiQZ9q6BDtAFNjbV,Lady,,Herman Jones,,294038,,false,1130795251,2020-01-05T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1VQ4vNasNIrgOKjVpb1aVM,Don't Send Me Away,,Garfield Fleming,,325811,,false,1130795251,2019-04-29T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3e4OWoTTHTNPP1xVlwFeBX,Let Me Do It (feat. Karvin Johnson),,"Halo, Karvin Johnson",,218148,,false,1130795251,2020-01-09T00:00:00Z,,,,,,,,,,,,,,
