Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6MBuQATbbJpc8ap9GaBghg,Perfume De Cebola,,Filo,,224973,,false,1130795251,2013-06-22T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1obau7YVq9ocJhG7caEC9w,Guarapiranga,,Toco,,311130,,false,1130795251,2013-02-10T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7E26bY2VRYa0XvkpCyy3np,Batucada,,Sergio Mendes & Brasil '66,,140013,,false,1130795251,2013-01-10T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0UGys0LIzJsiesDFvvrCTO,Uncertainty,,Jagwar Ma,,242493,,false,1130795251,2013-06-23T00:00:00Z,,,,,,,,,,,,,,
spotify:track:771L440a1283WimX8EzkpG,Miss You,,The Rolling Stones,,214893,,false,1130795251,2013-07-13T00:00:00Z,,,,,,,,,,,,,,
spotify:track:22KsDqTNLAaPP3EH6Sx5do,Blackbird,,Fat Freddy's Drop,,567458,,false,1130795251,2013-07-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7BglfN5b1n3ItWQ6SX1jlc,Defeated No More,,"Disclosure, Edward MacFarlane",,367768,,false,1130795251,2013-07-13T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5eXo3ovkMsNoSY0oWPQk1A,Brazil,,Gold Panda,,346586,,false,1130795251,2013-07-13T00:00:00Z,,,,,,,,,,,,,,
spotify:track:66lvmGhRtKwmXTARMqNRl7,Walcott,,Vampire Weekend,,221600,,true,1130795251,2013-07-13T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1HvC7KoIL7nrNzu8AMRMua,A Fax from the Beach,,Classixx,,339000,,false,1130795251,2013-07-13T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2PgnmyrMz2R35ePgyHjlJy,Dominoes,,Classixx,,253773,,false,1130795251,2013-06-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3G9RHExOlulJtarVW2SilB,Holding On,,Classixx,,380240,,false,1130795251,2013-07-13T00:00:00Z,"nu disco,indie dance",,,,,,,,,,,,,
spotify:track:0dEIca2nhcxDUV8C5QkPYb,Give Life Back to Music,,Daft Punk,,275386,,false,1130795251,2013-07-13T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1LJpg66ukvsbFzW48d3YmT,Trying To Be Cool,,Phoenix,,229560,,false,1130795251,2013-07-13T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2evUCeihA86O01BK4oukx4,Drakkar Noir,,Phoenix,,202173,,false,1130795251,2013-05-07T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2THkQauDWMvJgXFGPY4iKB,Too Young,,Phoenix,,197973,,false,1130795251,2013-07-13T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6YLqzSTXAMRmLu5NztWV61,Warm Thoughts,,Flume,,228376,,false,1130795251,2013-02-07T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7xtGF5bq4Y1UxE3gU8QDcz,Mulata,,Mala,,195581,,false,1130795251,2012-12-03T00:00:00Z,,,,,,,,,,,,,,
spotify:track:72bwlx2SmKNRoBqsNW2ir8,Lady Day and John Coltrane,,Gil Scott-Heron,,214666,,false,1130795251,2013-07-13T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4VwCSGfydxR5qQ2PYrECJn,You Should Know - feat. Ruckazoid,,Breakbot,,242186,,false,1130795251,2012-09-21T00:00:00Z,,,,,,,,,,,,,,
