Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:70lHpE2jGA5AgmsHJYbn5c,Shining of Life - 2017 Full Moon Mix,,Calm presents K.F.,,922750,,false,1130795251,2020-05-25T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4lxigqjxkuTHbidhDldXF8,Jazz Carnival - Full,,Azymuth,,638613,,false,1130795251,2020-05-20T00:00:00Z,,,,,,,,,,,,,,
spotify:track:27lqvywx3wruW3Xh93AGYs,Finally - Nuyorican Soul Remix,,"Kings Of Tomorrow, Julie Mc Knight",,494826,,false,1130795251,2020-05-17T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4ThTJBOvrEXeOQ1CvET73g,You Can Do It (Baby) - Full Version,,"Nuyorican Soul, George Benson",,523133,,false,1130795251,2016-03-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7k11Ii2cGblg42H4iUZFEv,Elevator (Going Up) - Album Mix,,"Louie Vega, Monique Bingham",,305813,,false,1130795251,2016-03-21T00:00:00Z,,,,,,,,,,,,,,
spotify:track:618Jj4kfAJBIm1iS69F8mc,"It's Alright, I Feel It! - M.A.W. 12"" Mix",,Nuyorican Soul,,588040,,false,1130795251,2020-04-24T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2DepZXq4pL2z0HPM2YG5JS,The Weather Report,,"Incognito, Take 6",,245586,,false,1130795251,2019-12-04T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0GJ07sZTPG0q1D8ATaPLpo,Smile,,Sampology,,279986,,false,1130795251,2019-09-04T00:00:00Z,"boogie, deep house, disco, house, indie soul, jazz, neo soul, nu disco, nu jazz, r&b, soul, soul jazz",,,,,,,,,,,,,
spotify:track:2hFjxLPeeBZrvLb302MKLj,Like It Is,,Coeo,,355968,,false,1130795251,2020-03-24T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0ZEcI78PzxOXJ7mY3cRQDV,Reach 4 Freedom - DF's Vocal Mix,,Dennis Ferrer,,507744,,false,1130795251,2020-01-12T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0bPETkh1amnP7sMklHV2IT,Beyond the Stars,,"Cody Currie, Joel Holmes",,368619,,false,1130795251,2019-10-18T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5n9wJAsxBIv25iA8hcSBvs,Me Vuelves Loco,,"Juan Di Lago, Alberto Gabilan",,421935,,false,1130795251,2019-10-01T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0QMrR7L9dHvUnE1zYZhWNE,Diamond Life (feat. Julie McKnight) - Richard Earnshaw Remix,,"Louie Vega, Jay Sinister Sealee, Julie McKnight, Richard Earnshaw",,463426,,false,1130795251,2019-08-27T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5FyXdbqjdcmKa6txTW0M6y,We Are on the Move - Joey Negro Revival Mix,,"Zo!, Erro & Phonte, Dave 'Love' Lee",,425365,,false,1130795251,2020-05-19T00:00:00Z,,,,,,,,,,,,,,
spotify:track:575jFHHZ4nwnbagu8wx58e,Free As The Morning Sun - Haji & Emanuel Remix,,Mr Hermano,,485826,,false,1130795251,2019-05-10T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2A0BjaeCtJHKpYDoOJtfSN,Projections,,"Henry Wu, Earl Jeffers",,439342,,false,1130795251,2019-07-03T00:00:00Z,"breakbeat, indie jazz, jazz funk, jungle, nu jazz, uk garage",,,,,,,,,,,,,
spotify:track:3hl5B6GYsN4K5sjfQvx8JD,Outro lugar,,Salomé de Bahia,,418280,,false,1130795251,2019-06-26T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6Blq98y6ufdpWqd7AFVkp3,Angel - DJ Spen & Gary Hudgins Long Version,,"Liquideep, Gary Hudgins, DJ Spen",,550243,,false,1130795251,2019-06-23T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6r0Ryr7Retl1BpvBDmgAGD,Ready 2 Wear,,Felix Da Housecat,,221666,,false,1130795251,2018-12-18T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2ytqms9uZWXbZfXC0r2yKF,Beautiful People - Original Club Mix,,Barbara Tucker,,568293,,false,1130795251,2018-05-25T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2vhLsN2p6FHPPm4LfEBB3N,Pasilda - Knee Deep Club Mix,,"Afro Medusa, Knee Deep",,426000,,false,1130795251,2017-12-20T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2R6UCilbfp3Cd1kiPK1OkX,Mar Afunda - Bonobo Remix,,Os Novos Crioulos,,284040,,false,1130795251,2017-03-12T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1fIZzCIwKKGBRDkLA8VukW,LK,,"DJ Marky, XRS, Stamina MC",,329746,,false,1130795251,2015-06-30T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5YEyVo0XebEitdEPRVdtGb,Special,,Chesus,,428272,,false,1130795251,2013-07-14T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2lnR9KDbDiDrX9bkmgsD8s,Cerca de Mi - Nico's Mix,,"Louie Vega, Raul Midón",,632000,,false,1130795251,2020-05-31T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6miAOz48VVsTY6uALAclt7,Up & Down (NYC 91 Mix),,"Bosq, Kaleta",,470000,,false,1130795251,2020-04-15T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1UVdbTYHBMJYdyjksONQhV,Lose My Worries - Louis Benedetti Vocal Mix,,"Inaya Day, Ralf Gum, Louis Benedetti",,475975,,false,1130795251,2020-04-08T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5u0xcIyQFAfDy5PbEfnhsy,Elements Of Life,,"Louie Vega, Elements Of Life, Blaze",,501306,,false,1130795251,2020-06-01T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3iJGrfXRepS04IiZP3VBUp,Dreaming a Dream - Goes Dancin' Mix,,Crown Heights Affair,,421042,,false,1130795251,2017-07-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0baHmScZuO8t7aQyBiih2f,As The Sun,,John Beltran,,312389,,false,1130795251,2020-06-05T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3rfu9TH3F3yAk0Ti0JGisG,Barely Breaking Even - Louie Vega Boogie Mix,,"Louie Vega, Leroy Burgess, Universal Robot Band, Patrick Adams",,478893,,false,1130795251,2020-06-05T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2RS2TCFLQND9oMQT0u9opw,Runaway,,"Nuyorican Soul, India",,472506,,false,1130795251,2020-06-12T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1gvYr8snascDlxWrQZ53U1,Mi Gente (Louie Vega EOL Remix),,Héctor Lavoe,,695920,,false,1130795251,2020-06-12T00:00:00Z,"salsa,merengue,son cubano,bolero",,,,,,,,,,,,,
spotify:track:5MPpG8Z31ys5BanX8ug7El,Dance - Louie Vega Dance Ritual Mix,,"3 Winans Brothers, The Clark Sisters",,569724,,false,1130795251,2017-07-26T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0UgQw8fIQpcAhEhjyfAZZJ,We Have All The Time,,Milton Hamilton,,444893,,false,1130795251,2017-08-27T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1Qqw37IqvMBt2CfGwVLgp3,Sunny - Original Mix,,Conclave,,594546,,false,1130795251,2020-03-27T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7HmBJpem7AMiUPDQh8HtU4,Come With Me - Master At Work Remix,,Tania Maria,,496426,,false,1130795251,2020-06-12T00:00:00Z,,,,,,,,,,,,,,
spotify:track:65rGiea0RryhxAeBxRizmb,Into My Life (You Brought The Sunshine) - Louie Vega Dub Mutes Mix,,"Elements Of Life, Lisa Fischer, Cindy Mizelle, Louie Vega",,386518,,false,1130795251,2020-04-26T00:00:00Z,,,,,,,,,,,,,,
spotify:track:041mn3uFmaPY0b6Vmy657r,There's Never Been No One Like You (feat. Bobby Youngblood) - Medlar Edit,,"Kenix, Bobby Youngblood, Medlar",,444047,,false,1130795251,2017-12-08T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6WnREk9KkTTHo7klXZFlsH,Nos Vida - Masters At Work Remix,,"Louie Vega, Elements Of Life, Anane, Masters At Work",,292160,,false,1130795251,2020-07-05T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5PitqmqwYECoO4owwePBpM,Backfired - Joey Negro Club Mix,,"Masters At Work, Dave 'Love' Lee",,517919,,false,1130795251,2019-02-27T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4QMUXDddGlxJNQREVHOv5m,Let It Go (with Marc E. Bassy) - Extended Mix,,"Louie Vega, The Martinez Brothers, Marc E. Bassy",,458866,,false,1130795251,2020-07-12T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4qtJdIL7V1LuOl6LQ3UXoK,Don't Change - Joey Negro Club Mix,,"Erro, Dave 'Love' Lee",,501411,,false,1130795251,2018-12-05T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2zRIMJL0Rrggqa0YwTCNWl,Give Me the Night (feat. Xantone Blacq),,"Juan Laya, Jorge Montiel, LCO, Xantoné Blacq",,258826,,false,1130795251,2020-07-25T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6JZOtTDv2uJxPZOf3NosAc,You Got It - Original Mix,,Randee Jean,,365247,,false,1130795251,2020-09-14T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5KcrPjLLh79fdGp7ahgRhx,Over You,,"Scott Grooves, Thornetta Davis",,395438,,false,1130795251,2020-11-20T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5WUFHsHalXJth7oBEZ3pPl,Don't Be Afraid,,"DJ Spen, Ziggy Funk, Gary Hudgins",,373925,,false,1130795251,2020-12-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2E3J6m0Q4uyKC2eMVonWfC,Entardecer,,John Beltran,,326986,,false,1130795251,2020-06-05T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0LdDmswxKjgtXOIUB9WdJZ,Earth Is The Place - Restless Soul Peaktime Mix,,"Nathan Haines, Verna Francis, Restless Soul",,409026,,false,1130795251,2021-01-23T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2f5Bugklsz4xDQPjSPu1Sh,So Tired of Waiting - Restless Soul Peak Time Mix,,Bah Samba,,439240,,false,1130795251,2021-03-05T00:00:00Z,,,,,,,,,,,,,,
spotify:track:47GDFtRowhLKMzL7jLtqok,Right by Your Side - Restless Soul Aquarius Mix,,"Nathan Haines, Marcus Begg, Vanessa Freeman, Restless Soul",,583013,,false,1130795251,2021-03-05T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6G3sDvJZ2Lsa4Uy5FSYnQo,Morris - Phil Asher Mix,1996 - 2006 The House Album,"Bah Samba, Phil Asher",2006-09-11,621080,,false,1130795251,2021-03-05T00:00:00Z,latin house,,,,,,,,,,,,,
spotify:track:1R77VdFPR6pvoXKjvuqmOC,Beau Mot Plage - Freeform Reform Pts. 1 & 2,,Isolée,,638432,,false,1130795251,2021-03-10T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3lVQjR2V8Zjz1thimpgor8,Into My Life - Roots Mix,,"Elements Of Life, Lisa Fischer",,577426,,false,1130795251,2021-03-10T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2IkR3zKLZYWjNVD8yEnycC,Star - Rocco Underground Mix,,"Reel People, Tony Momrelle, Rocco",,475431,,false,1130795251,2021-03-15T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3S1Qd2Zv1a66607xIgSanN,Ain't No Place feat. Leon Neal - Original Mix,,Digital Soul,,343800,,false,1130795251,2021-03-15T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5QMaIMvIeguR8Jl4nYjlb1,Parisian Soul - Ian Pooley Remix,,"Oscar, Ian Pooley",,419146,,false,1130795251,2021-03-17T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2qKrbQURC1w65enpTIopV0,Love It - Phil Asher's Restless Soul Vocal Mix,,"BSTC, JL, Phil Asher",,554268,,false,1130795251,2021-03-05T00:00:00Z,,,,,,,,,,,,,,
spotify:track:51UdJHUw4C6dtLf91ue6dM,Parribean Disco,,"Cotonete, Dimitri From Paris",,483319,,false,1130795251,2021-03-23T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5VWIZjWJ2469adUqQFi4sg,Elegua - The Opener - Tribe Vocal Mix,,"Zepherin Saint, Amma Whatt",,539964,,false,1130795251,2021-03-23T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4aDPc7r6IAmtUxegMzg5dO,I Got Somebody New - MAW Mix,,"George Levin, Masters At Work",,563164,,false,1130795251,2021-03-24T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3U7kzkEX2rr6Ci23FPYD7C,Asking Eyes - Phil Asher's West Ten Mix,,"Da Lata, Phil Asher",,520260,,false,1130795251,2021-01-23T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6TZ3qj57osrFUnbW4dl4pd,Morris - Phil Asher Mix,,"Bah Samba, Phil Asher",,260063,,false,1130795251,2021-01-26T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6fixYiG1pdPQyoHhJEmxTk,He Is - Joey Negro Club Mix,,"The Sunburst Band, Dave 'Love' Lee",,373775,,false,1130795251,2021-02-05T00:00:00Z,,,,,,,,,,,,,,
spotify:track:2lcD1C90DkZEynlx7l28Ck,People Need People,,"Nicola Conte, Gianluca Petrella, Davide Shorty",,258337,,false,1130795251,2021-04-01T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3wMAFRcNLybj7YjeTuhXtJ,You Can Do It (Baby) - Full Version,,"Nuyorican Soul, George Benson",,523133,,false,1130795251,2021-04-01T00:00:00Z,acid jazz,,,,,,,,,,,,,
spotify:track:0IRnnh9RbdiQITqfmr9gsf,Los Conquistadores Chocolates - Moplen Dizco Delight Part 2,,"Johnny ""Hammond"" Smith, Moplen",,480840,,false,1130795251,2021-04-03T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1AusGRo7tnp8fwC0sJ9a0s,Los Conquistadores Chocolates - Moplen Dizco Delight Part 1,,"Johnny ""Hammond"" Smith, Moplen",,525120,,false,1130795251,2020-06-01T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6YVGUkxY96anIW97oEcc5s,Ubatuba - Roots Mix,,"Louie Vega, Agev Munsen, Anane, BSC",,568690,,false,1130795251,2021-04-08T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0wHRXXLsWPJLlJQZgv1s0W,Think Twice - Henrik Schwarz Remix,,"The Detroit Experiment, Henrik Schwarz",,449080,,false,1130795251,2021-04-08T00:00:00Z,,,,,,,,,,,,,,
spotify:track:59dvQDExunX9xvgKtiVY5E,Copa Cabana - Mark Grusane Edit,,"Frank Pellico, Mark Grusane",,374779,,false,1130795251,2019-04-12T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6SIBy1Jh77IPj2kMV1JGRA,Light You Up (feat. Queen Rose & Amy Douglas) - Louie Vega Remix,,"Luke Solomon, Amy Douglas, Queen Rose, Louie Vega",,281085,,false,1130795251,2018-07-10T00:00:00Z,,,,,,,,,,,,,,
spotify:track:21FMo5DDrZakHvIjrp5hSy,Slap,,Das Komplex,,252015,,false,1130795251,2019-09-27T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1VrHx9HWrRNz0CJVUyQwz2,Cerca de Mi - Shelter Ritual Mix,,"Louie Vega, Raul Midón",,535626,,false,1130795251,2016-03-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:3EoeLDQ0UFIJi4cb8piW4M,Do You Believe,,Poolside,,254716,,false,1130795251,2017-03-12T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1LO5z5jechg4vHZ5wzatv2,Always There - David Morales Remix,,Incognito,,216533,,false,1130795251,2017-10-22T00:00:00Z,"acid jazz,jazz funk,smooth jazz",,,,,,,,,,,,,
spotify:track:3uKpMhOtC66WWdg5GcMcU5,Special Love - Micky More & Andy Tee Jazzy Dub,,"Jestofunk, Jocelyn Brown, Micky More & Andy Tee",,440667,,false,1130795251,2021-04-11T00:00:00Z,,,,,,,,,,,,,,
spotify:track:4RZ9wm1BS1tGWrb4xbFGPZ,Inspiration,The Collection,Arnold Jarvis,2001-01-01,377693,,false,1130795251,2021-04-17T00:00:00Z,"chicago house,funky house",,,,,,,,,,,,,
spotify:track:47iZ9wPbM4VA84nn87qi9o,I'll Be Around,,"Donni 1, Simon Grey, Doug Parkinson",,258532,,false,1130795251,2021-04-20T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0bhVEuU9Id0wXSm0V4JNmR,Corcovado - Knee Deep Remix / Ben Watt Vocal Re-Edit,,"Everything But The Girl, Sebastian Doering, Torsten Freese, Simon Grey",,380320,,false,1130795251,2021-04-20T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1hUKvzRodaZAlmobXzwVhN,"Bourgie', Bourgie' - Dance Ritual Dub",,"John Davis & The Monster Orchestra, Dance Ritual",,512241,,false,1130795251,2021-04-20T00:00:00Z,,,,,,,,,,,,,,
spotify:track:6iYvHcQJK27an8NCwAiyyS,Let the Drum Remind You (Kai Alcé Remix),,Mausiki Scales,,425000,,false,1130795251,2020-05-05T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7GHHZJ0tQu4SVSzvAKus6R,I Believe In Miracles - Broken Party Animal Mix,,Sunlightsquare,,289849,,false,1130795251,2021-04-20T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5FqKVL72KUO2vKM6nxcQYd,Think Twice - Mark E Remix,,"The Detroit Experiment, Mark E",,578013,,false,1130795251,2020-12-06T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1PrrP9oAtJTmNJDHWrctY5,It's Yours (feat. E-Man) - Distant Music Mix,,"Jon Cutler, E-Man",,428254,,false,1130795251,2021-04-20T00:00:00Z,"funky house,disco house",,,,,,,,,,,,,
spotify:track:3qgspP1Yhdw8M6GHMEZLCA,Rocket Love - Louie Vega Remix,,"Sean McCabe, Dannis Winston, Louie Vega",,517014,,false,1130795251,2021-04-25T00:00:00Z,,,,,,,,,,,,,,
spotify:track:5vhNn6ZfEXbFMw0qR6Grpn,Walking Away,,Loods,,181426,,false,1130795251,2019-07-15T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1PH8at6E0jy3rFPH66aH9m,Back Together (feat. Ron Carroll) - Classic Mix,,"Hardsoul, Ron Carroll",,502286,,false,1130795251,2020-11-09T00:00:00Z,,,,,,,,,,,,,,
spotify:track:0DaiVUyyZURD3s9nvVKdJc,On The Road - Vocal Mix,,"The Realm, Atjazz, Kelli Sae",,479069,,false,1130795251,2021-05-10T00:00:00Z,,,,,,,,,,,,,,
spotify:track:51K9j1NtjBPDilc4zdIjOn,Magic,,Sean Oliver,,296280,,false,1130795251,2021-05-17T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7zgMACTmUIhH20U56icr4c,Asking Eyes,Jungle Kitten / Asking Eyes,Da Lata,2021-05-07,301344,,false,1130795251,2021-05-07T00:00:00Z,downtempo,,,,,,,,,,,,,
spotify:track:4DU9rzgRaYPDrdrWieP5Ko,Want You In My Soul - Club Mix,,"Lovebirds, Stee Downes",,497521,,false,1130795251,2021-06-02T00:00:00Z,,,,,,,,,,,,,,
spotify:track:7GxJOGrNhObuU7D3JowwyR,Brand New Feeling - Phil Asher Main Mix,,"Roy Ayers, Merry Clayton, Sylvia Cox, Phil Asher",,510280,,false,1130795251,2021-06-14T00:00:00Z,,,,,,,,,,,,,,
spotify:track:1MRELzcN6yjt1vPOqij9Bj,Let the Drums Speak - Phil Asher Mix,,"Bah Samba, Fatback Band, Phil Asher",,564493,,false,1130795251,2021-06-15T00:00:00Z,,,,,,,,,,,,,,
