Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:11UuubeQtvewoOJjjFxCvU,"A Little Samba","Journey To Anywhere","Ugly Duckling",2000,200840,0,false,,2012-08-09T21:05:01Z,"jazz rap","XL Recordings",0.773,0.734,10,-5.35,0,0.37,0.066,0,0.266,0.634,205.545,4
spotify:track:1jg12BVhZNOuSnfALQUHXC,"The World Is Yours","Illmatic","Nas",1994-04-19,289866,0,true,,2012-08-09T21:05:39Z,"old school hip hop,east coast hip hop,hip hop","Columbia",0.691,0.657,10,-10.758,0,0.125,0.346,0.00000778,0.174,0.549,87.386,4
spotify:track:7f1KEQeZhfiigX131qdQbU,"Fall in Love","Fantastic Vol. 2.10","Slum Village",2010-01-12,235200,0,true,,2012-08-09T21:06:02Z,"jazz rap","Barak Entertainment",0.738,0.549,1,-8.018,1,0.202,0.0669,0.00342,0.119,0.77,91.211,4
spotify:track:7sZCAHP2duHwr5M5K7lHsb,"Selfish","Detroit Deli (A Taste Of Detroit)","Slum Village;John Legend;Kanye West",2004-01-01,225400,65,true,,2012-08-09T21:06:02Z,"jazz rap,soft pop,neo soul,rap","Priority Records",0.71,0.597,7,-6.468,1,0.239,0.221,0,0.432,0.49,95.769,4
spotify:track:5YpZh8wfS4moRBk0ijNcXr,"Harder Than You Think","How You Sell Soul to a Soulless People Who Sold Their Soul?","Public Enemy",2007-08-07,249521,65,false,,2012-08-09T21:06:12Z,"old school hip hop,east coast hip hop,hip hop,hardcore hip hop","SLAMjamz",0.484,0.852,11,-4.442,0,0.274,0.0317,0,0.0547,0.766,103.578,4
spotify:track:4K7jd5Wm09iF9xum3gfExb,"Cherry Wine","Life Is Good","Nas;Amy Winehouse",2012-07-17,356466,53,true,,2012-08-09T21:06:40Z,"old school hip hop,east coast hip hop,hip hop","Def Jam Recordings",0.708,0.821,11,-3.706,1,0.171,0.293,0,0.201,0.479,96.079,4
spotify:track:2mu2oL9gdgHGtlg9poer2u,"Rebirth of Slick (Cool Like Dat)","Beyond The Spectrum - The Creamy Spy Chronicles","Digable Planets",2005-01-01,261066,42,false,,2012-08-09T21:06:58Z,"jazz rap,east coast hip hop,hip hop,acid jazz,old school hip hop","Blue Note Records",0.887,0.422,1,-14.505,0,0.228,0.0539,0.0455,0.114,0.612,98.332,4
spotify:track:3YXlTtlYDXI2SyofNm1ccg,"Don't Sweat The Technique","Gold","Eric B. & Rakim",2005-06-14,261600,0,false,,2012-08-09T21:08:54Z,"old school hip hop,east coast hip hop,hip hop","Universal Music Group",0.712,0.908,4,-6.898,1,0.146,0.00669,0.0373,0.0938,0.777,105.893,4
spotify:track:558hmBcLhGPGhqwQqcMRMd,"Bonita Applebum - includes 'Can I Kick It' Intro","Collections","A Tribe Called Quest",2009,216546,0,false,,2012-08-09T21:09:38Z,"jazz rap,east coast hip hop,old school hip hop,hip hop","Sony Music Entertainment",0.87,0.524,8,-9.235,0,0.185,0.0708,0.0248,0.503,0.638,91.884,4
spotify:track:5WD1lEPaIBOoGYADacfFVS,"Can I Kick It?","The Best Of","A Tribe Called Quest",2008-04-01,252493,0,false,,2012-08-09T21:09:52Z,"jazz rap,east coast hip hop,old school hip hop,hip hop","Sony BMG Music Entertainment",0.868,0.648,4,-9.468,0,0.271,0.176,0.0161,0.111,0.754,96.673,4
spotify:track:6YL1P3VsJqO2wwXZU95Pae,"Vibes and Stuff","Collections","A Tribe Called Quest",2009,258386,0,false,,2012-08-09T21:10:12Z,"jazz rap,east coast hip hop,old school hip hop,hip hop","Sony Music Entertainment",0.822,0.343,2,-10.145,0,0.238,0.574,0.00265,0.111,0.522,92.322,4
spotify:track:2Mb3zpobD0CvJGWv6NpsPy,"They Reminisce Over You (T.R.O.Y.)","Mecca And The Soul Brother","Pete Rock & C.L. Smooth",1992-05-26,286693,66,false,,2012-08-09T21:10:47Z,"east coast hip hop,jazz rap,old school hip hop,boom bap","Rhino",0.761,0.683,2,-10.889,1,0.164,0.141,0,0.342,0.671,101.787,4
spotify:track:35pk0j5yRy5PDMy39D20ty,"The 6th Sense","Like Water For Chocolate","Common",2000-03-28,240800,0,true,,2012-08-09T21:12:03Z,"hip hop,jazz rap,neo soul","Universal Music Ltd.",0.743,0.761,1,-5.636,1,0.194,0.0286,0,0.348,0.879,94.436,4
spotify:track:6gw0VbU7mFGCFnpKS0CbYU,"Get By","Rawkus Records - Best of Decade I 1995-2005 (Explicit Version)","Talib Kweli",2005-01-01,227720,0,true,,2012-08-09T21:12:22Z,"east coast hip hop,hip hop,jazz rap","Universal Music Ltd.",0.639,0.93,2,-4.482,1,0.387,0.00412,0,0.196,0.791,90.087,4
spotify:track:0UDXjq4Ilguc1HBdtAja8B,"Let's Ride","Amplified","Q-Tip",1999-11-23,246493,0,true,,2012-08-09T21:12:34Z,"east coast hip hop","Arista",0.775,0.795,5,-4.171,1,0.206,0.148,0.00119,0.0411,0.796,95.212,4
spotify:track:7aSnPAggMMgElb6BgXeSEw,"Worst Comes To Worst - Edited","Expansion Team","Dilated Peoples",2001-10-23,215973,64,false,,2012-08-09T21:12:46Z,"west coast hip hop,underground hip hop,hip hop,old school hip hop","Capitol Records",0.801,0.74,8,-7.162,0,0.355,0.293,0,0.369,0.828,92.042,4
spotify:track:29SQc0rWYpWyMWy5juXx04,"What's Golden","Power In Numbers (Explicit Version)","Jurassic 5",2002-01-01,188600,0,false,,2012-08-09T21:13:39Z,"hip hop","Universal Music Group",0.833,0.808,10,-4.413,0,0.164,0.0643,0.000646,0.272,0.786,94.008,4
spotify:track:1sEAhhpR0hG10rIRYWHM0q,"Concrete Schoolyard","J5 (Re-Issue)","Jurassic 5",2008-01-01,321293,0,false,,2012-08-09T21:13:44Z,"hip hop","Decon",0.895,0.638,10,-7.289,0,0.359,0.146,0,0.388,0.815,90.114,4
spotify:track:66QeFlvjQ82MHyxA6ZYWhX,"History","The Ecstatic","Mos Def;Talib Kweli",2009-06-09,141386,0,false,,2012-08-09T21:14:27Z,"east coast hip hop,old school hip hop,hip hop,jazz rap","Downtown Records",0.5,0.854,6,-3.939,1,0.355,0.674,0,0.285,0.734,189.58,4
spotify:track:2SxGqK6czA9NGGYLOu2Ibf,"How I Got Over","How I Got Over","The Roots",2010-06-22,213773,0,true,,2012-08-09T21:16:33Z,"east coast hip hop,jazz rap,hip hop","Universal Music Group",0.637,0.793,5,-4.538,0,0.0821,0.00575,0,0.597,0.81,122.251,4
spotify:track:1EvAHe0K76OnxYCWS5xzYg,"I Wish","R&B Classics Collection","Skee-Lo",2008-08-04,245040,43,false,,2012-08-09T21:16:56Z,"","Universal Music TV",0.716,0.801,7,-7.267,1,0.146,0.000551,0,0.367,0.55,97.885,4
spotify:track:7a8eNYWC6j0LJFqKPAxnQ6,"UMI Says","Black On Both Sides","Mos Def",1999-10-12,305280,0,true,,2012-08-09T21:17:51Z,"east coast hip hop,old school hip hop,hip hop","Universal Music Group",0.72,0.67,2,-10.224,1,0.132,0.305,0,0.0928,0.566,121.342,4
spotify:track:0PV1TFUMTBrDETzW6KQulB,"93 'Til Infinity","93 'til Infinity","Souls Of Mischief",1993-02-13,286440,73,false,,2012-08-09T21:18:46Z,"jazz rap,old school hip hop","Jive",0.59,0.672,1,-11.792,1,0.412,0.125,0.00000104,0.147,0.688,206.247,4
