Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2aKOA9e6aLOUqiYNa9THRl,"I'm the One","The Acid Jazz Collection: Soul","D-Influence",2009-01-01,231253,0,false,1130795251,2020-12-24T17:25:15Z,"acid jazz,jazz funk,uk r&b","Acid Jazz",0.759,0.816,8,-6.471,0,0.0813,0.041,0.000471,0.196,0.623,101.992,4
spotify:track:442Db46yV2e0Df83K5uBRE,"Hypnotize","London","D-Influence",1997-01-01,252493,0,false,1130795251,2020-12-24T17:25:23Z,"acid jazz,jazz funk,uk r&b","Echo",0.79,0.495,6,-6.709,0,0.0426,0.23,0.000024,0.406,0.837,97.826,4
spotify:track:3Ivrn4eLkqv1a7rbVKHPjW,"Running Away","London","D-Influence",1997-01-01,359840,0,false,1130795251,2020-12-24T17:26:16Z,"acid jazz,jazz funk,uk r&b","Echo",0.548,0.788,7,-8.811,1,0.0514,0.0784,0.657,0.356,0.791,183.426,4
spotify:track:4vrb86qzVCqp9bBF0nCieR,"Apparently Nothin' - Soul River","Road To Freedom","Young Disciples",1991-01-01,321426,0,false,1130795251,2020-12-24T17:26:31Z,"acid jazz,jazz funk","Talkin' Loud",0.781,0.48,8,-11.937,0,0.0941,0.0129,0.00000519,0.0641,0.483,102.928,4
spotify:track:1W4uaVBsdMLdCRYnFFDxD7,"Get Yourself Together Pt 1 & Pt 2","Road To Freedom","Young Disciples",1991-01-01,373226,0,false,1130795251,2020-12-24T17:26:39Z,"acid jazz,jazz funk","Talkin' Loud",0.745,0.556,2,-11.518,1,0.0522,0.111,0.00553,0.179,0.571,99.916,4
spotify:track:1nLU4RRrOdzCv5a7uEyFkM,"Friendly Pressure","Galactica Rush","Jhelisa",1994-09-26,366866,0,false,1130795251,2020-12-24T17:26:49Z,"uk garage,acid jazz,house","Dorado Records",0.638,0.649,10,-8.409,0,0.0405,0.185,0.662,0.115,0.958,90.025,4
spotify:track:3Pl1pvzSvcOXunjzwNFYZX,"Back In The Day","Worldwide Underground","Erykah Badu",2003-09-16,286920,0,false,1130795251,2020-12-24T17:27:50Z,"neo soul,r&b","Universal Music Group",0.746,0.547,5,-9.236,0,0.0903,0.224,0.0345,0.201,0.528,91.839,4
spotify:track:3toXFhdNpH0Cs5vQkTrHQ3,"Too Young to Die","Emergency on Planet Earth (Remastered)","Jamiroquai",1993-06-14,365733,61,false,1130795251,2020-12-24T17:28:07Z,"acid jazz","Sony Music UK",0.789,0.83,8,-3.267,1,0.08,0.0631,0.00226,0.597,0.676,101.78,4
spotify:track:39T2KhyV3fAwpzUFSgX4FQ,"Other Side Of The Game","Erykah Badu","Erykah Badu",1997,393733,3,false,1130795251,2020-12-24T17:28:30Z,"neo soul,r&b","Universal Music Group International",0.662,0.253,8,-10.665,0,0.085,0.433,0.53,0.116,0.187,83.056,4
spotify:track:1X37Xc7duxpgY9IqaPiOAU,"Keep On Movin'","Volume IV - The Classic Singles 88-93","Soul II Soul;Caron Wheeler",1993-01-01,219466,39,false,1130795251,2020-12-24T17:31:02Z,"new jack swing","Ten Records",0.721,0.376,4,-18.558,0,0.0757,0.0085,0.000161,0.0342,0.692,93.428,4
spotify:track:33bR2ZKXMdteA52WbBdJAF,"I Should've Known Better","South Of The River","Mica Paris",1990-01-01,308200,26,false,1130795251,2021-06-06T10:11:54Z,"new jack swing","Universal-Island Records Ltd.",0.767,0.331,1,-16.749,1,0.0503,0.0843,0.108,0.0942,0.705,94.083,4
spotify:track:6zuEU3i7R38ZKIpLqDxgHo,"You're the Only One","Born Again","Mica Paris",2009,236080,0,false,1130795251,2021-06-07T13:46:51Z,"new jack swing","Cooking Vinyl",0.704,0.393,4,-7.827,0,0.0345,0.446,0,0.255,0.47,76.018,4
spotify:track:78Liq9m8u6xjuamJIeznTd,"Million Dollar Bill","I Look To You","Whitney Houston",2009-08-28,203553,57,false,1130795251,2021-06-07T13:47:05Z,"","Arista",0.714,0.747,11,-4.134,0,0.111,0.054,0,0.0845,0.765,119.899,4
spotify:track:4gDBc1RxPAvinJrZzZ9nYX,"Love Will Save the Day","Whitney","Whitney Houston",1987-06-02,325061,49,false,1130795251,2021-06-07T13:47:19Z,"","Arista/Legacy",0.758,0.843,1,-9.454,1,0.0482,0.197,0.00000411,0.242,0.775,120.569,4
spotify:track:3Wk247NJ1cIC1AuvkCMEHM,"Revival - Japanese LP Mix","Revival (JVC release)","Martine Girault",2012-10-29,520133,42,false,1130795251,2025-03-13T14:12:56Z,"acid jazz","Opaz Multimedia",0.712,0.42,1,-9.425,0,0.0325,0.293,0.000258,0.0597,0.341,100.395,4
spotify:track:7HUZp4VU6MalQq00lHctKk,"Take Me Now - 12"" Remix","Talkin' Loud 1990-1994","Tammy Payne",2004-01-01,328826,20,false,1130795251,2021-06-10T07:22:09Z,"acid jazz","UMC (Universal Music Catalogue)",0.677,0.634,10,-12.731,0,0.032,0.0634,0.00134,0.0383,0.949,100.992,4
spotify:track:3tZm76otWH20xzJC7icHCk,"Wish I Didn't Miss You","Mahogany Soul","Angie Stone",2001-10-16,270893,71,false,1130795251,2021-07-13T14:11:58Z,"neo soul,soul","J Records",0.856,0.755,10,-5.691,1,0.0331,0.355,0.000621,0.145,0.842,123.883,4
spotify:track:2fE4MbwX3QGMzNaMjGVhtw,"Say Yes","Floetic","Floetry",2002-01-01,268373,66,false,1130795251,2021-07-13T14:11:58Z,"neo soul,quiet storm","Geffen",0.747,0.398,5,-12.932,0,0.0743,0.211,0.00000142,0.113,0.428,117.901,1
spotify:track:6TaJ3aycX1BVUMRoVASnVI,"I Don't Even Know If I Should Call You Baby","New Wave","Soul Family Sensation",1991-10-28,225960,0,false,1130795251,2021-07-20T09:21:13Z,"","One Little Independent Records",0.54,0.39,4,-17.251,0,0.0398,0.235,0.00925,0.0855,0.386,200.444,4
spotify:track:4Eap0FiMiGB2gqjk1D4cXo,"Don't Mess With My Man","Lucy Pearl","Lucy Pearl",2000,217666,0,false,1130795251,2021-07-20T20:26:16Z,"neo soul","Virgin Records",0.906,0.647,6,-5.197,0,0.11,0.104,0.000131,0.0752,0.848,106.031,4
spotify:track:1GmqbthsQEpnLiU1hnlFVn,"Mary Jane (All Night Long)","My Life","Mary J. Blige",1994,279200,57,false,1130795251,2021-08-10T12:53:53Z,"r&b","Geffen*",0.788,0.294,5,-9.563,0,0.0517,0.136,0.0000285,0.0529,0.882,87.222,4
spotify:track:6SpvE9nEa4UdZDqFSgdp7c,"As We Come (To Be)","Road To Freedom","Young Disciples",2006-01-01,274720,0,false,1130795251,2021-09-30T10:02:45Z,"acid jazz,jazz funk","UMC (Universal Music Catalogue)",0.761,0.349,1,-13.679,0,0.0476,0.484,0.00261,0.0933,0.39,83.896,4
