Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:70lHpE2jGA5AgmsHJYbn5c,"Shining of Life - 2017 Full Moon Mix","Shining of Life","Calm presents K.F.",2017-12-01,922750,10,false,1130795251,2020-05-31T16:12:31Z,"","Music Conception",0.67,0.744,4,-8.712,0,0.0355,0.195,0.35,0.0793,0.789,119.998,4
spotify:track:4lxigqjxkuTHbidhDldXF8,"Jazz Carnival - Full","Light as a Feather","Azymuth",2012-11-26,638613,14,false,1130795251,2020-05-31T16:13:24Z,"brazilian jazz,jazz funk,jazz fusion,acid jazz","Far Out Recordings",0.548,0.903,9,-10.843,0,0.0425,0.0571,0.806,0.077,0.759,131.283,4
spotify:track:27lqvywx3wruW3Xh93AGYs,"Finally - Nuyorican Soul Remix","Finally","Kings Of Tomorrow;Julie Mc Knight",2001,494826,3,false,1130795251,2020-05-31T16:13:33Z,"deep house,funky house","Distance",0.883,0.486,0,-12.461,1,0.0726,0.00229,0.00421,0.101,0.455,124.993,4
spotify:track:4ThTJBOvrEXeOQ1CvET73g,"You Can Do It (Baby) - Full Version","Nuyorican Soul","Nuyorican Soul;George Benson",1997-01-01,523133,0,false,1130795251,2020-05-31T16:13:38Z,"acid jazz,smooth jazz,yacht rock,jazz funk,soul jazz","Talkin' Loud",0.535,0.556,4,-9.749,0,0.0693,0.368,0.106,0.0904,0.351,119.39,4
spotify:track:7k11Ii2cGblg42H4iUZFEv,"Elevator (Going Up) - Album Mix","Louie Vega Starring...XXVIII","Louie Vega;Monique Bingham",2016-02-26,305813,28,false,1130795251,2020-05-31T16:13:45Z,"chicago house,deep house,latin house,house,disco house,afro house,afro tech","Vega Records",0.797,0.673,0,-7.691,1,0.0745,0.175,0.00617,0.132,0.429,122.991,4
spotify:track:618Jj4kfAJBIm1iS69F8mc,"It's Alright, I Feel It! - M.A.W. 12"" Mix","Nuyorican Soul","Nuyorican Soul",1997,588040,8,false,1130795251,2020-05-31T16:13:59Z,"acid jazz","UMC (Universal Music Catalogue)",0.707,0.844,6,-9.751,1,0.0611,0.00841,0.313,0.0834,0.514,121.915,4
spotify:track:2DepZXq4pL2z0HPM2YG5JS,"The Weather Report","The Weather Report","Incognito;Take 6",2019-09-27,245586,2,false,1130795251,2020-05-31T16:14:07Z,"acid jazz,jazz funk,smooth jazz,vocal jazz,gospel,Christian jazz","Bluey Music Limited",0.576,0.915,1,-6.91,1,0.0491,0.0399,0,0.374,0.702,95.025,4
spotify:track:0GJ07sZTPG0q1D8ATaPLpo,"Smile","Mt Glorious","Sampology",2018-08-10,279986,0,false,1130795251,2020-05-31T16:14:37Z,"","Middle Name Records",0.727,0.686,7,-10.475,1,0.0397,0.193,0.826,0.102,0.602,111.036,4
spotify:track:2hFjxLPeeBZrvLb302MKLj,"Like It Is","Disco Volante EP","Coeo",2016,355968,0,false,1130795251,2020-05-31T16:15:45Z,"jazz house,disco house,funky house,nu disco,lo-fi house","Razor-N-Tape Digital",0.899,0.677,3,-10.042,0,0.0394,0.0497,0.776,0.0603,0.657,119.007,4
spotify:track:0ZEcI78PzxOXJ7mY3cRQDV,"Reach 4 Freedom - DF's Vocal Mix","Abstract Jazz Journey EP 2","Dennis Ferrer",2005-05-16,507744,0,false,1130795251,2020-05-31T16:16:51Z,"uk funky,deep house,funky house,house,afro house","Nite Grooves",0.662,0.88,1,-7.504,0,0.0669,0.0521,0.000243,0.0341,0.916,125.977,4
spotify:track:0bPETkh1amnP7sMklHV2IT,"Beyond the Stars","New Chapter","Cody Currie;Joel Holmes",2019-10-18,368619,0,false,1130795251,2020-05-31T16:17:43Z,"jazz house,lo-fi house,disco house,funky house,jazz funk,nu jazz","Toy Tonics",0.797,0.609,5,-11.831,0,0.0574,0.0331,0.0566,0.0885,0.772,116.005,4
spotify:track:5n9wJAsxBIv25iA8hcSBvs,"Me Vuelves Loco","Me Vuelves Loco","Juan Di Lago;Alberto Gabilan",2016-07-29,421935,0,false,1130795251,2020-05-31T16:17:48Z,"","Purple Music",0.765,0.838,4,-8.924,0,0.0496,0.0718,0.738,0.0619,0.205,123.988,4
