Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
ES-12-0005,The Mighty Zaf And Linkwood,Yokai,'80s,"12""",,2025,33318912,Uncategorized,2025-10-17 08:52:00,,,
22a 026,Ruby Rushton,Eleven Grapes,22a,"7"", Single",,2019,13288424,Uncategorized,2019-12-04 19:43:23,,,
FTTFCS006,Various,Classic Tracks,4 To The Floor (2),"12""",,2019,13927173,Uncategorized,2026-07-08 11:03:28,,,
AMLK 63721,Quincy Jones,The Dude,A&M Records,"LP, Album",,1981,806667,Uncategorized,2019-03-10 16:33:17,,,
ABCL 5094,Steely Dan,Katy Lied,ABC Records,"LP, Album, Bla",,1975,380041,Uncategorized,2019-03-10 16:32:09,,,
AJX2LP419,Leroy Hutson,Anthology 1972-84,"Acid Jazz, [PIAS], Triumph Records (17)","2xLP, Comp",,2017,11026340,Uncategorized,2019-02-23 12:28:38,,,
BK086,Various,Soul Of Haringey,Advance Level Enterprise,"12"", EP, RE",,2024,31569346,Uncategorized,2025-01-02 13:52:50,,,
AKR 015,Lynda Dawn,At First Light,Akashik Records (4),"LP, EP",,2019,14160652,Uncategorized,2020-01-07 20:59:38,,,
ALIM009,Roy Ayers Feat. Sylvia Cox / Roy Ayers Feat. Merry Clayton,Liquid Love,Alim Music,"7""",,2023,28432573,Uncategorized,2024-02-10 06:46:25,,,
SDE-60,The L.A. Propinquity,That Someone's U,"Aljonimusico, Super Disco Edits","7"", Single",,2022,22091590,Uncategorized,2022-05-09 11:50:31,,,
AIS 002,Seu Jorge,The Other Side ,"Amor In Sound, Black Service, Phonomotor Records","LP, Album",,2026,37863984,Uncategorized,2026-07-13 05:18:17,,,
AOE005,Jeanie Tracy,Making New Friends,AOE,"7"", Single, RE",,2015,7064586,Uncategorized,2024-02-10 10:07:59,,,
207 830,Phyllis Hyman,The Best Of Phyllis Hyman,Arista,"LP, Comp",,1986,905227,Uncategorized,2019-02-23 12:28:19,,,
PR65025P,Alison Limerick,Where Love Lives,Arista,"12"", RSD, RE",,2020,15842399,Uncategorized,2020-09-16 15:57:01,,,
AKR 014,Sufjan Stevens,Illinois,Asthmatic Kitty Records,"2xLP, Album, Ltd, RE, Yel",,2023,29031520,Uncategorized,2024-05-11 04:21:47,,,
ATA036,Work Money Death,People Of The Fast Flowing River,ATA Records (3),"LP, Album",,2024,32332977,Uncategorized,2024-11-30 06:50:05,,,
AOTN12005,Dirty Channels vs Danny Russell (6) / Frazelle,Watchin Out / Today Is the Day (Linkwood Chop),Athens Of The North,"12""",,2018,12299105,Uncategorized,2019-02-23 12:14:47,,,
AOTN12017,East Coast Love Affair (2) With Peter Hunnigale,Date With The Rain,Athens Of The North,"12""",,2021,18498973,Uncategorized,2021-05-15 03:29:11,,,
AOTN12018,East Coast Love Affair (2),Chicago,Athens Of The North,"12"", Single",,2022,23003858,Uncategorized,2022-05-09 11:51:37,,,
AOTN12021,East Coast Love Affair (2),I'm So Glad,Athens Of The North,"12""",,2023,28631209,Uncategorized,2023-10-20 13:46:56,,,
AOTN12028,Roland Haynes Jr. And Phenix (4),Mind Games,Athens Of The North,"12"", EP",,2026,36310123,Uncategorized,2026-02-25 04:58:39,,,
AOTNLP 020,Grupo Magnético,Positivo,Athens Of The North,"LP, Album",,2018,12577820,Uncategorized,2019-02-19 12:18:50,,,
AOTNLP 031,Various,For The Love Of You ,Athens Of The North,"2xLP, Comp",,2020,15029555,Uncategorized,2020-11-24 09:24:13,,,
AOTNLP 044,Brief Encounter,Brief Encounter Singles,Athens Of The North,"LP, Comp",,2022,22001455,Uncategorized,2022-02-22 10:43:46,,,
AOTNLP 047,Various,For The Love Of You (Volume 2),Athens Of The North,"2xLP, Comp",,2021,20609731,Uncategorized,2021-11-03 13:48:23,,,
AOTNLP 063,Sam Don,Just A Touch,Athens Of The North,"2xLP, Comp",,2023,28578196,Uncategorized,2023-10-20 13:47:46,,,
AOTNLP021,David Haffner,Disco With A Feeling,Athens Of The North,"2xLP, Comp",,2019,14296311,Uncategorized,2019-10-25 21:35:15,,,
AOTNLP033,Greg Foat,The Dreaming Jewels,Athens Of The North,"LP, Album",,2019,14393897,Uncategorized,2020-01-07 20:59:18,,,
ATH006,Bileo,You Can Win,Athens Of The North,"7"", RE",,2014,6008095,Uncategorized,2019-12-06 22:54:43,,,
Ath007,Nohelani Cypriano,Lihue / Playing With Fire,Athens Of The North,"7"", RM",,2014,6379466,Uncategorized,2020-06-10 12:14:19,,,
ATH013,Painel De Controle,Relax,Athens Of The North,"7""",,2015,6956904,Uncategorized,2020-06-10 12:14:58,,,
ATH016,Milton Wright,The Silence That You Keep,Athens Of The North,"7""",,2015,7166784,Uncategorized,2019-02-23 12:02:30,,,
ATH019,Homegrown Syndrome,Confrontation,Athens Of The North,"7"", Single, RE",,2015,7625302,Uncategorized,2020-03-26 11:04:27,,,
ATH026,Tarika Blue,Truth Is The Key,Athens Of The North,"7"", Single",,2015,7833658,Uncategorized,2020-03-28 10:49:45,,,
ATH029,Brief Encounter,We Want To Play For You / Sweet Tender Loving,Athens Of The North,"7""",,2015,7833612,Uncategorized,2019-12-06 22:57:12,,,
ATH043,"Earth, Wind & Fire",Brazilian Rhyme (Extended Mix),Athens Of The North,"7"", Single",,2017,10011433,Uncategorized,2019-02-23 12:01:42,,,
ATH077,Papa Bear And The Cubs,You're So Fine,Athens Of The North,"7"", Single, RE",,2019,13814910,Uncategorized,2019-07-01 11:45:00,,,
ATH083,The Premonitions (2),Don't Act Like A Fool / In Love ,Athens Of The North,"7""",,2020,15217888,Uncategorized,2020-05-06 14:03:13,,,
ATH091,Derrick Cross,Never Too Much,Athens Of The North,"7"", Single",,2021,17576737,Uncategorized,2021-03-02 05:38:17,,,
ATICLP015,Aim,Cold Water Music,Atic Records,"2xLP, Album, Ltd, RM, RP, Ice",,2021,17487430,Uncategorized,2021-12-08 05:13:27,,,
"K 50565, MS/MT 5049",Chic,Trés Chic,"Atlantic, Atlantic","LP, Album",,1979,546070,Uncategorized,2019-02-23 12:26:18,,,
"K 50565, MS/MT 5049",Chic,C'est Chic,"Atlantic, Atlantic","LP, Album",,1978,496781,Uncategorized,2019-02-23 12:27:33,,,
"K 50693, K50693",Sister Sledge,Love Somebody Today,"Atlantic, Atlantic","LP, Album",,1980,450297,Uncategorized,2019-02-23 12:25:12,,,
0190296417856,Gabriels (3),Love And Hate In A Different Time (Mixes),"Atlas Artists (2), Parlophone","12""",,2021,20994196,Uncategorized,2022-02-22 10:44:01,,,
BK033AB,Rasa (9),When Will The Day Come / Questions In My Mind,Backatcha Records,"7""",,2024,30745635,Uncategorized,2024-06-08 11:09:41,,,
BK035,Various,Swave Villi Us (Independent Soul 1971-84),Backatcha Records,"2xLP, Comp",,2021,17471746,Uncategorized,2021-12-08 05:31:40,,,
BK040,Gerard Browne,Sexy Lady / Keep Dancing,Backatcha Records,"12"", RE",,2021,21140422,Uncategorized,2021-12-08 05:32:38,,,
BK060,The S.T.U.D. Band,Where's The Floor,Backatcha Records,"7"", RE",,2022,25131955,Uncategorized,2023-01-18 04:26:17,,,
BK107,Jumani,We Can Work It Out / Give Me Your Love,Backatcha Records,"7""",,2026,37904949,Uncategorized,2026-08-05 09:03:08,,,
BOTW008,Matt Wilde (2),Hello World ,Band On The Wall Recordings,"LP, Album",,2023,27713820,Uncategorized,2024-02-10 10:07:19,,,
BBE188ELP,Sandy Barber,I Think I'll Do Some Stepping (On My Own) (Remixes),BBE,"12""",,2022,24515240,Uncategorized,2022-09-17 06:51:19,,,
BBE480CLP,Rainer Trüby,Soulgliding,BBE,"2xLP, Comp",,2020,14660713,Uncategorized,2025-10-17 08:50:08,,,
BBE763ALP,Musclecars,Sugar Honey Iced Tea!,BBE,"2xLP, Album",,2024,30722111,Uncategorized,2024-05-21 01:58:50,,,
BBE805ALP,"Allysha Joy, Hidden Spheres, Finn Rees",Solina,BBE,"LP, Album",,2025,34253512,Uncategorized,2025-07-04 00:57:14,,,
