release_id,artist,title,year,format,lowest_gbp,num_for_sale
33318912,The Mighty Zaf And Linkwood,Yokai,2025,"12""",17.76,23
13288424,Ruby Rushton,Eleven Grapes,2019,"7"", Single",6.0,12
806667,Quincy Jones,The Dude,1981,"LP, Album",5.0,43
380041,Steely Dan,Katy Lied,1975,"LP, Album, Bla",6.88,68
11026340,Leroy Hutson,Anthology 1972-84,2017,"2xLP, Comp",18.97,8
31569346,Various,Soul Of Haringey,2024,"12"", EP, RE",19.07,27
14160652,Lynda Dawn,At First Light,2019,"LP, EP",79.16,2
28432573,Roy Ayers Feat. Sylvia Cox / Roy Ayers Feat. Merry Clayton,Liquid Love,2023,"7""",13.49,19
22091590,The L.A. Propinquity,That Someone's U,2022,"7"", Single",11.64,3
7064586,Jeanie Tracy,Making New Friends,2015,"7"", Single, RE",13.32,6
905227,Phyllis Hyman,The Best Of Phyllis Hyman,1986,"LP, Comp",4.0,12
15842399,Alison Limerick,Where Love Lives,2020,"12"", RSD, RE",10.0,51
29031520,Sufjan Stevens,Illinois,2023,"2xLP, Album, Ltd, RE, Yel",36.99,5
32332977,Work Money Death,People Of The Fast Flowing River,2024,"LP, Album",23.19,13
12299105,Dirty Channels vs Danny Russell (6) / Frazelle,Watchin Out / Today Is the Day (Linkwood Chop),2018,"12""",55.5,3
18498973,East Coast Love Affair (2) With Peter Hunnigale,Date With The Rain,2021,"12""",5.92,28
23003858,East Coast Love Affair (2),Chicago,2022,"12"", Single",30.12,4
28631209,East Coast Love Affair (2),I'm So Glad,2023,"12""",12.0,7
36310123,Roland Haynes Jr. And Phenix (4),Mind Games,2026,"12"", EP",7.39,35
12577820,Grupo Magnético,Positivo,2018,"LP, Album",22.23,6
15029555,Various,For The Love Of You ,2020,"2xLP, Comp",38.25,8
22001455,Brief Encounter,Brief Encounter Singles,2022,"LP, Comp",25.81,2
20609731,Various,For The Love Of You (Volume 2),2021,"2xLP, Comp",,
28578196,Sam Don,Just A Touch,2023,"2xLP, Comp",23.68,39
14296311,David Haffner,Disco With A Feeling,2019,"2xLP, Comp",29.26,12
14393897,Greg Foat,The Dreaming Jewels,2019,"LP, Album",27.53,9
6008095,Bileo,You Can Win,2014,"7"", RE",48.01,8
6379466,Nohelani Cypriano,Lihue / Playing With Fire,2014,"7"", RM",39.95,3
6956904,Painel De Controle,Relax,2015,"7""",9.65,8
7166784,Milton Wright,The Silence That You Keep,2015,"7""",7.59,13
7625302,Homegrown Syndrome,Confrontation,2015,"7"", Single, RE",7.36,23
7833658,Tarika Blue,Truth Is The Key,2015,"7"", Single",12.05,13
7833612,Brief Encounter,We Want To Play For You / Sweet Tender Loving,2015,"7""",14.63,14
10011433,"Earth, Wind & Fire",Brazilian Rhyme (Extended Mix),2017,"7"", Single",22.0,13
13814910,Papa Bear And The Cubs,You're So Fine,2019,"7"", Single, RE",21.51,8
15217888,The Premonitions (2),Don't Act Like A Fool / In Love ,2020,"7""",3.66,24
17576737,Derrick Cross,Never Too Much,2021,"7"", Single",38.72,6
17487430,Aim,Cold Water Music,2021,"2xLP, Album, Ltd, RM, RP, Ice",,0
546070,Chic,Trés Chic,1979,"LP, Album",2.25,26
496781,Chic,C'est Chic,1978,"LP, Album",1.55,84
450297,Sister Sledge,Love Somebody Today,1980,"LP, Album",2.58,34
20994196,Gabriels (3),Love And Hate In A Different Time (Mixes),2021,"12""",12.91,17
30745635,Rasa (9),When Will The Day Come / Questions In My Mind,2024,"7""",11.76,5
17471746,Various,Swave Villi Us (Independent Soul 1971-84),2021,"2xLP, Comp",21.51,28
21140422,Gerard Browne,Sexy Lady / Keep Dancing,2021,"12"", RE",6.0,36
25131955,The S.T.U.D. Band,Where's The Floor,2022,"7"", RE",8.53,21
27713820,Matt Wilde (2),Hello World ,2023,"LP, Album",19.99,11
24515240,Sandy Barber,I Think I'll Do Some Stepping (On My Own) (Remixes),2022,"12""",45.59,9
14660713,Rainer Trüby,Soulgliding,2020,"2xLP, Comp",25.86,27
30722111,Musclecars,Sugar Honey Iced Tea!,2024,"2xLP, Album",25.99,30
